# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 0.0217 0.2860 0.0467 2.8779 0.8684 3.9617 0.0006 10.4190 0.0002 3.9717
-84.0000 0.0474 1.5379 0.0853 3.7160 0.2306 9.7917 0.0021 10.8471 0.0000 9.4102
-81.0000 0.1008 2.2198 0.1451 4.5060 0.0444 4.5256 0.0044 11.3152 0.0000 5.1232
-78.0000 0.1891 2.4198 0.2469 4.9798 0.0259 8.4784 0.0069 11.8332 0.0000 6.0552
-75.0000 0.3249 2.3717 0.4015 5.1979 0.0443 7.2783 0.0087 0.3975 0.0001 6.5156
-72.0000 0.5390 2.2417 0.6244 5.2498 0.1661 7.2660 0.0084 1.3190 0.0001 7.2994
-69.0000 0.8757 2.1598 0.9416 5.2298 0.4923 7.8479 0.0048 4.2606 0.0001 8.3341
-66.0000 1.3498 2.1279 1.3834 5.1979 1.1426 8.1560 0.0166 6.5932 0.0002 9.0056
-63.0000 1.9600 2.1560 1.9731 5.1679 2.1970 8.4141 0.0395 7.2923 0.0002 9.4194
-60.0000 2.6870 2.1779 2.7175 5.1660 3.8541 8.4760 0.0720 7.4866 0.0004 9.4852
-57.0000 3.5090 2.1960 3.6102 5.1660 6.3255 8.4879 0.1178 7.5566 0.0006 9.4552
-54.0000 4.4606 2.1641 4.6446 5.1641 10.1160 8.3560 0.1831 7.4009 0.0010 9.2994
-51.0000 5.6444 2.1441 5.8277 5.1541 16.7216 8.2860 0.3073 7.2790 0.0017 9.2732
-48.0000 6.9559 2.1521 7.1546 5.1441 25.7743 8.3141 0.4795 7.3252 0.0026 9.3132
-45.0000 8.2977 2.1441 8.5950 5.1321 37.3611 8.2860 0.6900 7.3152 0.0038 9.2732
-42.0000 9.7593 2.1321 10.0943 5.1221 53.4909 8.2541 0.9835 7.2632 0.0054 9.2332
-39.0000 11.3018 2.1221 11.6120 5.1121 74.3634 8.2360 1.3660 7.2432 0.0076 9.2152
-36.0000 12.8270 2.1141 13.0804 5.0941 100.0070 8.2241 1.8319 7.2232 0.0102 9.2052
-33.0000 14.3330 2.1041 14.4145 5.0841 131.2752 8.2041 2.3986 7.1932 0.0135 9.1852
-30.0000 15.7662 2.0960 15.5195 5.0760 168.0212 8.1860 3.0642 7.1632 0.0173 9.1671
-27.0000 17.0763 2.0860 16.2982 5.0579 209.5848 8.1760 3.8180 7.1432 0.0217 9.1590
-24.0000 18.2442 2.0779 16.6556 5.0479 255.4389 8.1579 4.6473 7.1152 0.0266 9.1509
-21.0000 19.2374 2.0779 16.5037 5.0317 304.0308 8.1479 5.5272 7.0871 0.0319 9.1428
-18.0000 20.0347 2.0698 15.7694 5.0217 353.4259 8.1379 6.4243 7.0671 0.0373 9.1347
-15.0000 20.6552 2.0698 14.4204 5.0137 401.5175 8.1298 7.2915 7.0471 0.0426 9.1266
-12.0000 21.1025 2.0698 12.4528 5.0056 445.6656 8.1198 8.0944 7.0290 0.0474 9.1266
-9.0000 21.4079 2.0698 9.9129 4.9956 483.3503 8.1117 8.7780 7.0171 0.0516 9.1266
-6.0000 21.5945 2.0698 6.9025 4.9956 512.1850 8.1117 9.2982 7.0009 0.0549 9.1185
-3.0000 21.6990 2.0698 3.5408 4.9875 530.3493 8.1037 9.6276 6.9990 0.0569 9.1185
0.0000 21.7312 2.0698 0.0000 11.0101 536.5527 8.1037 9.7418 6.9990 0.0576 9.1185
3.0000 21.6990 2.0698 3.5408 10.9875 530.3493 8.1037 9.6276 6.9990 0.0569 9.1185
6.0000 21.5945 2.0698 6.9025 10.9956 512.1850 8.1117 9.2982 7.0009 0.0549 9.1185
9.0000 21.4079 2.0698 9.9129 10.9956 483.3503 8.1117 8.7780 7.0171 0.0516 9.1266
12.0000 21.1025 2.0698 12.4528 11.0056 445.6656 8.1198 8.0944 7.0290 0.0474 9.1266
15.0000 20.6552 2.0698 14.4204 11.0137 401.5175 8.1298 7.2915 7.0471 0.0426 9.1266
