# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 0.0500 5.6291 0.0612 2.3990 1.4774 0.8191 0.0032 4.3687 0.0003 0.6992
-84.0000 0.1591 5.9992 0.1733 2.8092 1.2994 5.9492 0.0182 4.9587 0.0001 6.5790
-81.0000 0.3326 6.1492 0.3338 3.0192 3.0939 5.9792 0.0543 5.2287 0.0003 6.7191
-78.0000 0.5813 6.1892 0.5335 3.1192 7.3252 6.1192 0.1193 5.2987 0.0007 6.8191
-75.0000 0.9246 6.1792 0.7616 3.1593 13.8547 6.1692 0.2242 5.3287 0.0014 6.8791
-72.0000 1.3996 6.1292 1.0085 3.1693 23.6099 6.1692 0.3796 5.2987 0.0024 6.8791
-69.0000 2.0408 6.1092 1.2650 3.1593 37.3214 6.1492 0.6015 5.2888 0.0038 6.8591
-66.0000 2.8770 6.1092 1.5162 3.1494 56.0021 6.1392 0.9010 5.2987 0.0057 6.8491
-63.0000 3.8795 6.1192 1.7324 3.1494 79.7601 6.1492 1.2758 5.3088 0.0082 6.8391
-60.0000 5.0652 6.1192 1.8766 3.1495 108.8015 6.1492 1.7299 5.3188 0.0112 6.8291
-57.0000 6.4848 6.1092 1.9177 3.1595 143.5308 6.1393 2.2758 5.3188 0.0147 6.8192
-54.0000 8.1318 6.0992 1.8284 3.1596 184.0348 6.1393 2.9095 5.3288 0.0189 6.7992
-51.0000 9.9705 6.0992 1.5784 3.1698 229.7833 6.1393 3.6169 5.3288 0.0236 6.7892
-48.0000 11.9481 6.0992 1.1332 3.1801 279.2757 6.1293 4.3833 5.3388 0.0286 6.7792
-45.0000 14.0480 6.0893 0.4664 3.2415 332.1404 6.1293 5.1918 5.3388 0.0340 6.7593
-42.0000 16.1898 6.0893 0.4411 9.0272 386.0557 6.1293 6.0108 5.3488 0.0395 6.7493
-39.0000 18.2606 6.0893 1.5984 9.0986 438.2903 6.1193 6.7982 5.3489 0.0449 6.7393
-36.0000 20.1773 6.0793 3.0101 9.1090 487.1505 6.1193 7.5224 5.3588 0.0499 6.7193
-33.0000 21.8197 6.0793 4.6593 9.1091 529.0647 6.1093 8.1309 5.3589 0.0542 6.7093
-30.0000 23.0417 6.0693 6.5234 9.1092 560.8707 6.1093 8.5814 5.3589 0.0576 6.6893
-27.0000 23.7573 6.0693 8.5579 9.0993 580.2441 6.0993 8.8299 5.3589 0.0596 6.6793
-24.0000 23.8632 6.0593 10.7066 9.0893 583.8148 6.0894 8.8404 5.3589 0.0601 6.6693
-21.0000 23.2306 6.0494 12.9004 9.0793 569.7007 6.0893 8.5835 5.3489 0.0588 6.6593
-18.0000 21.8613 6.0494 15.0570 9.0693 536.8510 6.0794 8.0487 5.3489 0.0556 6.6393
-15.0000 19.7154 6.0394 17.0895 9.0594 484.6163 6.0794 7.2318 5.3390 0.0503 6.6293
-12.0000 16.8239 6.0294 18.9068 9.0494 413.8469 6.0694 6.1517 5.3390 0.0431 6.6293
-9.0000 13.2689 6.0294 20.4248 9.0394 326.6547 6.0694 4.8401 5.3390 0.0340 6.6193
-6.0000 9.1700 6.0294 21.5665 9.0394 225.7722 6.0694 3.3369 5.3290 0.0236 6.6093
-3.0000 4.6839 6.0194 22.2820 9.0294 115.4328 6.0594 1.7027 5.3290 0.0121 6.6093
0.0000 0.0000 8.5999 22.5142 9.0294 0.0002 8.6998 0.0000 8.2505 0.0000 8.8196
3.0000 4.6839 0.0194 22.2820 9.0294 115.4328 0.0594 1.7027 11.3290 0.0121 0.6093
6.0000 9.1700 0.0294 21.5665 9.0394 225.7722 0.0694 3.3369 11.3290 0.0236 0.6093
9.0000 13.2689 0.0294 20.4248 9.0394 326.6547 0.0694 4.8401 11.3390 0.0340 0.6193
12.0000 16.8239 0.0294 18.9068 9.0494 413.8469 0.0694 6.1517 11.3390 0.0431 0.6293
15.0000 19.7154 0.0394 17.0895 9.0594 484.6163 0.0794 7.2318 11.3390 0.0503 0.6293
18.0000 21.8613 0.0494 15.0570 9.0693 536.8510 0.0794 8.0487 11.3489 0.0556 0.6393
21.0000 23.2306 0.0494 12.9004 9.0793 569.7007 0.0893 8.5835 11.3489 0.0588 0.6593
24.0000 23.8632 0.0593 10.7066 9.0893 583.8148 0.0894 8.8404 11.3589 0.0601 0.6693
27.0000 23.7573 0.0693 8.5579 9.0993 580.2441 0.0993 8.8299 11.3589 0.0596 0.6793
30.0000 23.0417 0.0693 6.5234 9.1092 560.8707 0.1093 8.5814 11.3589 0.0576 0.6893
33.0000 21.8197 0.0793 4.6593 9.1091 529.0647 0.1093 8.1309 11.3589 0.0542 0.7093
36.0000 20.1773 0.0793 3.0101 9.1090 487.1505 0.1193 7.5224 11.3588 0.0499 0.7193
39.0000 18.2606 0.0893 1.5984 9.0986 438.2903 0.1193 6.7982 11.3489 0.0449 0.7393
