# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 0.1318 3.0089 0.1289 20.8790 0.8745 20.2092 0.0063 1.4882 0.0001 19.3593
-84.0000 0.2800 3.3589 0.2651 21.1389 2.0146 3.4889 0.0261 1.7881 0.0002 4.4889
-81.0000 0.4450 3.6589 0.4051 21.3789 4.5372 3.3489 0.0603 2.0481 0.0005 4.1890
-78.0000 0.6253 3.8989 0.5449 21.5789 8.4597 3.6289 0.1089 2.2680 0.0009 4.4590
-75.0000 0.8209 4.0389 0.6805 21.7489 13.4771 3.8089 0.1712 2.4280 0.0015 4.6290
-72.0000 1.0397 4.0589 0.8097 21.8689 19.6583 3.9289 0.2470 2.4981 0.0022 4.7490
-69.0000 1.3087 3.9589 0.9338 21.9290 27.1003 3.9589 0.3390 2.4881 0.0031 4.8089
-66.0000 1.6773 3.7989 1.0606 21.9290 36.3125 3.9289 0.4560 2.4081 0.0042 4.7989
-63.0000 2.1769 3.7188 1.1972 21.8990 47.9782 3.8789 0.6070 2.3481 0.0055 4.7689
-60.0000 2.7957 3.7188 1.3491 21.8690 62.5699 3.8489 0.7935 2.3381 0.0071 4.7389
-57.0000 3.4898 3.7589 1.5095 21.8590 79.9974 3.8489 1.0108 2.3481 0.0091 4.7289
-54.0000 4.2541 3.7589 1.6669 21.8790 99.9967 3.8489 1.2560 2.3481 0.0114 4.7189
-51.0000 5.1558 3.7189 1.8154 21.8890 123.2019 3.8389 1.5437 2.3181 0.0141 4.7089
-48.0000 6.2415 3.6789 1.9568 21.8990 150.1696 3.8189 1.8816 2.2981 0.0172 4.6889
-45.0000 7.4839 3.6689 2.0920 21.9089 180.9701 3.7989 2.2647 2.2881 0.0207 4.6689
-42.0000 8.8567 3.6589 2.2161 21.9189 215.1830 3.7889 2.6897 2.2781 0.0247 4.6589
-39.0000 10.3477 3.6489 2.3206 21.9489 252.8178 3.7789 3.1579 2.2781 0.0290 4.6390
-36.0000 11.9789 3.6290 2.4001 21.9688 293.6454 3.7689 3.6692 2.2681 0.0336 4.6290
-33.0000 13.7351 3.6289 2.4510 21.9887 337.2749 3.7589 4.2182 2.2681 0.0386 4.6190
-30.0000 15.5674 3.6190 2.4677 22.0186 382.8461 3.7489 4.7951 2.2681 0.0437 4.6090
-27.0000 17.4417 3.6190 2.4433 22.0386 429.4684 3.7489 5.3900 2.2680 0.0490 4.5990
-24.0000 19.3381 3.6190 2.3716 22.0684 476.3609 3.7389 5.9919 2.2680 0.0542 4.5990
-21.0000 21.1914 3.6189 2.2481 22.0883 522.1531 3.7389 6.5855 2.2680 0.0594 4.5990
-18.0000 22.9617 3.6189 2.0704 22.1082 565.5636 3.7389 7.1546 2.2680 0.0642 4.5990
-15.0000 24.5849 3.6189 1.8363 22.1281 605.2819 3.7389 7.6771 2.2680 0.0686 4.5990
-12.0000 26.0139 3.6189 1.5471 22.1380 639.9870 3.7289 8.1368 2.2680 0.0724 4.5990
-9.0000 27.1847 3.6189 1.2090 22.1480 668.4969 3.7289 8.5130 2.2680 0.0756 4.5990
-6.0000 28.0623 3.6189 0.8307 22.1579 689.6807 3.7289 8.7987 2.2679 0.0779 4.5990
-3.0000 28.5987 3.6189 0.4229 22.1579 702.4323 3.7289 8.9728 2.2679 0.0794 4.5990
0.0000 28.7799 3.6189 0.0000 7.8335 707.3023 3.7289 9.0285 2.2679 0.0799 4.5990
3.0000 28.5987 3.6189 0.4229 10.1579 702.4323 3.7289 8.9728 2.2679 0.0794 4.5990
6.0000 28.0623 3.6189 0.8307 10.1579 689.6807 3.7289 8.7987 2.2679 0.0779 4.5990
9.0000 27.1847 3.6189 1.2090 10.1480 668.4969 3.7289 8.5130 2.2680 0.0756 4.5990
12.0000 26.0139 3.6189 1.5471 10.1380 639.9870 3.7289 8.1368 2.2680 0.0724 4.5990
15.0000 24.5849 3.6189 1.8363 10.1281 605.2819 3.7389 7.6771 2.2680 0.0686 4.5990
18.0000 22.9617 3.6189 2.0704 10.1082 565.5636 3.7389 7.1546 2.2680 0.0642 4.5990
21.0000 21.1914 3.6189 2.2481 10.0883 522.1531 3.7389 6.5855 2.2680 0.0594 4.5990
24.0000 19.3381 3.6190 2.3716 10.0684 476.3609 3.7389 5.9919 2.2680 0.0542 4.5990
27.0000 17.4417 3.6190 2.4433 10.0386 429.4684 3.7489 5.3900 2.2680 0.0490 4.5990
30.0000 15.5674 3.6190 2.4677 10.0186 382.8461 3.7489 4.7951 2.2681 0.0437 4.6090
33.0000 13.7351 3.6289 2.4510 9.9887 337.2749 3.7589 4.2182 2.2681 0.0386 4.6190
36.0000 11.9789 3.6290 2.4001 9.9688 293.6454 3.7689 3.6692 2.2681 0.0336 4.6290
39.0000 10.3477 3.6489 2.3206 9.9489 252.8178 3.7789 3.1579 2.2781 0.0290 4.6390
42.0000 8.8567 3.6589 2.2161 9.9189 215.1830 3.7889 2.6897 2.2781 0.0247 4.6589
45.0000 7.4839 3.6689 2.0920 9.9089 180.9701 3.7989 2.2647 2.2881 0.0207 4.6689
48.0000 6.2415 3.6789 1.9568 9.8990 150.1696 3.8189 1.8816 2.2981 0.0172 4.6889
51.0000 5.1558 3.7189 1.8154 9.8890 123.2019 3.8389 1.5437 2.3181 0.0141 4.7089
54.0000 4.2541 3.7589 1.6669 9.8790 99.9967 3.8489 1.2560 2.3481 0.0114 4.7189
57.0000 3.4898 3.7589 1.5095 9.8590 79.9974 3.8489 1.0108 2.3481 0.0091 4.7289
60.0000 2.7957 3.7188 1.3491 9.8690 62.5699 3.8489 0.7935 2.3381 0.0071 4.7389
63.0000 2.1769 3.7188 1.1972 9.8990 47.9782 3.8789 0.6070 2.3481 0.0055 4.7689
66.0000 1.6773 3.7989 1.0606 9.9290 36.3125 3.9289 0.4560 2.4081 0.0042 4.7989
69.0000 1.3087 3.9589 0.9338 9.9290 27.1003 3.9589 0.3390 2.4881 0.0031 4.8089
72.0000 1.0397 4.0589 0.8097 9.8689 19.6583 3.9289 0.2470 2.4981 0.0022 4.7490
75.0000 0.8209 4.0389 0.6805 9.7489 13.4771 3.8089 0.1712 2.4280 0.0015 4.6290
78.0000 0.6253 3.8989 0.5449 9.5789 8.4597 3.6289 0.1089 2.2680 0.0009 4.4590
81.0000 0.4450 3.6589 0.4051 9.3789 4.5372 3.3489 0.0603 2.0481 0.0005 4.1890
84.0000 0.2800 3.3589 0.2651 9.1389 2.0146 3.4889 0.0261 1.7881 0.0002 4.4889
87.0000 0.1318 3.0089 0.1289 8.8790 0.8745 20.2092 0.0063 1.4882 0.0001 19.3593
