# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 0.6865 8.7817 0.6688 5.7237 2.8312 6.8884 0.0650 7.6556 0.0002 5.5531
-84.0000 1.4034 8.9341 1.2875 5.8360 12.9208 8.8917 0.2361 7.8690 0.0013 9.8804
-81.0000 2.0948 9.0944 1.7853 5.9502 28.7944 8.9702 0.4888 8.1094 0.0029 9.7537
-78.0000 2.9108 9.1402 2.1355 6.0364 50.3117 9.0664 0.8419 8.1413 0.0052 9.8698
-75.0000 3.8506 9.1121 2.2940 6.0844 77.3838 9.1221 1.2950 8.1513 0.0082 9.9556
-72.0000 5.0622 8.9702 2.2586 6.0625 108.9021 9.0402 1.8215 8.0694 0.0115 9.8737
-69.0000 6.8402 9.0302 2.0532 6.0406 152.0902 9.0602 2.5631 8.1094 0.0159 9.8937
-66.0000 8.3596 9.0402 1.5835 6.0367 194.9406 9.0583 3.2534 8.1194 0.0204 9.8717
-63.0000 10.3204 9.0283 0.8044 6.0071 245.3718 9.0583 4.0900 8.1075 0.0257 9.8717
-60.0000 12.4155 9.0183 0.3069 0.2885 297.4593 9.0483 4.9605 8.1075 0.0311 9.8598
-57.0000 14.7063 9.0164 1.7598 0.1144 352.8210 9.0464 5.8716 8.0994 0.0369 9.8498
-54.0000 16.9757 9.0164 3.5790 0.0886 405.5053 9.0383 6.7597 8.0975 0.0424 9.8498
-51.0000 19.2870 9.0044 5.7641 0.0767 456.8088 9.0283 7.6097 8.0875 0.0478 9.8398
-48.0000 21.4204 9.0044 8.2909 0.0667 500.5179 9.0183 8.3486 8.0694 0.0525 9.8398
-45.0000 23.2963 8.9944 11.1274 0.0548 534.9785 9.0083 8.9309 8.0575 0.0562 9.8317
-42.0000 24.7369 8.9844 14.2091 0.0448 555.8490 9.0002 9.2898 8.0294 0.0586 9.8317
-39.0000 25.6165 8.9744 17.4396 0.0267 559.2791 8.9902 9.3630 7.9994 0.0593 9.8256
-36.0000 25.7964 8.9564 20.6940 0.0086 542.6868 8.9721 9.0997 7.9713 0.0579 9.8275
-33.0000 25.1397 8.9444 23.8213 11.9906 503.0765 8.9541 8.4523 7.9232 0.0542 9.8213
-30.0000 23.5642 8.9183 26.6121 11.9725 439.4021 8.9360 7.4015 7.8752 0.0479 9.8252
-27.0000 21.0479 8.9002 28.8500 11.9464 351.8453 8.9098 5.9498 7.7990 0.0389 9.8209
-24.0000 17.6362 8.8721 30.2866 11.9202 242.6302 8.8737 4.1364 7.6947 0.0274 9.8204
-21.0000 13.4594 8.8360 30.7264 11.9021 116.3071 8.7571 2.0524 7.4099 0.0139 9.8113
-18.0000 8.7436 8.7817 29.9630 11.8760 24.9362 3.8371 0.6001 3.7937 0.0012 4.0569
-15.0000 3.7975 8.6432 27.8712 11.8598 162.8289 3.0544 2.7232 2.1837 0.0166 3.8383
-12.0000 1.1441 3.5797 24.4102 11.8417 296.2805 2.9902 4.9516 1.9913 0.0316 3.8256
-9.0000 5.3800 2.9883 19.6559 11.8237 413.5028 2.9560 6.9173 1.9132 0.0448 3.8232
-6.0000 8.7735 2.9141 13.7867 11.8156 504.9090 2.9460 8.4572 1.8671 0.0553 3.8252
-3.0000 10.9520 2.8960 7.1074 11.8075 562.9520 2.9360 9.4371 1.8471 0.0619 3.8190
0.0000 11.7033 2.8860 0.0000 9.8786 583.0312 2.9279 9.7738 1.8390 0.0642 3.8190
3.0000 10.9520 2.8960 7.1074 5.8075 562.9520 2.9360 9.4371 1.8471 0.0619 3.8190
6.0000 8.7735 2.9141 13.7867 5.8156 504.9090 2.9460 8.4572 1.8671 0.0553 3.8252
9.0000 5.3800 2.9883 19.6559 5.8237 413.5028 2.9560 6.9173 1.9132 0.0448 3.8232
12.0000 1.1441 3.5797 24.4102 5.8417 296.2805 2.9902 4.9516 1.9913 0.0316 3.8256
15.0000 3.7975 8.6432 27.8712 5.8598 162.8289 3.0544 2.7232 2.1837 0.0166 3.8383
18.0000 8.7436 8.7817 29.9630 5.8760 24.9362 3.8371 0.6001 3.7937 0.0012 4.0569
21.0000 13.4594 8.8360 30.7264 5.9021 116.3071 8.7571 2.0524 7.4099 0.0139 9.8113
24.0000 17.6362 8.8721 30.2866 5.9202 242.6302 8.8737 4.1364 7.6947 0.0274 9.8204
27.0000 21.0479 8.9002 28.8500 5.9464 351.8453 8.9098 5.9498 7.7990 0.0389 9.8209
30.0000 23.5642 8.9183 26.6121 5.9725 439.4021 8.9360 7.4015 7.8752 0.0479 9.8252
33.0000 25.1397 8.9444 23.8213 5.9906 503.0765 8.9541 8.4523 7.9232 0.0542 9.8213
36.0000 25.7964 8.9564 20.6940 6.0086 542.6868 8.9721 9.0997 7.9713 0.0579 9.8275
39.0000 25.6165 8.9744 17.4396 6.0267 559.2791 8.9902 9.3630 7.9994 0.0593 9.8256
42.0000 24.7369 8.9844 14.2091 6.0448 555.8490 9.0002 9.2898 8.0294 0.0586 9.8317
45.0000 23.2963 8.9944 11.1274 6.0548 534.9785 9.0083 8.9309 8.0575 0.0562 9.8317
48.0000 21.4204 9.0044 8.2909 6.0667 500.5179 9.0183 8.3486 8.0694 0.0525 9.8398
51.0000 19.2870 9.0044 5.7641 6.0767 456.8088 9.0283 7.6097 8.0875 0.0478 9.8398
54.0000 16.9757 9.0164 3.5790 6.0886 405.5053 9.0383 6.7597 8.0975 0.0424 9.8498
57.0000 14.7063 9.0164 1.7598 6.1144 352.8210 9.0464 5.8716 8.0994 0.0369 9.8498
60.0000 12.4155 9.0183 0.3069 6.2885 297.4593 9.0483 4.9605 8.1075 0.0311 9.8598
63.0000 10.3204 9.0283 0.8044 0.0071 245.3718 9.0583 4.0900 8.1075 0.0257 9.8717
66.0000 8.3596 9.0402 1.5835 0.0367 194.9406 9.0583 3.2534 8.1194 0.0204 9.8717
69.0000 6.8402 9.0302 2.0532 0.0406 152.0902 9.0602 2.5631 8.1094 0.0159 9.8937
72.0000 5.0622 8.9702 2.2586 0.0625 108.9021 9.0402 1.8215 8.0694 0.0115 9.8737
75.0000 3.8506 9.1121 2.2940 0.0844 77.3838 9.1221 1.2950 8.1513 0.0082 9.9556
78.0000 2.9108 9.1402 2.1355 0.0364 50.3117 9.0664 0.8419 8.1413 0.0052 9.8698
81.0000 2.0948 9.0944 1.7853 11.9502 28.7944 8.9702 0.4888 8.1094 0.0029 9.7537
84.0000 1.4034 8.9341 1.2875 11.8360 12.9208 8.8917 0.2361 7.8690 0.0013 9.8804
87.0000 0.6865 8.7817 0.6688 11.7237 2.8312 6.8884 0.0650 7.6556 0.0002 5.5531
