# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 0.6024 6.3807 0.5767 0.4407 8.5282 6.5907 0.1056 3.2307 0.0012 8.0252
-84.0000 0.6301 6.0507 0.5381 0.3707 8.8692 6.3426 0.2046 3.0407 0.0012 9.3833
-81.0000 0.7802 5.5326 0.4937 0.2207 13.5023 6.1745 0.3182 2.7107 0.0019 9.2752
-78.0000 1.0935 5.3707 0.4509 0.0688 19.4725 5.8226 0.4770 2.5488 0.0026 9.0826
-75.0000 1.4583 5.5907 0.3948 0.0850 27.6668 5.8507 0.6598 2.6507 0.0036 9.0245
-72.0000 1.7961 5.5807 0.3023 0.3275 35.8196 5.8707 0.8398 2.6307 0.0047 8.9745
-69.0000 2.3124 5.3726 0.1695 1.2204 45.8998 5.7626 1.0782 2.5007 0.0061 8.8764
-66.0000 3.0182 5.2726 0.1000 7.2971 58.7086 5.6907 1.3774 2.4207 0.0078 8.7901
-63.0000 3.8612 5.1845 0.3345 10.1108 73.8379 5.6107 1.7276 2.3426 0.0098 8.7019
-60.0000 4.8931 5.0764 0.6922 10.5502 91.9861 5.5207 2.1459 2.2526 0.0122 8.6038
-57.0000 6.1397 4.9764 1.1693 10.6646 113.4758 5.4307 2.6393 2.1545 0.0151 8.5038
-54.0000 7.6028 4.8783 1.7890 10.6909 138.3786 5.3407 3.2103 2.0645 0.0184 8.4056
-51.0000 9.2932 4.7883 2.5785 10.6790 166.8081 5.2507 3.8597 1.9664 0.0222 8.3075
-48.0000 11.1991 4.6983 3.5644 10.6371 198.5248 5.1626 4.5840 1.8764 0.0264 8.2075
-45.0000 13.2861 4.6102 4.7759 10.5952 232.9597 5.0807 5.3681 1.7883 0.0311 8.1194
-42.0000 15.5018 4.5302 6.2283 10.5452 269.2372 5.0007 6.1905 1.7083 0.0359 8.0294
-39.0000 17.7696 4.4602 7.9429 10.5033 306.0218 4.9226 7.0292 1.6302 0.0408 7.9494
-36.0000 19.9804 4.3902 9.9163 10.4533 341.4580 4.8526 7.8348 1.5602 0.0455 7.8775
-33.0000 22.0030 4.3302 12.1392 10.4096 373.8480 4.7826 8.5666 1.5002 0.0498 7.8075
-30.0000 23.6882 4.2783 14.5854 10.3777 400.1691 4.7226 9.1674 1.4402 0.0532 7.7475
-27.0000 24.8808 4.2283 17.2080 10.3439 418.3789 4.6707 9.5807 1.3902 0.0556 7.6875
-24.0000 25.4203 4.1883 19.9441 10.3120 425.7740 4.6207 9.7481 1.3502 0.0565 7.6375
-21.0000 25.1715 4.1564 22.7072 10.2902 420.1955 4.5807 9.6205 1.3183 0.0556 7.5956
-18.0000 24.0351 4.1264 25.4097 10.2683 400.2209 4.5407 9.1604 1.2883 0.0529 7.5638
-15.0000 21.9534 4.0964 27.9418 10.2545 364.5718 4.5107 8.3500 1.2602 0.0481 7.5338
-12.0000 18.9397 4.0845 30.1974 10.2426 314.0147 4.4888 7.1909 1.2402 0.0414 7.5119
-9.0000 15.0650 4.0645 32.0895 10.2326 249.4354 4.4688 5.7153 1.2283 0.0328 7.4919
-6.0000 10.4753 4.0626 33.4932 10.2288 173.2895 4.4588 3.9701 1.2183 0.0228 7.4819
-3.0000 5.3727 4.0526 34.3565 10.2288 88.8223 4.4488 2.0353 1.2083 0.0117 7.4719
0.0000 0.0000 10.2289 34.6716 10.2269 0.0000 10.7920 0.0000 6.8032 0.0000 16.0902
