# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 62.2392 5.3058 62.2947 8.3058 12.1077 3.5100 0.1699 1.3951 0.0019 4.3632
-84.0000 62.3165 5.3058 62.4697 8.3017 15.0066 2.1932 0.3411 1.2148 0.0014 3.5659
-81.0000 62.2789 5.2958 62.6933 8.2958 23.4317 2.0868 0.5104 1.0285 0.0023 3.3963
-78.0000 62.2392 5.2858 62.9123 8.2858 31.8001 1.6527 0.6732 0.6517 0.0031 2.8868
-75.0000 62.0726 5.2799 63.1052 8.2799 44.5121 1.2546 0.9030 0.2572 0.0043 2.4077
-72.0000 61.6429 5.2699 63.1404 8.2658 61.6434 0.8786 1.2029 11.8691 0.0061 1.9686
-69.0000 60.8949 5.2499 62.9094 8.2499 85.9159 0.5627 1.6232 11.5072 0.0089 1.6155
-66.0000 59.7202 5.2340 62.2684 8.2340 118.0889 0.3068 2.1914 11.2036 0.0126 1.3500
-63.0000 57.9516 5.2140 61.0699 8.2140 158.9803 0.1050 2.9269 10.9540 0.0173 1.1623
-60.0000 55.5193 5.1940 59.1908 8.1840 208.5076 11.9491 3.8320 10.7544 0.0232 1.0186
-57.0000 52.3271 5.1681 56.4105 8.1540 265.8850 11.8232 4.8949 10.5848 0.0301 0.9068
-54.0000 48.3476 5.1340 52.6513 8.1181 329.4670 11.7213 6.0815 10.4511 0.0379 0.8209
-51.0000 43.5390 5.0981 47.7476 8.0621 396.5862 11.6354 7.3439 10.3333 0.0461 0.7450
-48.0000 37.9754 5.0481 41.6817 7.9921 463.4350 11.5495 8.6000 10.2314 0.0545 0.6732
-45.0000 31.7979 4.9921 34.4804 7.9062 525.2586 11.4836 9.7565 10.1295 0.0625 0.6132
-42.0000 25.2012 4.9121 26.2939 7.7603 576.1897 11.4177 10.7037 10.0436 0.0693 0.5513
-39.0000 18.4691 4.7962 17.4713 7.4825 610.5452 11.3577 11.3278 9.9577 0.0743 0.4913
-36.0000 11.9358 4.6144 9.0326 6.7092 622.1245 11.2917 11.5117 9.8717 0.0765 0.4295
-33.0000 6.0570 4.1588 6.8740 4.1607 605.3403 11.2258 11.1615 9.7758 0.0753 0.3695
-30.0000 2.4888 2.0502 13.9464 2.8817 557.1401 11.1599 10.2231 9.6799 0.0701 0.2977
-27.0000 4.8634 11.8781 21.8096 2.5017 475.6469 11.0799 8.6869 9.5699 0.0607 0.2117
-24.0000 7.7519 11.4258 28.4684 2.3158 363.0849 10.9740 6.5963 9.4239 0.0471 0.0999
-21.0000 9.6042 11.2458 33.1992 2.1999 225.0519 10.7662 4.0794 9.1420 0.0301 11.9062
-18.0000 10.3727 11.1517 35.5539 2.1158 78.3805 9.8451 1.5599 7.9949 0.0114 11.1195
-15.0000 10.2204 11.1017 35.2641 2.0499 117.5264 5.9558 2.3352 4.6280 0.0137 7.1891
-12.0000 9.4294 11.0858 32.2867 1.9999 273.2078 5.4417 5.0537 4.0158 0.0336 6.5772
-9.0000 8.3327 11.0958 26.7860 1.9599 415.6641 5.2958 7.5668 3.8317 0.0522 6.4195
-6.0000 7.2609 11.1258 19.1580 1.9299 528.3967 5.2358 9.5529 3.7417 0.0670 6.3495
-3.0000 6.4980 11.1658 9.9813 1.9140 600.8944 5.1999 10.8248 3.7017 0.0765 6.3136
0.0000 6.2224 11.1858 0.0000 1.5890 625.7876 5.1899 11.2621 3.6917 0.0798 6.3036
3.0000 6.4980 11.1658 9.9813 7.9140 600.8944 5.1999 10.8248 3.7017 0.0765 6.3136
6.0000 7.2609 11.1258 19.1580 7.9299 528.3967 5.2358 9.5529 3.7417 0.0670 6.3495
9.0000 8.3327 11.0958 26.7860 7.9599 415.6641 5.2958 7.5668 3.8317 0.0522 6.4195
12.0000 9.4294 11.0858 32.2867 7.9999 273.2078 5.4417 5.0537 4.0158 0.0336 6.5772
15.0000 10.2204 11.1017 35.2641 8.0499 117.5264 5.9558 2.3352 4.6280 0.0137 7.1891
18.0000 10.3727 11.1517 35.5539 8.1158 78.3805 9.8451 1.5599 7.9949 0.0114 11.1195
21.0000 9.6042 11.2458 33.2017 8.1999 225.0519 10.7662 4.0794 9.1420 0.0301 11.9062
24.0000 7.7519 11.4258 28.4684 8.3158 363.0849 10.9740 6.5963 9.4239 0.0471 0.0999
27.0000 4.8634 11.8781 21.8096 8.5017 475.6469 11.0799 8.6869 9.5699 0.0607 0.2117
30.0000 2.4888 2.0502 13.9464 8.8817 557.1401 11.1599 10.2231 9.6799 0.0701 0.2977
33.0000 6.0570 4.1588 6.8740 10.1607 605.3403 11.2258 11.1615 9.7758 0.0753 0.3695
36.0000 11.9358 4.6144 9.0326 0.7092 622.1245 11.2917 11.5117 9.8717 0.0765 0.4295
39.0000 18.4691 4.7962 17.4713 1.4825 610.5452 11.3577 11.3278 9.9577 0.0743 0.4913
42.0000 25.2012 4.9121 26.2939 1.7603 576.1897 11.4177 10.7037 10.0436 0.0693 0.5513
45.0000 31.7979 4.9921 34.4804 1.9062 525.2586 11.4836 9.7565 10.1295 0.0625 0.6132
48.0000 37.9754 5.0481 41.6817 1.9921 463.4350 11.5495 8.6000 10.2314 0.0545 0.6732
51.0000 43.5390 5.0981 47.7476 2.0621 396.5862 11.6354 7.3439 10.3333 0.0461 0.7450
54.0000 48.3476 5.1340 52.6513 2.1181 329.4670 11.7213 6.0815 10.4511 0.0379 0.8209
57.0000 52.3271 5.1681 56.4105 2.1540 265.8850 11.8232 4.8949 10.5848 0.0301 0.9068
60.0000 55.5193 5.1940 59.1908 2.1840 208.5076 11.9491 3.8320 10.7544 0.0232 1.0186
63.0000 57.9516 5.2140 61.0699 2.2140 158.9803 0.1050 2.9269 10.9540 0.0173 1.1623
66.0000 59.7202 5.2340 62.2684 2.2340 118.0889 0.3068 2.1914 11.2036 0.0126 1.3500
69.0000 60.8949 5.2499 62.9094 2.2499 85.9159 0.5627 1.6232 11.5072 0.0089 1.6155
72.0000 61.6429 5.2699 63.1404 2.2658 61.6434 0.8786 1.2029 11.8691 0.0061 1.9686
75.0000 62.0726 5.2799 63.1052 2.2799 44.5121 1.2546 0.9030 0.2572 0.0043 2.4077
78.0000 62.2392 5.2858 62.9123 2.2858 31.8001 1.6527 0.6732 0.6517 0.0031 2.8868
81.0000 62.2789 5.2958 62.6933 2.2958 23.4317 2.0868 0.5104 1.0285 0.0023 3.3963
84.0000 62.3165 5.3058 62.4697 2.3017 15.0066 2.1932 0.3411 1.2148 0.0014 3.5659
87.0000 62.2392 5.3058 62.2947 2.3058 12.1077 3.5100 0.1699 1.3951 0.0019 4.3632
