# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 0.0008 6.1183 0.0021 9.2386 0.0238 5.1864 0.0000 5.5481 0.0000 5.1763
-84.0000 0.0023 5.8978 0.0055 9.0281 0.0082 11.4669 0.0001 4.9480 0.0000 11.2873
-81.0000 0.0047 5.8075 0.0106 8.9178 0.0045 0.6880 0.0004 4.6278 0.0000 11.1281
-78.0000 0.0087 5.7675 0.0180 8.8476 0.0094 0.1885 0.0009 4.4676 0.0000 10.8780
-75.0000 0.0159 5.7875 0.0292 8.8176 0.0223 0.1077 0.0016 4.3477 0.0000 10.8776
-72.0000 0.0286 5.8076 0.0471 8.8175 0.0291 0.3180 0.0027 4.2475 0.0000 10.7379
-69.0000 0.0541 5.8275 0.0765 8.8276 0.0630 11.9778 0.0033 4.4175 0.0000 10.9975
-66.0000 0.0955 5.8776 0.1244 8.8476 0.1107 0.1177 0.0042 3.9577 0.0000 10.9478
-63.0000 0.1673 5.8676 0.2012 8.8576 0.2024 0.0278 0.0037 3.8373 0.0000 11.2677
-60.0000 0.2829 5.8776 0.3208 8.8576 0.3934 0.0578 0.0026 1.0477 0.0001 11.8277
-57.0000 0.4555 5.8776 0.4999 8.8576 0.7241 0.0878 0.0098 11.4179 0.0001 0.5278
-54.0000 0.7103 5.8576 0.7589 8.8476 1.3347 0.0478 0.0265 10.8480 0.0001 1.2275
-51.0000 1.0718 5.8476 1.1198 8.8376 2.4256 0.0378 0.0608 10.6379 0.0003 1.7273
-48.0000 1.5552 5.8376 1.6033 8.8276 4.2166 0.0377 0.1193 10.5479 0.0005 1.9772
-45.0000 2.1774 5.8276 2.2244 8.8176 7.0641 0.0177 0.2125 10.4678 0.0009 2.0771
-42.0000 2.9570 5.8076 2.9909 8.8075 11.4422 11.9976 0.3567 10.3978 0.0016 2.1071
-39.0000 3.8968 5.7976 3.8968 8.7875 17.8776 11.9776 0.5687 10.3477 0.0025 2.1170
-36.0000 4.9834 5.7875 4.9137 8.7775 26.8924 11.9576 0.8643 10.3077 0.0039 2.1169
-33.0000 6.1906 5.7775 5.9984 8.7675 39.0390 11.9376 1.2589 10.2777 0.0057 2.0969
-30.0000 7.4881 5.7675 7.0794 8.7475 54.7262 11.9275 1.7648 10.2377 0.0081 2.0669
-27.0000 8.8269 5.7675 8.0623 8.7375 74.1599 11.9075 2.3866 10.2176 0.0110 2.0468
-24.0000 10.1545 5.7575 8.8437 8.7274 97.1530 11.8875 3.1150 10.1876 0.0144 2.0168
-21.0000 11.4180 5.7575 9.3145 8.7174 123.1377 11.8775 3.9337 10.1676 0.0183 1.9968
-18.0000 12.5684 5.7574 9.3746 8.7074 151.0825 11.8674 4.8070 10.1476 0.0225 1.9668
-15.0000 13.5687 5.7574 8.9471 8.6974 179.5178 11.8574 5.6915 10.1375 0.0268 1.9468
-12.0000 14.3966 5.7574 7.9979 8.6974 206.5818 11.8474 6.5309 10.1275 0.0308 1.9367
-9.0000 15.0374 5.7574 6.5403 8.6874 230.5011 11.8374 7.2649 10.1175 0.0344 1.9168
-6.0000 15.4910 5.7574 4.6363 8.6874 249.1343 11.8374 7.8390 10.1075 0.0372 1.9068
-3.0000 15.7583 5.7574 2.4067 8.6874 260.9990 11.8374 8.2040 10.1075 0.0390 1.9067
0.0000 15.8474 5.7674 0.0000 5.3065 265.1436 11.8374 8.3283 10.0975 0.0396 1.9067
3.0000 15.7583 5.7574 2.4067 2.6874 260.9990 11.8374 8.2040 10.1075 0.0390 1.9067
6.0000 15.4910 5.7574 4.6363 2.6874 249.1343 11.8374 7.8390 10.1075 0.0372 1.9068
9.0000 15.0374 5.7574 6.5403 2.6874 230.5011 11.8374 7.2649 10.1175 0.0344 1.9168
12.0000 14.3966 5.7574 7.9979 2.6974 206.5818 11.8474 6.5309 10.1275 0.0308 1.9367
15.0000 13.5687 5.7574 8.9471 2.6974 179.5178 11.8574 5.6915 10.1375 0.0268 1.9468
18.0000 12.5684 5.7574 9.3746 2.7074 151.0825 11.8674 4.8070 10.1476 0.0225 1.9668
21.0000 11.4180 5.7575 9.3145 2.7174 123.1377 11.8775 3.9337 10.1676 0.0183 1.9968
24.0000 10.1545 5.7575 8.8437 2.7274 97.1530 11.8875 3.1150 10.1876 0.0144 2.0168
27.0000 8.8269 5.7675 8.0623 2.7375 74.1599 11.9075 2.3866 10.2176 0.0110 2.0468
30.0000 7.4881 5.7675 7.0794 2.7475 54.7262 11.9275 1.7648 10.2377 0.0081 2.0669
33.0000 6.1906 5.7775 5.9984 2.7675 39.0390 11.9376 1.2589 10.2777 0.0057 2.0969
36.0000 4.9834 5.7875 4.9137 2.7775 26.8924 11.9576 0.8643 10.3077 0.0039 2.1169
39.0000 3.8968 5.7976 3.8968 2.7875 17.8776 11.9776 0.5687 10.3477 0.0025 2.1170
42.0000 2.9570 5.8076 2.9909 2.8075 11.4422 11.9976 0.3567 10.3978 0.0016 2.1071
45.0000 2.1774 5.8276 2.2244 2.8176 7.0641 0.0177 0.2125 10.4678 0.0009 2.0771
48.0000 1.5552 5.8376 1.6033 2.8276 4.2166 0.0377 0.1193 10.5479 0.0005 1.9772
51.0000 1.0718 5.8476 1.1198 2.8376 2.4256 0.0378 0.0608 10.6379 0.0003 1.7273
54.0000 0.7103 5.8576 0.7589 2.8476 1.3347 0.0478 0.0265 10.8480 0.0001 1.2275
57.0000 0.4555 5.8776 0.4999 2.8576 0.7241 0.0878 0.0098 11.4179 0.0001 0.5278
60.0000 0.2829 5.8776 0.3208 2.8576 0.3934 0.0578 0.0026 1.0477 0.0001 11.8277
63.0000 0.1673 5.8676 0.2012 2.8576 0.2024 0.0278 0.0037 3.8373 0.0000 11.2677
66.0000 0.0955 5.8776 0.1244 2.8476 0.1107 0.1177 0.0042 3.9577 0.0000 10.9478
69.0000 0.0541 5.8275 0.0765 2.8276 0.0630 11.9778 0.0033 4.4175 0.0000 10.9975
72.0000 0.0286 5.8076 0.0471 2.8175 0.0291 0.3180 0.0027 4.2475 0.0000 10.7379
75.0000 0.0159 5.7875 0.0292 2.8176 0.0223 0.1077 0.0016 4.3477 0.0000 10.8776
78.0000 0.0087 5.7675 0.0180 2.8476 0.0094 0.1885 0.0009 4.4676 0.0000 10.8780
81.0000 0.0047 5.8075 0.0106 2.9178 0.0045 0.6880 0.0004 4.6278 0.0000 11.1281
84.0000 0.0023 5.8978 0.0055 3.0281 0.0082 11.4669 0.0001 4.9480 0.0000 11.2873
87.0000 0.0008 6.1183 0.0021 3.2386 0.0238 5.1864 0.0000 5.5481 0.0000 5.1763
