# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 0.1373 10.9272 0.1302 1.6572 6.5689 11.4572 0.0010 4.2269 0.0011 11.4572
-84.0000 0.5855 11.1672 0.5660 2.0472 1.7882 5.3072 0.0065 5.5669 0.0003 5.2772
-81.0000 1.3441 11.2272 1.3194 2.1472 0.2445 10.7070 0.0196 5.9569 0.0001 11.6069
-78.0000 2.4101 11.2272 2.3917 2.1772 0.6195 6.7277 0.0396 6.0171 0.0001 11.3664
-75.0000 3.7752 11.2172 3.7808 2.1872 1.2736 7.1676 0.0719 5.8772 0.0003 10.7765
-72.0000 5.4509 11.1772 5.4871 2.1672 2.4263 6.8476 0.1111 5.3673 0.0004 9.8667
-69.0000 7.4722 11.1372 7.4973 2.1372 4.9133 6.3976 0.2105 4.7774 0.0008 9.1569
-66.0000 9.7110 11.1172 9.7752 2.1072 9.3436 6.2175 0.3815 4.5574 0.0016 8.8468
-63.0000 12.0729 11.0772 12.2421 2.0672 15.7869 6.0174 0.6167 4.3374 0.0026 8.5468
-60.0000 14.5143 11.0272 14.7957 2.0172 25.7919 5.8274 0.9686 4.1274 0.0042 8.2668
-57.0000 16.8735 10.9772 17.2880 1.9672 40.0072 5.6774 1.4554 3.9574 0.0064 8.0368
-54.0000 18.9862 10.9272 19.5378 1.9072 59.0467 5.5374 2.0923 3.8074 0.0094 7.8467
-51.0000 20.6921 10.8672 21.3249 1.8472 83.4665 5.4174 2.8866 3.6674 0.0132 7.6667
-48.0000 21.8121 10.8072 22.4218 1.7672 112.9620 5.3074 3.8255 3.5474 0.0178 7.5167
-45.0000 22.1960 10.7473 22.6003 1.6972 146.4633 5.2173 4.8702 3.4374 0.0230 7.3667
-42.0000 21.7407 10.6873 21.6713 1.6073 182.0556 5.1173 5.9483 3.3374 0.0285 7.2367
-39.0000 20.4133 10.6273 19.5176 1.4973 216.7250 5.0373 6.9706 3.2374 0.0338 7.1167
-36.0000 18.2499 10.5573 16.1356 1.3573 246.4966 4.9473 7.8173 3.1474 0.0383 7.0067
-33.0000 15.3777 10.4973 11.6784 1.1373 266.9150 4.8673 8.3519 3.0574 0.0414 6.8967
-30.0000 12.0022 10.4174 6.5881 0.6373 273.4565 4.7873 8.4520 2.9774 0.0423 6.7967
-27.0000 8.3810 10.3274 3.1548 10.4468 262.3367 4.7073 8.0172 2.8874 0.0404 6.6867
-24.0000 4.8104 10.1474 6.7709 8.3872 231.2260 4.6074 6.9920 2.7974 0.0354 6.5767
-21.0000 1.6597 9.4074 11.6199 7.9273 180.2437 4.4874 5.3928 2.6775 0.0274 6.4367
-18.0000 1.6854 5.5272 15.4407 7.7373 112.5954 4.2474 3.3202 2.4675 0.0168 6.1766
-15.0000 3.7848 4.9273 17.5775 7.6273 39.9079 3.1675 1.0863 1.4573 0.0056 4.9665
-12.0000 5.3844 4.8073 17.6691 7.5573 64.5132 11.5473 1.8595 9.5673 0.0105 1.3569
-9.0000 6.4518 4.7773 15.6316 7.5073 141.1554 11.0373 4.1339 9.1174 0.0225 0.8968
-6.0000 7.0872 4.7773 11.6632 7.4773 206.1727 10.8873 6.0336 8.9874 0.0326 0.7568
-3.0000 7.4077 4.7773 6.2259 7.4573 249.1169 10.8373 7.2815 8.9374 0.0392 0.6968
0.0000 7.5052 4.7873 0.0000 6.7261 264.1118 10.8173 7.7160 8.9274 0.0415 0.6868
3.0000 7.4077 4.7773 6.2259 1.4573 249.1169 10.8373 7.2815 8.9374 0.0392 0.6968
6.0000 7.0872 4.7773 11.6632 1.4773 206.1727 10.8873 6.0336 8.9874 0.0326 0.7568
9.0000 6.4518 4.7773 15.6316 1.5073 141.1554 11.0373 4.1339 9.1174 0.0225 0.8968
12.0000 5.3844 4.8073 17.6691 1.5573 64.5132 11.5473 1.8595 9.5673 0.0105 1.3569
15.0000 3.7848 4.9273 17.5775 1.6273 39.9079 3.1675 1.0863 1.4573 0.0056 4.9665
18.0000 1.6854 5.5272 15.4407 1.7373 112.5954 4.2474 3.3202 2.4675 0.0168 6.1766
21.0000 1.6597 9.4074 11.6199 1.9273 180.2437 4.4874 5.3928 2.6775 0.0274 6.4367
24.0000 4.8104 10.1474 6.7709 2.3872 231.2260 4.6074 6.9920 2.7974 0.0354 6.5767
27.0000 8.3810 10.3274 3.1548 4.4468 262.3367 4.7073 8.0172 2.8874 0.0404 6.6867
30.0000 12.0022 10.4174 6.5881 6.6373 273.4565 4.7873 8.4520 2.9774 0.0423 6.7967
33.0000 15.3777 10.4973 11.6784 7.1373 266.9150 4.8673 8.3519 3.0574 0.0414 6.8967
36.0000 18.2499 10.5573 16.1356 7.3573 246.4966 4.9473 7.8173 3.1474 0.0383 7.0067
39.0000 20.4133 10.6273 19.5176 7.4973 216.7250 5.0373 6.9706 3.2374 0.0338 7.1167
42.0000 21.7407 10.6873 21.6713 7.6073 182.0556 5.1173 5.9483 3.3374 0.0285 7.2367
45.0000 22.1960 10.7473 22.6003 7.6972 146.4633 5.2173 4.8702 3.4374 0.0230 7.3667
48.0000 21.8121 10.8072 22.4218 7.7672 112.9620 5.3074 3.8255 3.5474 0.0178 7.5167
51.0000 20.6921 10.8672 21.3249 7.8472 83.4665 5.4174 2.8866 3.6674 0.0132 7.6667
54.0000 18.9862 10.9272 19.5378 7.9072 59.0467 5.5374 2.0923 3.8074 0.0094 7.8467
57.0000 16.8735 10.9772 17.2880 7.9672 40.0072 5.6774 1.4554 3.9574 0.0064 8.0368
60.0000 14.5143 11.0272 14.7957 8.0172 25.7919 5.8274 0.9686 4.1274 0.0042 8.2668
63.0000 12.0729 11.0772 12.2421 8.0672 15.7869 6.0174 0.6167 4.3374 0.0026 8.5468
66.0000 9.7110 11.1172 9.7752 8.1072 9.3436 6.2175 0.3815 4.5574 0.0016 8.8468
69.0000 7.4722 11.1372 7.4973 8.1372 4.9133 6.3976 0.2105 4.7774 0.0008 9.1569
72.0000 5.4509 11.1772 5.4871 8.1672 2.4263 6.8476 0.1111 5.3673 0.0004 9.8667
75.0000 3.7752 11.2172 3.7808 8.1872 1.2736 7.1676 0.0719 5.8772 0.0003 10.7765
78.0000 2.4101 11.2272 2.3917 8.1772 0.6195 6.7277 0.0396 6.0171 0.0001 11.3664
81.0000 1.3441 11.2272 1.3194 8.1472 0.2445 10.7070 0.0196 5.9569 0.0001 11.6069
84.0000 0.5855 11.1672 0.5660 8.0472 1.7882 5.3072 0.0065 5.5669 0.0003 5.2772
87.0000 0.1373 10.9272 0.1302 7.6572 6.5689 11.4572 0.0010 4.2269 0.0011 11.4572
