# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 0.7655 9.1904 0.7623 6.1804 2.1837 7.9751 0.0250 10.3985 0.0004 7.2860
-84.0000 1.5835 9.2502 1.5534 6.2102 15.2097 9.2304 0.0927 9.9395 0.0022 9.0705
-81.0000 2.4413 9.2701 2.3334 6.2301 36.0031 9.2401 0.1922 9.6000 0.0052 9.1701
-78.0000 3.1565 9.3003 3.0509 6.2301 63.0528 9.2402 0.3352 9.8897 0.0093 9.1202
-75.0000 4.0773 9.3203 3.7431 6.2200 96.7875 9.2802 0.5491 9.8395 0.0140 9.1602
-72.0000 5.1736 9.2903 4.4242 6.1899 141.2933 9.2501 0.7878 9.7096 0.0204 9.1502
-69.0000 6.2929 9.3604 5.0858 6.1499 192.2522 9.2701 1.1302 9.7894 0.0275 9.1602
-66.0000 7.5452 9.3704 5.7214 6.0998 252.1913 9.2601 1.4630 9.7494 0.0362 9.1503
-63.0000 9.0116 9.4104 6.3246 6.0297 321.4055 9.2601 1.8957 9.7194 0.0459 9.1603
-60.0000 10.5238 9.4503 6.8659 5.9396 397.3429 9.2601 2.3641 9.7093 0.0567 9.1603
-57.0000 12.2168 9.4503 7.3455 5.8295 481.0293 9.2501 2.8513 9.6793 0.0686 9.1503
-54.0000 14.2640 9.4702 7.8023 5.6895 576.7091 9.2401 3.3932 9.6392 0.0823 9.1503
-51.0000 16.2171 9.4902 8.2167 5.5394 673.6965 9.2301 3.9056 9.6093 0.0964 9.1502
-48.0000 18.4430 9.4701 8.6052 5.3594 782.0229 9.2001 4.4148 9.5593 0.1124 9.1302
-45.0000 20.7298 9.4601 9.0033 5.1893 893.2681 9.1901 4.8752 9.5293 0.1292 9.1202
-42.0000 23.0133 9.4400 9.4049 5.0092 1009.6852 9.1600 5.2644 9.4794 0.1473 9.0902
-39.0000 25.3156 9.4000 9.7970 4.8592 1129.7000 9.1300 5.5822 9.4295 0.1663 9.0702
-36.0000 27.5465 9.3500 10.1541 4.7391 1251.3092 9.0901 5.8223 9.3696 0.1861 9.0501
-33.0000 29.7121 9.2900 10.4296 4.6591 1374.5138 9.0600 5.9975 9.2998 0.2064 9.0201
-30.0000 31.8054 9.2201 10.5795 4.6291 1497.4163 9.0200 6.1401 9.2099 0.2268 8.9901
