# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 0.3122 2.4955 0.2336 5.3715 19.8378 2.6854 0.0048 5.8104 0.0035 2.6754
-84.0000 1.5608 2.5774 1.4009 5.5455 5.2141 8.6455 0.0212 7.0761 0.0008 8.8395
-81.0000 3.7207 2.5874 3.4908 5.5715 0.8510 1.5535 0.0590 7.5295 0.0005 1.5385
-78.0000 6.7371 2.6015 6.4644 5.5815 2.0973 9.7902 0.1495 7.9390 0.0007 1.0526
-75.0000 10.4871 2.6115 10.2415 5.5715 6.1875 10.5714 0.3239 8.2074 0.0018 1.0033
-72.0000 14.8014 2.5515 14.7061 5.5415 10.6570 10.3973 0.4733 7.9514 0.0027 0.5793
-69.0000 19.8295 2.5055 19.7177 5.5055 19.2880 10.0873 0.8287 7.6374 0.0048 0.2314
-66.0000 25.0403 2.4655 25.0375 5.4595 32.6480 9.8673 1.3414 7.4655 0.0078 11.9894
-63.0000 30.1698 2.4195 30.3243 5.4095 51.8418 9.6714 2.0536 7.3095 0.0120 11.7734
-60.0000 34.8103 2.3695 35.1704 5.3595 78.0425 9.4914 2.9974 7.1575 0.0174 11.5674
-57.0000 38.4813 2.3235 39.0311 5.2995 112.0417 9.3254 4.1892 7.0215 0.0243 11.3874
-54.0000 40.7556 2.2735 41.3713 5.2395 153.4748 9.1754 5.6044 6.8955 0.0326 11.2215
-51.0000 41.2498 2.2235 41.6650 5.1635 201.1067 9.0394 7.1808 6.7895 0.0418 11.0655
-48.0000 39.6587 2.1735 39.4731 5.0775 250.5199 8.9194 8.7781 6.6835 0.0511 10.9295
-45.0000 35.9020 2.1075 34.6053 4.9675 297.0582 8.8094 10.2276 6.5875 0.0596 10.8035
-42.0000 30.2090 2.0375 27.1847 4.7915 333.5119 8.7034 11.2999 6.4975 0.0660 10.6835
-39.0000 22.9543 1.9375 17.8866 4.4455 351.6591 8.5974 11.7527 6.4055 0.0686 10.5635
-36.0000 14.8862 1.7575 8.9510 3.3334 344.5938 8.4874 11.3764 6.3055 0.0664 10.4375
-33.0000 7.0433 1.2355 9.9357 0.7692 307.2762 8.3474 10.0304 6.1895 0.0585 10.3015
-30.0000 3.4985 10.3947 18.5197 11.8814 238.7417 8.1515 7.7130 6.0195 0.0447 10.0995
-27.0000 8.0152 8.8954 25.8597 11.5834 146.1074 7.7174 4.6417 5.6435 0.0264 9.6675
-24.0000 11.8680 8.6074 29.7438 11.4315 68.0812 5.8647 1.8972 3.8555 0.0114 7.6372
-21.0000 13.7760 8.5174 29.2611 11.3215 130.7588 3.5351 3.8415 1.2695 0.0248 5.2772
-18.0000 13.8076 8.4915 24.2929 11.2155 232.1946 3.0173 7.0302 0.7755 0.0441 4.8154
-15.0000 12.3778 8.5074 15.5385 11.0495 308.5421 2.8214 9.3879 0.5995 0.0582 4.6334
-12.0000 10.0542 8.5474 4.7488 10.2655 341.0427 2.7254 10.3748 0.5095 0.0641 4.5374
-9.0000 7.3818 8.6034 8.2361 5.8814 320.8798 2.6594 9.7483 0.4595 0.0601 4.4815
-6.0000 4.7403 8.6694 18.4425 5.5374 249.0727 2.6294 7.5547 0.4235 0.0465 4.4455
-3.0000 2.2936 8.7254 25.5086 5.4574 135.9006 2.6094 4.1199 0.4135 0.0254 4.4255
0.0000 0.0000 7.7025 28.0176 5.4374 0.0000 1.6666 0.0000 0.4183 0.0000 3.1826
