# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 4.9224 1.5172 4.9085 4.5272 4.0506 11.5426 0.0200 8.2645 0.0007 11.8226
-84.0000 9.9543 1.4772 9.8874 4.4972 1.1323 9.9927 0.0751 7.7717 0.0004 0.8068
-81.0000 15.1351 1.4372 14.9246 4.4572 4.9151 9.9227 0.2047 7.1527 0.0013 11.8143
-78.0000 20.1269 1.4172 19.9263 4.4272 10.7029 9.4799 0.4396 7.2927 0.0023 11.7379
-75.0000 24.7465 1.3872 24.7720 4.3772 19.8253 9.5281 0.7271 7.3608 0.0040 11.6379
-72.0000 29.0029 1.3372 29.3294 4.3354 28.8699 9.2699 1.0291 7.1008 0.0057 11.3379
-69.0000 32.9208 1.2772 33.4358 4.2754 43.5964 8.9481 1.5249 6.8190 0.0084 11.0079
-66.0000 36.0397 1.2172 36.8729 4.2154 62.9191 8.6963 2.1575 6.5872 0.0119 10.7379
-63.0000 38.2537 1.1554 39.4013 4.1435 87.8979 8.4381 2.9604 6.3653 0.0163 10.4761
-60.0000 39.2923 1.0854 40.7178 4.0635 119.1957 8.2263 3.9387 6.1653 0.0216 10.2379
-57.0000 38.9771 1.0135 40.5457 3.9735 155.7403 8.0263 5.0637 5.9935 0.0278 10.0279
-54.0000 37.1748 0.9335 38.7037 3.8735 196.3394 7.8563 6.2790 5.8335 0.0346 9.8279
-51.0000 33.8943 0.8499 35.0266 3.7517 237.6452 7.6963 7.4913 5.6835 0.0413 9.6579
-48.0000 29.2312 0.7499 29.5931 3.5981 275.6797 7.5563 8.5732 5.5535 0.0474 9.4979
-45.0000 23.4540 0.6199 22.6388 3.3581 305.0524 7.4245 9.3692 5.4317 0.0519 9.3479
-42.0000 16.9832 0.4463 14.8702 2.9045 320.0843 7.2863 9.7204 5.3117 0.0539 9.1997
-39.0000 10.4263 0.1127 8.4573 1.6735 315.4412 7.1545 9.4834 5.1898 0.0527 9.0597
-36.0000 4.9134 11.1135 9.6118 11.5772 287.3656 7.0045 8.5625 5.0498 0.0475 8.8915
-33.0000 4.4282 8.5717 15.9114 10.6827 234.8507 6.8045 6.9454 4.8680 0.0383 8.6915
-30.0000 7.7468 7.5790 21.6555 10.3227 161.5659 6.4527 4.7371 4.5561 0.0258 8.3450
-27.0000 10.3086 7.2590 25.1309 10.1208 84.0650 5.4435 2.3652 3.6443 0.0126 7.2939
-24.0000 11.4358 7.1190 25.6247 9.9790 84.9242 2.8306 2.1865 0.8517 0.0135 4.4754
-21.0000 11.1904 7.0490 22.9337 9.8572 166.8298 1.8335 4.5342 11.8117 0.0275 3.5472
-18.0000 9.8825 7.0272 17.3315 9.7072 244.9740 1.5153 6.7445 11.4998 0.0403 3.2490
-15.0000 7.9460 7.0353 9.5931 9.4253 296.3476 1.3553 8.1791 11.3580 0.0485 3.1008
-12.0000 5.8231 7.0753 2.4910 7.0361 310.0310 1.2572 8.5560 11.2680 0.0506 3.0108
