# ['lat', 'u_a', 'u_p', 'v_a', 'v_p', 'geopt_a', 'geopt_p', 'temp_a', 'temp_p', 'dr_rho_a', 'dr_rho_p']
-87.0000 0.1202 4.0709 0.1219 7.0547 4.7845 4.1132 0.0005 4.1167 0.0008 4.1132
-84.0000 0.4747 4.0871 0.4790 7.0890 1.2721 10.1075 0.0019 3.4361 0.0002 10.0790
-81.0000 1.0658 4.0871 1.0742 7.0971 0.2252 3.6389 0.0041 3.7069 0.0000 3.7791
-78.0000 1.8965 4.0952 1.9108 7.1052 0.3153 10.5425 0.0051 4.3398 0.0001 10.4933
-75.0000 2.9740 4.1052 2.9916 7.1052 0.7421 10.8932 0.0081 8.8994 0.0001 11.5543
-72.0000 4.2779 4.1052 4.3169 7.1132 1.7637 10.8552 0.0261 9.3960 0.0002 11.7143
-69.0000 5.8198 4.1032 5.8859 7.1132 3.5780 10.7094 0.0625 9.3579 0.0004 11.7439
-66.0000 7.5917 4.1132 7.6938 7.1132 6.8972 10.6113 0.1308 9.3617 0.0008 11.7526
-63.0000 9.5252 4.1213 9.7097 7.1132 12.0123 10.5594 0.2345 9.3756 0.0013 11.7251
-60.0000 11.6059 4.1213 11.8965 7.1213 19.7760 10.4794 0.3922 9.3094 0.0021 11.6613
-57.0000 13.7976 4.1213 14.2090 7.1132 31.3849 10.4194 0.6331 9.2613 0.0033 11.6356
-54.0000 16.0132 4.1213 16.5622 7.1113 47.3525 10.3794 0.9669 9.2252 0.0050 11.6156
-51.0000 18.1699 4.1132 18.8654 7.1032 68.6969 10.3413 1.4154 9.1871 0.0072 11.5956
-48.0000 20.1800 4.1032 20.9852 7.1032 96.2106 10.3113 1.9958 9.1509 0.0101 11.5856
-45.0000 21.9276 4.0952 22.7779 7.0852 130.1465 10.2832 2.7157 9.1128 0.0137 11.5756
-42.0000 23.3083 4.0852 24.0805 7.0671 170.5131 10.2632 3.5732 9.0747 0.0180 11.5594
-39.0000 24.2198 4.0690 24.7115 7.0490 216.5380 10.2352 4.5506 9.0366 0.0231 11.5494
-36.0000 24.5836 4.0590 24.5095 7.0309 266.6638 10.2171 5.6119 8.9966 0.0287 11.5332
-33.0000 24.3425 4.0409 23.3282 7.0028 318.3508 10.1890 6.7058 8.9504 0.0346 11.5170
-30.0000 23.4838 4.0309 21.0742 6.9666 368.1314 10.1709 7.7561 8.9104 0.0405 11.4989
-27.0000 22.0427 4.0147 17.7180 6.9204 411.8338 10.1509 8.6732 8.8723 0.0457 11.4826
-24.0000 20.0879 4.0066 13.3335 6.8561 444.7403 10.1247 9.3615 8.8342 0.0499 11.4645
-21.0000 17.7404 3.9985 8.0936 6.7437 462.1432 10.1047 9.7178 8.7942 0.0523 11.4464
