# MLT(line2), Mlat(lines 3-21), EFlux(lines 22-40), AveE(lines 41-59)
0.125   0.375   0.625   0.875   1.125   1.375   1.625   1.875   2.125   2.375   2.625   2.875   3.125   3.375   3.625   3.875   4.125   4.375   4.625   4.875   5.125   5.375   5.625   5.875   6.125   6.375   6.625   6.875   7.125   7.375   7.625   7.875   8.125   8.375   8.625   8.875   9.125   9.375   9.625   9.875   10.125  10.375  10.625  10.875  11.125  11.375  11.625  11.875  12.125  12.375  12.625  12.875  13.125  13.375  13.625  13.875  14.125  14.375  14.625  14.875  15.125  15.375  15.625  15.875  16.125  16.375  16.625  16.875  17.125  17.375  17.625  17.875  18.125  18.375  18.625  18.875  19.125  19.375  19.625  19.875  20.125  20.375  20.625  20.875  21.125  21.375  21.625  21.875  22.125  22.375  22.625  22.875  23.125  23.375  23.625  23.875  
66.10  66.14  66.11  66.09  66.16  66.30  66.38  66.54  66.65  66.85  67.10  67.33  67.51  67.73  67.93  68.15  68.48  68.74  69.01  69.34  69.63  69.92  70.24  70.60  71.02  71.23  71.75  72.16  72.60  73.01  73.44  73.96  74.42  74.68  75.13  75.54  75.84  76.06  76.22  76.57  76.92  77.21  77.67  78.04  78.64  78.87  78.95  78.76  78.99  78.72  78.34  78.20  77.80  77.64  77.47  77.38  77.21  77.07  76.97  76.88  76.70  76.54  76.44  76.15  75.86  75.66  75.38  75.02  74.60  74.14  73.79  73.37  72.73  72.38  71.91  71.53  71.09  70.64  70.30  69.98  69.54  69.15  68.94  68.71  68.39  68.03  67.72  67.47  67.24  67.02  66.82  66.69  66.50  66.35  66.23  66.12  
66.33  66.39  66.33  66.36  66.41  66.51  66.58  66.76  66.89  67.07  67.34  67.52  67.80  67.93  68.14  68.39  68.66  68.89  69.22  69.49  69.84  70.14  70.45  70.82  71.24  71.45  71.97  72.42  72.87  73.28  73.73  74.26  74.72  74.99  75.44  75.83  76.01  76.26  76.45  76.83  77.01  77.31  77.87  78.18  78.70  79.05  79.15  78.78  79.00  78.74  78.38  78.25  77.93  77.67  77.56  77.47  77.25  77.20  77.11  77.02  76.87  76.68  76.57  76.32  76.06  75.83  75.58  75.17  74.81  74.32  73.99  73.40  72.95  72.47  72.13  71.73  71.24  70.84  70.55  70.19  69.76  69.46  69.19  69.00  68.69  68.29  68.02  67.71  67.53  67.33  67.15  66.98  66.82  66.67  66.50  66.53  
66.55  66.58  66.55  66.54  66.58  66.69  66.76  66.88  67.03  67.20  67.51  67.66  67.95  68.09  68.32  68.54  68.79  69.08  69.35  69.68  69.98  70.32  70.67  71.04  71.27  71.67  72.19  72.68  73.15  73.56  74.02  74.53  74.93  75.17  75.61  76.00  76.30  76.40  76.61  76.99  77.12  77.50  77.90  78.18  78.88  79.08  79.19  78.98  79.20  78.92  78.42  78.30  77.95  77.72  77.57  77.55  77.40  77.27  77.14  77.04  76.89  76.82  76.64  76.43  76.16  75.95  75.71  75.31  74.98  74.54  74.17  73.62  73.17  72.65  72.28  71.90  71.38  71.01  70.69  70.39  69.95  69.67  69.36  69.17  68.85  68.57  68.18  67.96  67.73  67.53  67.36  67.21  67.13  66.94  66.82  66.76  
66.76  66.71  66.74  66.72  66.73  66.81  66.93  67.04  67.19  67.33  67.65  67.82  67.99  68.24  68.45  68.69  68.98  69.23  69.52  69.78  70.16  70.46  70.75  71.25  71.49  71.87  72.40  72.90  73.36  73.77  74.22  74.75  75.17  75.40  75.81  76.15  76.45  76.57  76.76  77.13  77.31  77.51  77.96  78.31  78.94  79.26  79.36  78.99  79.22  78.94  78.45  78.41  77.95  77.72  77.67  77.55  77.40  77.33  77.17  77.19  77.02  76.85  76.70  76.51  76.26  76.04  75.79  75.51  75.07  74.72  74.24  73.82  73.38  72.84  72.46  72.01  71.57  71.16  70.87  70.50  70.07  69.85  69.53  69.33  69.02  68.70  68.35  68.13  67.93  67.73  67.56  67.45  67.30  67.12  66.95  66.97  
66.96  66.92  66.88  66.89  66.86  66.98  67.05  67.17  67.31  67.47  67.75  67.97  68.14  68.38  68.58  68.82  69.08  69.37  69.63  69.91  70.32  70.61  70.92  71.27  71.70  72.09  72.59  73.12  73.57  73.98  74.45  74.95  75.36  75.60  75.97  76.31  76.62  76.68  76.89  77.18  77.41  77.61  78.11  78.37  79.01  79.26  79.39  79.00  79.22  78.96  78.60  78.46  78.01  77.80  77.76  77.57  77.44  77.38  77.28  77.20  77.03  76.99  76.82  76.62  76.36  76.15  75.92  75.59  75.24  74.79  74.41  73.84  73.40  72.92  72.56  72.16  71.66  71.33  70.98  70.69  70.22  69.94  69.67  69.49  69.18  68.88  68.53  68.27  68.12  67.89  67.77  67.66  67.46  67.34  67.17  67.18  
67.00  67.12  67.02  67.00  67.00  67.06  67.16  67.27  67.39  67.61  67.86  68.11  68.29  68.49  68.70  68.95  69.18  69.48  69.81  70.10  70.43  70.76  71.14  71.49  71.92  72.29  72.81  73.33  73.85  74.18  74.72  75.24  75.54  75.78  76.12  76.47  76.63  76.74  76.98  77.29  77.51  77.79  78.16  78.39  79.18  79.30  79.41  79.20  79.43  79.14  78.64  78.51  78.01  77.88  77.77  77.66  77.52  77.46  77.31  77.33  77.18  77.10  76.88  76.76  76.54  76.26  76.00  75.72  75.35  74.98  74.47  74.05  73.62  73.11  72.71  72.23  71.80  71.45  71.09  70.86  70.35  70.10  69.81  69.63  69.33  69.01  68.66  68.44  68.23  68.09  67.95  67.82  67.66  67.56  67.37  67.22  
67.22  67.29  67.17  67.15  67.20  67.18  67.27  67.45  67.52  67.74  67.96  68.14  68.42  68.59  68.86  69.07  69.28  69.64  69.92  70.25  70.63  70.94  71.21  71.69  72.12  72.49  72.96  73.50  74.04  74.39  74.92  75.43  75.70  75.91  76.29  76.63  76.78  76.88  77.01  77.32  77.59  77.81  78.32  78.46  79.22  79.34  79.58  79.21  79.44  79.14  78.67  78.56  78.08  77.93  77.77  77.68  77.58  77.51  77.42  77.35  77.19  77.13  76.92  76.81  76.65  76.34  76.12  75.80  75.46  75.12  74.65  74.06  73.82  73.28  72.81  72.39  71.93  71.58  71.27  70.89  70.47  70.23  69.90  69.78  69.46  69.11  68.79  68.57  68.42  68.22  68.09  67.99  67.84  67.78  67.57  67.44  
67.43  67.39  67.28  67.27  67.32  67.31  67.43  67.53  67.68  67.87  68.06  68.29  68.57  68.72  68.94  69.23  69.47  69.76  70.05  70.37  70.75  71.08  71.41  71.90  72.16  72.71  73.16  73.66  74.25  74.60  75.12  75.64  75.85  76.14  76.40  76.78  76.94  77.02  77.19  77.44  77.70  77.90  78.37  78.52  79.28  79.48  79.58  79.22  79.44  79.18  78.82  78.62  78.14  77.93  77.84  77.77  77.63  77.56  77.45  77.35  77.20  77.16  77.05  76.92  76.65  76.44  76.20  75.87  75.55  75.20  74.69  74.27  73.84  73.35  72.93  72.49  72.06  71.70  71.36  70.99  70.59  70.34  70.04  69.80  69.61  69.25  68.92  68.74  68.59  68.38  68.26  68.17  68.04  67.91  67.75  67.65  
67.65  67.56  67.45  67.41  67.42  67.47  67.56  67.64  67.76  67.94  68.17  68.43  68.61  68.83  69.07  69.34  69.57  69.87  70.18  70.48  70.86  71.23  71.60  71.93  72.37  72.90  73.42  73.82  74.46  74.80  75.34  75.81  76.03  76.27  76.60  76.93  77.08  77.05  77.25  77.56  77.81  77.99  78.45  78.59  79.34  79.52  79.63  79.32  79.65  79.35  78.85  78.62  78.14  78.01  77.84  77.86  77.63  77.56  77.48  77.50  77.34  77.27  77.13  76.95  76.73  76.53  76.36  75.99  75.62  75.26  74.87  74.48  74.05  73.52  73.03  72.60  72.14  71.83  71.47  71.16  70.71  70.47  70.15  69.96  69.65  69.36  69.00  68.86  68.71  68.51  68.43  68.36  68.21  68.07  67.94  67.86  
