# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.8500 119.8611
 HME_DE3_2 0.2521 180.6011
 HME_DE2_1 0.1971 45.4302
 HME_DE2_2 0.2197 137.4250
 HME_DE1_1 0.0095 42.3681
 HME_DE1_2 0.1843 198.4611
  HME_D0_1 0.2173 208.7116
  HME_D0_2 0.0059 168.5349
 HME_DW1_1 0.6229 158.2860
 HME_DW2_1 0.4496 231.4437
 HME_SE3_1 0.0320 135.7621
 HME_SE3_2 0.0580 327.1798
 HME_SE3_3 0.0176 182.7577
 HME_SE3_4 0.0304 168.3713
 HME_SE2_1 0.0500 208.6990
 HME_SE2_2 0.1617 213.5914
 HME_SE2_3 0.1194 305.1728
 HME_SE2_4 0.0696 21.9020
 HME_SE1_1 0.0040 158.6266
 HME_SE1_2 0.0161 270.3818
 HME_SE1_3 0.0121 271.8805
 HME_SE1_4 0.0829 250.3553
  HME_S0_1 0.0210 232.2718
  HME_S0_2 0.0401 36.3199
  HME_S0_3 0.1548 28.5152
  HME_S0_4 0.0783 125.8549
 HME_SW1_1 0.0399 334.5279
 HME_SW1_2 0.0944 128.7816
 HME_SW1_3 0.1287 58.5339
 HME_SW1_4 0.0664 231.2554
 HME_SW2_1 0.3788 232.6335
 HME_SW2_2 0.2749 153.3132
 HME_SW2_3 0.4457 13.1879
 HME_SW2_4 0.1533 117.1902
 HME_SW3_1 0.0755 323.3832
 HME_SW3_2 0.1045 113.8647
 HME_SW3_3 0.1197 142.2540
 HME_SW3_4 0.0919 349.4466
 HME_SW4_1 0.3569 152.4424
 HME_SW4_2 0.0876 175.8842
 HME_SW4_3 0.0615 20.8438
 HME_SW4_4 0.0326 340.3522
 HME_SW6_1 0.1298 0.8523
 HME_SW6_2 0.0470 242.1671
 HME_SW6_3 0.0189 351.3658
 HME_TW3_1 0.2619 46.8023
 HME_TW3_2 0.0472 153.2815
 HME_TW3_3 0.3183 111.5020
 HME_TW3_4 0.3289 135.6258
