# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.3680 153.8815
 HME_DE3_2 0.1508 129.8367
 HME_DE2_1 0.2204 56.8971
 HME_DE2_2 0.1465 58.4725
 HME_DE1_1 0.0103 168.3438
 HME_DE1_2 0.0984 104.4271
  HME_D0_1 0.0678 101.8546
  HME_D0_2 0.1368 237.2811
 HME_DW1_1 0.7721 178.5907
 HME_DW2_1 0.1543 272.6132
 HME_SE3_1 0.0171 120.9044
 HME_SE3_2 0.0636 10.8494
 HME_SE3_3 0.0492 102.0583
 HME_SE3_4 0.0206 253.3571
 HME_SE2_1 0.0223 191.9579
 HME_SE2_2 0.0972 180.9510
 HME_SE2_3 0.1869 150.3445
 HME_SE2_4 0.0419 210.1996
 HME_SE1_1 0.0139 144.6633
 HME_SE1_2 0.0135 220.7951
 HME_SE1_3 0.0835 48.7850
 HME_SE1_4 0.0621 331.3145
  HME_S0_1 0.0069 255.0602
  HME_S0_2 0.0649 34.1974
  HME_S0_3 0.1531 1.2296
  HME_S0_4 0.0561 137.0812
 HME_SW1_1 0.0091 116.9674
 HME_SW1_2 0.1217 82.7752
 HME_SW1_3 0.0609 46.5769
 HME_SW1_4 0.1213 59.5905
 HME_SW2_1 0.4546 182.1675
 HME_SW2_2 0.7290 65.0173
 HME_SW2_3 0.8667 355.3504
 HME_SW2_4 0.3366 226.1364
 HME_SW3_1 0.2101 246.1785
 HME_SW3_2 0.2001 153.6444
 HME_SW3_3 0.1820 325.8160
 HME_SW3_4 0.1103 137.1765
 HME_SW4_1 0.1152 222.2901
 HME_SW4_2 0.0577 159.3356
 HME_SW4_3 0.1883 45.4499
 HME_SW4_4 0.0541 64.5566
 HME_SW6_1 0.0507 261.8584
 HME_SW6_2 0.0739 349.1704
 HME_SW6_3 0.0662 222.4956
 HME_TW3_1 0.2140 270.9037
 HME_TW3_2 0.0608 233.4391
 HME_TW3_3 0.3193 83.2207
 HME_TW3_4 0.1761 247.1540
