# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.1457 305.5092
 HME_DE3_2 0.2176 207.0959
 HME_DE2_1 0.1934 68.3530
 HME_DE2_2 0.0934 156.0344
 HME_DE1_1 0.0404 49.2624
 HME_DE1_2 0.0930 39.4887
  HME_D0_1 0.0898 139.2361
  HME_D0_2 0.1287 236.6590
 HME_DW1_1 1.0561 176.0850
 HME_DW2_1 0.2240 265.5544
 HME_SE3_1 0.0422 136.3139
 HME_SE3_2 0.1118 350.6171
 HME_SE3_3 0.0479 152.4330
 HME_SE3_4 0.0513 174.8622
 HME_SE2_1 0.0054 336.9417
 HME_SE2_2 0.1211 285.3681
 HME_SE2_3 0.0502 222.9500
 HME_SE2_4 0.0557 113.7887
 HME_SE1_1 0.0148 80.5299
 HME_SE1_2 0.0117 265.2529
 HME_SE1_3 0.0246 271.7835
 HME_SE1_4 0.0234 350.4225
  HME_S0_1 0.0147 33.1509
  HME_S0_2 0.0120 74.4619
  HME_S0_3 0.0719 329.5586
  HME_S0_4 0.0929 140.9749
 HME_SW1_1 0.0164 183.8289
 HME_SW1_2 0.1292 123.9614
 HME_SW1_3 0.0898 76.2856
 HME_SW1_4 0.0976 272.6278
 HME_SW2_1 0.3391 184.1434
 HME_SW2_2 0.6517 257.2036
 HME_SW2_3 0.4970 320.3188
 HME_SW2_4 0.1901 42.5972
 HME_SW3_1 0.0678 188.0237
 HME_SW3_2 0.0577 278.1384
 HME_SW3_3 0.0856 160.0654
 HME_SW3_4 0.0404 69.8023
 HME_SW4_1 0.4221 191.2578
 HME_SW4_2 0.0821 50.4624
 HME_SW4_3 0.1496 14.3899
 HME_SW4_4 0.0338 22.3150
 HME_SW6_1 0.0891 27.0673
 HME_SW6_2 0.0275 34.4900
 HME_SW6_3 0.0620 221.7278
 HME_TW3_1 0.2421 85.5868
 HME_TW3_2 0.1145 113.6432
 HME_TW3_3 0.2392 115.0999
 HME_TW3_4 0.2963 67.6726
