# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.8329 148.0758
 HME_DE3_2 0.1633 88.4992
 HME_DE2_1 0.2037 39.8893
 HME_DE2_2 0.1720 93.1561
 HME_DE1_1 0.0129 154.0959
 HME_DE1_2 0.2331 247.2231
  HME_D0_1 0.0798 229.8187
  HME_D0_2 0.1143 318.0842
 HME_DW1_1 1.0889 180.2288
 HME_DW2_1 0.1607 227.7052
 HME_SE3_1 0.0136 192.3103
 HME_SE3_2 0.1805 37.8536
 HME_SE3_3 0.0273 200.9976
 HME_SE3_4 0.0301 118.3738
 HME_SE2_1 0.0630 231.7743
 HME_SE2_2 0.0926 288.0319
 HME_SE2_3 0.1351 171.0800
 HME_SE2_4 0.0866 188.5760
 HME_SE1_1 0.0014 347.5481
 HME_SE1_2 0.0231 332.3972
 HME_SE1_3 0.0751 86.2104
 HME_SE1_4 0.0974 295.9168
  HME_S0_1 0.0297 351.0427
  HME_S0_2 0.0419 85.6872
  HME_S0_3 0.0346 75.5477
  HME_S0_4 0.0447 176.4054
 HME_SW1_1 0.0401 277.5021
 HME_SW1_2 0.0845 73.9845
 HME_SW1_3 0.0557 177.5302
 HME_SW1_4 0.0412 83.4076
 HME_SW2_1 0.5603 179.2764
 HME_SW2_2 0.6974 104.0580
 HME_SW2_3 0.1453 315.5459
 HME_SW2_4 0.1070 176.3313
 HME_SW3_1 0.1083 252.5538
 HME_SW3_2 0.1380 90.3640
 HME_SW3_3 0.0430 95.7892
 HME_SW3_4 0.0673 132.0642
 HME_SW4_1 0.0887 219.4531
 HME_SW4_2 0.0960 343.0313
 HME_SW4_3 0.0381 276.2322
 HME_SW4_4 0.0118 298.3547
 HME_SW6_1 0.1201 99.6967
 HME_SW6_2 0.0123 226.9906
 HME_SW6_3 0.0101 250.1146
 HME_TW3_1 0.1948 41.1882
 HME_TW3_2 0.0918 95.7422
 HME_TW3_3 0.2856 121.8382
 HME_TW3_4 0.3739 193.9950
