# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 1.0571 146.1445
 HME_DE3_2 0.1975 123.0677
 HME_DE2_1 0.1146 65.8177
 HME_DE2_2 0.1315 115.4323
 HME_DE1_1 0.0035 78.7145
 HME_DE1_2 0.2559 222.0820
  HME_D0_1 0.0449 278.0564
  HME_D0_2 0.1022 349.4234
 HME_DW1_1 1.1884 161.5106
 HME_DW2_1 0.4157 197.4991
 HME_SE3_1 0.0356 141.7578
 HME_SE3_2 0.1423 54.1087
 HME_SE3_3 0.0360 268.8272
 HME_SE3_4 0.0196 225.8417
 HME_SE2_1 0.0923 228.5245
 HME_SE2_2 0.1389 243.0035
 HME_SE2_3 0.0985 157.9206
 HME_SE2_4 0.1015 156.2909
 HME_SE1_1 0.0155 179.6629
 HME_SE1_2 0.0186 281.4474
 HME_SE1_3 0.0703 88.8662
 HME_SE1_4 0.0835 286.7151
  HME_S0_1 0.0239 290.9242
  HME_S0_2 0.0475 57.3381
  HME_S0_3 0.0805 32.0102
  HME_S0_4 0.0692 117.2850
 HME_SW1_1 0.0375 314.1586
 HME_SW1_2 0.0654 95.6206
 HME_SW1_3 0.0413 116.6003
 HME_SW1_4 0.1118 127.6168
 HME_SW2_1 0.1928 155.4540
 HME_SW2_2 0.8191 55.5283
 HME_SW2_3 0.1665 307.9462
 HME_SW2_4 0.5202 219.7420
 HME_SW3_1 0.1330 298.5178
 HME_SW3_2 0.1011 64.6499
 HME_SW3_3 0.1021 331.2913
 HME_SW3_4 0.0668 162.8189
 HME_SW4_1 0.0627 108.1046
 HME_SW4_2 0.1114 51.0567
 HME_SW4_3 0.0672 337.7635
 HME_SW4_4 0.0211 330.1532
 HME_SW6_1 0.0288 45.4772
 HME_SW6_2 0.0940 281.4932
 HME_SW6_3 0.0237 205.3497
 HME_TW3_1 0.0873 175.7327
 HME_TW3_2 0.0782 248.0453
 HME_TW3_3 0.3240 141.8108
 HME_TW3_4 0.2953 223.5369
