# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.4266 95.5195
 HME_DE3_2 0.2814 197.7384
 HME_DE2_1 0.2012 38.1793
 HME_DE2_2 0.2460 172.6416
 HME_DE1_1 0.0203 316.1930
 HME_DE1_2 0.0756 266.3851
  HME_D0_1 0.2145 221.0874
  HME_D0_2 0.1199 246.5870
 HME_DW1_1 0.3504 187.4356
 HME_DW2_1 0.4091 248.1470
 HME_SE3_1 0.0198 123.9561
 HME_SE3_2 0.0582 351.5626
 HME_SE3_3 0.0411 139.3200
 HME_SE3_4 0.0583 225.5244
 HME_SE2_1 0.0151 136.7002
 HME_SE2_2 0.1498 259.5663
 HME_SE2_3 0.0593 330.4494
 HME_SE2_4 0.0667 39.4462
 HME_SE1_1 0.0221 119.4636
 HME_SE1_2 0.0341 293.1243
 HME_SE1_3 0.0416 312.6276
 HME_SE1_4 0.0559 246.5319
  HME_S0_1 0.0099 102.6930
  HME_S0_2 0.0328 24.8067
  HME_S0_3 0.1758 61.3180
  HME_S0_4 0.0901 185.0847
 HME_SW1_1 0.0422 5.1140
 HME_SW1_2 0.1018 148.8156
 HME_SW1_3 0.1443 77.8307
 HME_SW1_4 0.0731 325.6892
 HME_SW2_1 0.6942 213.6341
 HME_SW2_2 0.1364 17.3850
 HME_SW2_3 0.5895 352.0918
 HME_SW2_4 0.2147 45.0129
 HME_SW3_1 0.1046 334.1111
 HME_SW3_2 0.1157 146.0240
 HME_SW3_3 0.1625 129.7508
 HME_SW3_4 0.0324 41.1284
 HME_SW4_1 0.3686 172.4799
 HME_SW4_2 0.0167 176.5984
 HME_SW4_3 0.0624 98.2593
 HME_SW4_4 0.0381 186.4182
 HME_SW6_1 0.1810 352.9782
 HME_SW6_2 0.0822 172.2872
 HME_SW6_3 0.0241 178.3077
 HME_TW3_1 0.3056 344.8691
 HME_TW3_2 0.1668 103.6201
 HME_TW3_3 0.3077 30.5427
 HME_TW3_4 0.0800 238.2054
