# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.4201 153.9916
 HME_DE3_2 0.1788 152.7521
 HME_DE2_1 0.1830 57.2782
 HME_DE2_2 0.1551 86.0758
 HME_DE1_1 0.0119 61.6514
 HME_DE1_2 0.1501 107.9037
  HME_D0_1 0.0287 185.9945
  HME_D0_2 0.1072 219.7711
 HME_DW1_1 0.7731 172.2843
 HME_DW2_1 0.1101 235.3544
 HME_SE3_1 0.0206 138.9753
 HME_SE3_2 0.0530 13.8337
 HME_SE3_3 0.0474 159.7330
 HME_SE3_4 0.0419 195.6485
 HME_SE2_1 0.0272 219.1840
 HME_SE2_2 0.1071 190.9750
 HME_SE2_3 0.1752 156.0285
 HME_SE2_4 0.0557 136.7091
 HME_SE1_1 0.0109 121.7437
 HME_SE1_2 0.0198 292.0616
 HME_SE1_3 0.0648 31.8397
 HME_SE1_4 0.0794 316.4408
  HME_S0_1 0.0053 336.0554
  HME_S0_2 0.0536 27.3842
  HME_S0_3 0.1856 350.0344
  HME_S0_4 0.1205 125.3125
 HME_SW1_1 0.0081 112.1587
 HME_SW1_2 0.0670 78.1937
 HME_SW1_3 0.1013 35.2262
 HME_SW1_4 0.1001 70.2121
 HME_SW2_1 0.5872 173.2834
 HME_SW2_2 0.6790 74.8940
 HME_SW2_3 0.8226 357.7438
 HME_SW2_4 0.1490 254.3609
 HME_SW3_1 0.2504 250.4409
 HME_SW3_2 0.3041 146.5996
 HME_SW3_3 0.2070 307.8588
 HME_SW3_4 0.1438 132.3375
 HME_SW4_1 0.1561 208.6448
 HME_SW4_2 0.0959 144.7859
 HME_SW4_3 0.1933 47.7533
 HME_SW4_4 0.0595 68.8474
 HME_SW6_1 0.0622 329.0403
 HME_SW6_2 0.0630 17.8067
 HME_SW6_3 0.0493 232.8413
 HME_TW3_1 0.1764 295.0692
 HME_TW3_2 0.1533 185.1023
 HME_TW3_3 0.2765 94.8724
 HME_TW3_4 0.1545 182.6782
