# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.8962 124.1698
 HME_DE3_2 0.1924 171.4520
 HME_DE2_1 0.1589 47.9065
 HME_DE2_2 0.2057 119.4044
 HME_DE1_1 0.0435 70.2979
 HME_DE1_2 0.1661 196.6735
  HME_D0_1 0.1425 216.0673
  HME_D0_2 0.0128 64.1786
 HME_DW1_1 0.8609 154.3641
 HME_DW2_1 0.4563 213.2484
 HME_SE3_1 0.0335 153.4233
 HME_SE3_2 0.0614 13.9930
 HME_SE3_3 0.0344 203.3769
 HME_SE3_4 0.0267 174.0523
 HME_SE2_1 0.0404 214.0446
 HME_SE2_2 0.1830 205.4569
 HME_SE2_3 0.0907 276.7090
 HME_SE2_4 0.0355 58.0918
 HME_SE1_1 0.0047 253.3664
 HME_SE1_2 0.0102 261.5532
 HME_SE1_3 0.0050 26.1299
 HME_SE1_4 0.0827 259.7083
  HME_S0_1 0.0209 247.5475
  HME_S0_2 0.0458 38.4052
  HME_S0_3 0.1404 11.0908
  HME_S0_4 0.0942 135.4180
 HME_SW1_1 0.0556 332.7672
 HME_SW1_2 0.0671 98.0459
 HME_SW1_3 0.1584 29.2054
 HME_SW1_4 0.0531 192.7290
 HME_SW2_1 0.2745 225.8209
 HME_SW2_2 0.2300 97.9892
 HME_SW2_3 0.3177 13.5520
 HME_SW2_4 0.3595 198.1607
 HME_SW3_1 0.0857 305.4050
 HME_SW3_2 0.1904 77.8525
 HME_SW3_3 0.0568 121.3257
 HME_SW3_4 0.0509 351.1988
 HME_SW4_1 0.2839 137.6395
 HME_SW4_2 0.1505 145.3833
 HME_SW4_3 0.1011 4.2426
 HME_SW4_4 0.0773 352.3045
 HME_SW6_1 0.0976 346.1036
 HME_SW6_2 0.0823 278.2499
 HME_SW6_3 0.0192 38.9617
 HME_TW3_1 0.3137 68.9530
 HME_TW3_2 0.0435 51.1277
 HME_TW3_3 0.3601 121.7317
 HME_TW3_4 0.3257 153.4857
