# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.2219 160.9326
 HME_DE3_2 0.2795 191.2299
 HME_DE2_1 0.1862 59.6841
 HME_DE2_2 0.1511 119.9311
 HME_DE1_1 0.0421 71.4576
 HME_DE1_2 0.1786 80.1478
  HME_D0_1 0.0780 181.2065
  HME_D0_2 0.1825 222.1995
 HME_DW1_1 0.9749 175.0132
 HME_DW2_1 0.1543 279.3431
 HME_SE3_1 0.0379 152.0900
 HME_SE3_2 0.0603 337.4474
 HME_SE3_3 0.0619 153.2823
 HME_SE3_4 0.0584 194.2855
 HME_SE2_1 0.0256 244.5921
 HME_SE2_2 0.1124 233.3274
 HME_SE2_3 0.0837 192.3726
 HME_SE2_4 0.0991 135.0050
 HME_SE1_1 0.0050 138.7280
 HME_SE1_2 0.0218 270.4516
 HME_SE1_3 0.0044 309.0258
 HME_SE1_4 0.0700 342.8916
  HME_S0_1 0.0170 233.5842
  HME_S0_2 0.0269 22.8687
  HME_S0_3 0.1447 340.9591
  HME_S0_4 0.1241 135.5423
 HME_SW1_1 0.0256 151.3197
 HME_SW1_2 0.0934 117.8644
 HME_SW1_3 0.1062 46.6307
 HME_SW1_4 0.0398 300.0373
 HME_SW2_1 0.4164 183.8290
 HME_SW2_2 0.1934 167.4969
 HME_SW2_3 0.5703 340.3326
 HME_SW2_4 0.2875 32.7642
 HME_SW3_1 0.1853 220.0095
 HME_SW3_2 0.2397 142.5434
 HME_SW3_3 0.0907 288.1558
 HME_SW3_4 0.0788 119.9486
 HME_SW4_1 0.3782 198.2399
 HME_SW4_2 0.0926 149.4610
 HME_SW4_3 0.2199 33.9398
 HME_SW4_4 0.0589 44.7164
 HME_SW6_1 0.0967 21.7783
 HME_SW6_2 0.0503 11.6998
 HME_SW6_3 0.0533 229.8084
 HME_TW3_1 0.2401 46.2572
 HME_TW3_2 0.1305 83.1501
 HME_TW3_3 0.3333 129.5047
 HME_TW3_4 0.2358 91.4003
