# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.1006 186.6345
 HME_DE3_2 0.2506 199.8552
 HME_DE2_1 0.1723 67.3825
 HME_DE2_2 0.1337 127.9215
 HME_DE1_1 0.0461 58.5897
 HME_DE1_2 0.0977 58.3554
  HME_D0_1 0.0796 147.4187
  HME_D0_2 0.1378 225.7152
 HME_DW1_1 1.0396 176.9592
 HME_DW2_1 0.2266 273.0882
 HME_SE3_1 0.0357 162.9306
 HME_SE3_2 0.0877 348.4586
 HME_SE3_3 0.0630 165.5485
 HME_SE3_4 0.0469 182.9146
 HME_SE2_1 0.0219 240.6636
 HME_SE2_2 0.1112 263.4215
 HME_SE2_3 0.0580 209.5922
 HME_SE2_4 0.0807 123.8055
 HME_SE1_1 0.0077 64.4990
 HME_SE1_2 0.0212 295.8111
 HME_SE1_3 0.0195 263.7299
 HME_SE1_4 0.0267 342.4808
  HME_S0_1 0.0087 327.0606
  HME_S0_2 0.0040 86.3643
  HME_S0_3 0.1050 328.3372
  HME_S0_4 0.1104 124.2859
 HME_SW1_1 0.0171 178.8491
 HME_SW1_2 0.1197 121.5122
 HME_SW1_3 0.0565 61.5790
 HME_SW1_4 0.0884 283.2306
 HME_SW2_1 0.3707 172.1621
 HME_SW2_2 0.5595 240.5207
 HME_SW2_3 0.5094 319.3336
 HME_SW2_4 0.2807 45.2787
 HME_SW3_1 0.0945 214.3229
 HME_SW3_2 0.0602 158.4959
 HME_SW3_3 0.0601 223.4084
 HME_SW3_4 0.0450 92.0235
 HME_SW4_1 0.4037 194.0379
 HME_SW4_2 0.0617 63.7445
 HME_SW4_3 0.1380 24.1245
 HME_SW4_4 0.0495 31.0640
 HME_SW6_1 0.1100 24.8246
 HME_SW6_2 0.0323 64.7737
 HME_SW6_3 0.0604 238.1320
 HME_TW3_1 0.2878 69.9574
 HME_TW3_2 0.1420 117.4847
 HME_TW3_3 0.1706 119.6806
 HME_TW3_4 0.3747 78.0027
