# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.3677 65.9217
 HME_DE3_2 0.2563 198.4661
 HME_DE2_1 0.2045 36.9648
 HME_DE2_2 0.2749 207.4415
 HME_DE1_1 0.0282 307.8308
 HME_DE1_2 0.0832 334.7338
  HME_D0_1 0.1820 213.9033
  HME_D0_2 0.0929 261.7370
 HME_DW1_1 0.5194 176.8086
 HME_DW2_1 0.4008 233.3215
 HME_SE3_1 0.0240 159.3413
 HME_SE3_2 0.0742 350.8882
 HME_SE3_3 0.0507 121.5167
 HME_SE3_4 0.0651 229.5463
 HME_SE2_1 0.0082 140.1115
 HME_SE2_2 0.1036 283.3747
 HME_SE2_3 0.0345 326.8324
 HME_SE2_4 0.0591 84.8837
 HME_SE1_1 0.0217 99.3346
 HME_SE1_2 0.0239 325.2286
 HME_SE1_3 0.0527 329.2572
 HME_SE1_4 0.0198 280.6598
  HME_S0_1 0.0249 39.6999
  HME_S0_2 0.0291 19.4871
  HME_S0_3 0.1472 59.2198
  HME_S0_4 0.0669 205.7503
 HME_SW1_1 0.0600 1.8867
 HME_SW1_2 0.0754 173.8640
 HME_SW1_3 0.1587 96.0808
 HME_SW1_4 0.0743 8.2088
 HME_SW2_1 0.4943 204.9636
 HME_SW2_2 0.4390 315.8616
 HME_SW2_3 0.5784 322.4994
 HME_SW2_4 0.1583 21.7009
 HME_SW3_1 0.1583 345.8906
 HME_SW3_2 0.1252 162.0103
 HME_SW3_3 0.1006 107.4520
 HME_SW3_4 0.0515 344.4731
 HME_SW4_1 0.2953 164.1045
 HME_SW4_2 0.0565 325.0970
 HME_SW4_3 0.0432 74.1931
 HME_SW4_4 0.0502 168.6436
 HME_SW6_1 0.1259 328.8478
 HME_SW6_2 0.0631 152.3872
 HME_SW6_3 0.0317 161.4515
 HME_TW3_1 0.1016 286.8342
 HME_TW3_2 0.1848 79.5552
 HME_TW3_3 0.2415 42.2769
 HME_TW3_4 0.3446 308.7189
