# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 1.0346 147.6870
 HME_DE3_2 0.2130 117.3668
 HME_DE2_1 0.1296 63.8901
 HME_DE2_2 0.1571 114.8048
 HME_DE1_1 0.0054 170.0066
 HME_DE1_2 0.2910 223.6782
  HME_D0_1 0.0335 270.5700
  HME_D0_2 0.1260 345.5580
 HME_DW1_1 1.1252 161.2787
 HME_DW2_1 0.3948 196.2347
 HME_SE3_1 0.0395 123.3297
 HME_SE3_2 0.1519 52.6332
 HME_SE3_3 0.0185 301.7473
 HME_SE3_4 0.0126 243.0793
 HME_SE2_1 0.0781 225.9822
 HME_SE2_2 0.1330 260.0803
 HME_SE2_3 0.0887 168.8395
 HME_SE2_4 0.0978 168.8940
 HME_SE1_1 0.0133 182.6152
 HME_SE1_2 0.0210 277.8573
 HME_SE1_3 0.0745 91.9218
 HME_SE1_4 0.0789 301.8976
  HME_S0_1 0.0217 274.7695
  HME_S0_2 0.0473 71.1182
  HME_S0_3 0.0862 48.1216
  HME_S0_4 0.0698 150.3702
 HME_SW1_1 0.0482 305.3111
 HME_SW1_2 0.0767 104.1533
 HME_SW1_3 0.0632 106.3072
 HME_SW1_4 0.0912 121.6556
 HME_SW2_1 0.2270 161.0653
 HME_SW2_2 0.9452 60.0120
 HME_SW2_3 0.2070 298.8424
 HME_SW2_4 0.4530 224.3977
 HME_SW3_1 0.1186 283.9389
 HME_SW3_2 0.0948 60.6791
 HME_SW3_3 0.0597 332.7335
 HME_SW3_4 0.0792 165.9297
 HME_SW4_1 0.0376 104.3993
 HME_SW4_2 0.1085 29.3811
 HME_SW4_3 0.0480 312.3503
 HME_SW4_4 0.0211 288.9616
 HME_SW6_1 0.0511 48.5853
 HME_SW6_2 0.0857 282.8249
 HME_SW6_3 0.0231 208.3702
 HME_TW3_1 0.0211 121.7710
 HME_TW3_2 0.0265 339.6250
 HME_TW3_3 0.2240 130.7069
 HME_TW3_4 0.3051 228.8884
