# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.4066 84.5429
 HME_DE3_2 0.2744 196.7832
 HME_DE2_1 0.2142 41.9125
 HME_DE2_2 0.2601 189.8917
 HME_DE1_1 0.0319 311.1122
 HME_DE1_2 0.0690 316.8195
  HME_D0_1 0.2092 218.6031
  HME_D0_2 0.1097 243.8980
 HME_DW1_1 0.4167 180.6961
 HME_DW2_1 0.3926 246.0377
 HME_SE3_1 0.0266 156.5582
 HME_SE3_2 0.0651 347.6697
 HME_SE3_3 0.0417 127.4441
 HME_SE3_4 0.0570 224.0441
 HME_SE2_1 0.0080 92.5415
 HME_SE2_2 0.1242 265.7809
 HME_SE2_3 0.0516 314.1483
 HME_SE2_4 0.0608 62.8444
 HME_SE1_1 0.0336 109.6313
 HME_SE1_2 0.0244 315.6840
 HME_SE1_3 0.0422 319.1777
 HME_SE1_4 0.0319 261.2922
  HME_S0_1 0.0197 61.9157
  HME_S0_2 0.0343 39.2687
  HME_S0_3 0.1715 62.3828
  HME_S0_4 0.0812 197.3620
 HME_SW1_1 0.0484 7.4381
 HME_SW1_2 0.1050 163.3692
 HME_SW1_3 0.1596 86.8827
 HME_SW1_4 0.0680 343.8379
 HME_SW2_1 0.5549 204.3606
 HME_SW2_2 0.3189 342.4896
 HME_SW2_3 0.6214 336.8842
 HME_SW2_4 0.1846 31.4519
 HME_SW3_1 0.1569 352.8887
 HME_SW3_2 0.1303 160.3818
 HME_SW3_3 0.1448 114.5869
 HME_SW3_4 0.0515 10.4270
 HME_SW4_1 0.3248 168.5913
 HME_SW4_2 0.0210 323.6655
 HME_SW4_3 0.0432 84.3532
 HME_SW4_4 0.0533 169.1817
 HME_SW6_1 0.1477 344.9766
 HME_SW6_2 0.0700 157.7920
 HME_SW6_3 0.0332 165.8125
 HME_TW3_1 0.2150 311.2388
 HME_TW3_2 0.2719 101.9546
 HME_TW3_3 0.2960 38.9084
 HME_TW3_4 0.2021 319.1881
