# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.4171 159.5504
 HME_DE3_2 0.1775 172.2454
 HME_DE2_1 0.1695 50.8756
 HME_DE2_2 0.1607 101.5851
 HME_DE1_1 0.0292 91.1155
 HME_DE1_2 0.1749 104.1871
  HME_D0_1 0.0343 159.0697
  HME_D0_2 0.1490 214.1782
 HME_DW1_1 0.8136 172.2029
 HME_DW2_1 0.1083 243.6934
 HME_SE3_1 0.0287 136.8224
 HME_SE3_2 0.0378 359.3005
 HME_SE3_3 0.0546 174.1139
 HME_SE3_4 0.0607 200.6296
 HME_SE2_1 0.0371 234.2274
 HME_SE2_2 0.1123 204.5674
 HME_SE2_3 0.1663 161.6942
 HME_SE2_4 0.0865 142.0054
 HME_SE1_1 0.0073 107.3069
 HME_SE1_2 0.0281 278.7451
 HME_SE1_3 0.0383 13.8941
 HME_SE1_4 0.0718 304.2000
  HME_S0_1 0.0090 220.1389
  HME_S0_2 0.0491 24.7840
  HME_S0_3 0.2001 349.9426
  HME_S0_4 0.1455 131.1960
 HME_SW1_1 0.0165 60.0630
 HME_SW1_2 0.0766 87.4089
 HME_SW1_3 0.1228 31.5160
 HME_SW1_4 0.0623 60.8262
 HME_SW2_1 0.6466 180.0653
 HME_SW2_2 0.4896 80.7734
 HME_SW2_3 0.7015 353.2474
 HME_SW2_4 0.0768 355.5688
 HME_SW3_1 0.2486 242.4752
 HME_SW3_2 0.2741 146.8719
 HME_SW3_3 0.2125 303.4862
 HME_SW3_4 0.1178 130.0515
 HME_SW4_1 0.2492 201.6864
 HME_SW4_2 0.1133 148.8789
 HME_SW4_3 0.1915 44.2462
 HME_SW4_4 0.0523 56.9065
 HME_SW6_1 0.0835 7.2687
 HME_SW6_2 0.0322 22.8852
 HME_SW6_3 0.0656 227.2218
 HME_TW3_1 0.1228 345.4652
 HME_TW3_2 0.0344 199.2846
 HME_TW3_3 0.2802 91.6638
 HME_TW3_4 0.0535 128.1284
