# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.8032 151.0597
 HME_DE3_2 0.1398 73.4095
 HME_DE2_1 0.2607 34.2562
 HME_DE2_2 0.1740 91.4483
 HME_DE1_1 0.0124 145.0936
 HME_DE1_2 0.2092 254.5740
  HME_D0_1 0.0869 232.2844
  HME_D0_2 0.0808 268.1286
 HME_DW1_1 1.0050 184.9658
 HME_DW2_1 0.0425 264.2764
 HME_SE3_1 0.0091 197.3017
 HME_SE3_2 0.1962 35.6314
 HME_SE3_3 0.0295 190.0129
 HME_SE3_4 0.0476 108.6086
 HME_SE2_1 0.0530 236.7635
 HME_SE2_2 0.0909 288.5150
 HME_SE2_3 0.1656 180.5583
 HME_SE2_4 0.0922 183.4664
 HME_SE1_1 0.0063 8.8651
 HME_SE1_2 0.0164 330.0412
 HME_SE1_3 0.0910 87.6743
 HME_SE1_4 0.0764 278.9803
  HME_S0_1 0.0379 349.7557
  HME_S0_2 0.0339 75.2136
  HME_S0_3 0.0221 135.2910
  HME_S0_4 0.0672 179.1367
 HME_SW1_1 0.0224 223.7688
 HME_SW1_2 0.0575 64.4916
 HME_SW1_3 0.0327 240.2144
 HME_SW1_4 0.0445 71.6099
 HME_SW2_1 0.5817 188.8399
 HME_SW2_2 0.5426 111.5238
 HME_SW2_3 0.1331 297.6869
 HME_SW2_4 0.1381 154.6240
 HME_SW3_1 0.1167 231.2815
 HME_SW3_2 0.1767 100.7632
 HME_SW3_3 0.0598 137.7377
 HME_SW3_4 0.0657 141.0754
 HME_SW4_1 0.0895 251.2524
 HME_SW4_2 0.0864 334.0771
 HME_SW4_3 0.0306 220.0433
 HME_SW4_4 0.0068 351.2988
 HME_SW6_1 0.0786 106.5802
 HME_SW6_2 0.0231 158.9419
 HME_SW6_3 0.0059 44.8111
 HME_TW3_1 0.2713 55.4157
 HME_TW3_2 0.1883 97.8273
 HME_TW3_3 0.3151 132.7091
 HME_TW3_4 0.4293 179.6102
