# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.3629 157.9794
 HME_DE3_2 0.1859 148.1434
 HME_DE2_1 0.2052 58.1445
 HME_DE2_2 0.1206 62.0550
 HME_DE1_1 0.0118 134.5431
 HME_DE1_2 0.1437 103.2817
  HME_D0_1 0.0329 134.8457
  HME_D0_2 0.1204 227.9438
 HME_DW1_1 0.7707 177.5965
 HME_DW2_1 0.1444 263.0302
 HME_SE3_1 0.0204 126.8327
 HME_SE3_2 0.0597 11.1954
 HME_SE3_3 0.0517 133.7671
 HME_SE3_4 0.0235 221.6482
 HME_SE2_1 0.0233 209.8041
 HME_SE2_2 0.0979 180.1210
 HME_SE2_3 0.1702 152.1049
 HME_SE2_4 0.0402 173.6653
 HME_SE1_1 0.0177 114.7424
 HME_SE1_2 0.0066 259.6105
 HME_SE1_3 0.0748 41.3260
 HME_SE1_4 0.0726 322.0679
  HME_S0_1 0.0107 325.1953
  HME_S0_2 0.0628 29.1119
  HME_S0_3 0.1856 349.0826
  HME_S0_4 0.0810 122.1730
 HME_SW1_1 0.0128 187.8673
 HME_SW1_2 0.0780 79.3698
 HME_SW1_3 0.0668 48.0788
 HME_SW1_4 0.1288 63.8012
 HME_SW2_1 0.4861 178.5423
 HME_SW2_2 0.7980 72.9529
 HME_SW2_3 0.8929 354.8033
 HME_SW2_4 0.2965 238.5795
 HME_SW3_1 0.2173 248.2287
 HME_SW3_2 0.2700 147.5913
 HME_SW3_3 0.1972 315.2743
 HME_SW3_4 0.1434 138.1881
 HME_SW4_1 0.1218 231.8121
 HME_SW4_2 0.0920 150.9362
 HME_SW4_3 0.2029 50.3472
 HME_SW4_4 0.0599 74.7971
 HME_SW6_1 0.0550 294.4292
 HME_SW6_2 0.0658 8.4930
 HME_SW6_3 0.0565 233.7913
 HME_TW3_1 0.2261 277.2388
 HME_TW3_2 0.0601 142.5947
 HME_TW3_3 0.3049 86.3505
 HME_TW3_4 0.1217 212.6176
