# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.3168 327.0601
 HME_DE3_2 0.2170 209.6586
 HME_DE2_1 0.1971 67.8140
 HME_DE2_2 0.0928 165.7046
 HME_DE1_1 0.0440 48.0599
 HME_DE1_2 0.1158 28.5343
  HME_D0_1 0.1535 133.6795
  HME_D0_2 0.1165 249.1204
 HME_DW1_1 1.0027 177.7219
 HME_DW2_1 0.2551 258.3704
 HME_SE3_1 0.0456 127.0405
 HME_SE3_2 0.1400 347.6688
 HME_SE3_3 0.0500 136.1202
 HME_SE3_4 0.0348 167.9041
 HME_SE2_1 0.0276 28.7429
 HME_SE2_2 0.1323 299.8222
 HME_SE2_3 0.0537 251.6580
 HME_SE2_4 0.0573 136.3602
 HME_SE1_1 0.0112 86.0615
 HME_SE1_2 0.0087 281.0134
 HME_SE1_3 0.0406 265.6335
 HME_SE1_4 0.0356 356.9758
  HME_S0_1 0.0254 64.6867
  HME_S0_2 0.0094 126.7372
  HME_S0_3 0.0768 325.7115
  HME_S0_4 0.0840 165.0712
 HME_SW1_1 0.0194 214.6254
 HME_SW1_2 0.1107 130.1747
 HME_SW1_3 0.1273 106.5176
 HME_SW1_4 0.1002 280.2956
 HME_SW2_1 0.1986 185.6050
 HME_SW2_2 0.6338 258.0850
 HME_SW2_3 0.5294 320.2636
 HME_SW2_4 0.1601 2.8494
 HME_SW3_1 0.0349 126.0185
 HME_SW3_2 0.0625 272.1066
 HME_SW3_3 0.1033 151.7672
 HME_SW3_4 0.0377 58.9532
 HME_SW4_1 0.3887 182.8593
 HME_SW4_2 0.1298 19.2818
 HME_SW4_3 0.1661 8.6788
 HME_SW4_4 0.0184 46.4008
 HME_SW6_1 0.0427 31.7026
 HME_SW6_2 0.0368 36.4793
 HME_SW6_3 0.0534 208.1821
 HME_TW3_1 0.1794 94.7128
 HME_TW3_2 0.1313 91.5322
 HME_TW3_3 0.2258 116.3382
 HME_TW3_4 0.2097 7.5736
