# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.5295 109.9509
 HME_DE3_2 0.3304 190.8613
 HME_DE2_1 0.2172 38.2655
 HME_DE2_2 0.2426 156.6407
 HME_DE1_1 0.0071 352.0109
 HME_DE1_2 0.0851 215.0935
  HME_D0_1 0.2146 212.8252
  HME_D0_2 0.1087 254.9014
 HME_DW1_1 0.3289 185.5100
 HME_DW2_1 0.4606 249.1338
 HME_SE3_1 0.0297 141.2547
 HME_SE3_2 0.0545 328.7352
 HME_SE3_3 0.0213 188.6731
 HME_SE3_4 0.0552 207.3418
 HME_SE2_1 0.0305 195.5785
 HME_SE2_2 0.1667 249.8254
 HME_SE2_3 0.0872 322.3891
 HME_SE2_4 0.0735 30.3427
 HME_SE1_1 0.0141 91.9526
 HME_SE1_2 0.0351 301.8038
 HME_SE1_3 0.0385 327.7734
 HME_SE1_4 0.0759 256.7397
  HME_S0_1 0.0212 178.7914
  HME_S0_2 0.0279 24.3543
  HME_S0_3 0.1826 47.5310
  HME_S0_4 0.0833 170.7208
 HME_SW1_1 0.0562 359.2817
 HME_SW1_2 0.1480 160.7035
 HME_SW1_3 0.1659 82.4721
 HME_SW1_4 0.0667 299.5167
 HME_SW2_1 0.7278 221.9986
 HME_SW2_2 0.0722 242.0059
 HME_SW2_3 0.5330 8.3691
 HME_SW2_4 0.2688 70.2369
 HME_SW3_1 0.0985 315.5363
 HME_SW3_2 0.1459 103.8623
 HME_SW3_3 0.1789 124.0803
 HME_SW3_4 0.0565 17.5496
 HME_SW4_1 0.4000 166.0694
 HME_SW4_2 0.0486 223.5481
 HME_SW4_3 0.0507 67.0454
 HME_SW4_4 0.0278 207.2185
 HME_SW6_1 0.1903 355.4035
 HME_SW6_2 0.0755 189.0945
 HME_SW6_3 0.0210 233.1135
 HME_TW3_1 0.3157 10.1086
 HME_TW3_2 0.2001 88.2203
 HME_TW3_3 0.2450 45.1653
 HME_TW3_4 0.1783 156.7853
