# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.9545 150.9488
 HME_DE3_2 0.1869 107.0044
 HME_DE2_1 0.1741 57.7765
 HME_DE2_2 0.1801 103.8145
 HME_DE1_1 0.0131 195.7653
 HME_DE1_2 0.2584 228.8034
  HME_D0_1 0.0726 213.8966
  HME_D0_2 0.1383 320.2754
 HME_DW1_1 1.1126 170.6226
 HME_DW2_1 0.3018 217.1262
 HME_SE3_1 0.0170 164.9992
 HME_SE3_2 0.1795 46.7720
 HME_SE3_3 0.0132 153.1638
 HME_SE3_4 0.0179 136.9843
 HME_SE2_1 0.0799 227.1497
 HME_SE2_2 0.0926 291.2166
 HME_SE2_3 0.1028 153.9863
 HME_SE2_4 0.1019 183.6517
 HME_SE1_1 0.0038 154.3483
 HME_SE1_2 0.0263 302.5695
 HME_SE1_3 0.0794 76.1370
 HME_SE1_4 0.0898 307.5742
  HME_S0_1 0.0241 312.4979
  HME_S0_2 0.0476 70.8146
  HME_S0_3 0.0479 75.3770
  HME_S0_4 0.0511 171.0923
 HME_SW1_1 0.0442 285.8132
 HME_SW1_2 0.0609 71.2990
 HME_SW1_3 0.0725 150.8148
 HME_SW1_4 0.0501 102.5921
 HME_SW2_1 0.3751 159.9942
 HME_SW2_2 1.0203 86.9331
 HME_SW2_3 0.2545 321.2864
 HME_SW2_4 0.1892 243.8862
 HME_SW3_1 0.1072 286.6643
 HME_SW3_2 0.1103 76.5604
 HME_SW3_3 0.0290 14.7841
 HME_SW3_4 0.0566 150.6925
 HME_SW4_1 0.0475 187.3629
 HME_SW4_2 0.0815 350.3855
 HME_SW4_3 0.0373 285.9888
 HME_SW4_4 0.0081 328.6838
 HME_SW6_1 0.1115 67.4221
 HME_SW6_2 0.0379 283.0376
 HME_SW6_3 0.0199 232.5491
 HME_TW3_1 0.0126 331.8318
 HME_TW3_2 0.0501 215.2041
 HME_TW3_3 0.2978 105.5095
 HME_TW3_4 0.3508 213.4172
