# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 1.0247 151.4132
 HME_DE3_2 0.2087 114.4956
 HME_DE2_1 0.1700 62.4439
 HME_DE2_2 0.1827 105.9252
 HME_DE1_1 0.0170 201.4299
 HME_DE1_2 0.2806 224.6414
  HME_D0_1 0.0645 257.2517
  HME_D0_2 0.1357 339.1051
 HME_DW1_1 1.1030 165.5007
 HME_DW2_1 0.4012 202.4939
 HME_SE3_1 0.0280 129.3168
 HME_SE3_2 0.1702 45.3844
 HME_SE3_3 0.0171 332.9481
 HME_SE3_4 0.0088 297.9350
 HME_SE2_1 0.0772 222.7292
 HME_SE2_2 0.1197 276.9863
 HME_SE2_3 0.0996 163.3466
 HME_SE2_4 0.1114 180.0084
 HME_SE1_1 0.0094 154.4251
 HME_SE1_2 0.0268 284.2214
 HME_SE1_3 0.0839 81.7222
 HME_SE1_4 0.0873 301.6752
  HME_S0_1 0.0230 275.2741
  HME_S0_2 0.0440 64.6649
  HME_S0_3 0.0682 60.5249
  HME_S0_4 0.0588 147.7060
 HME_SW1_1 0.0500 297.9798
 HME_SW1_2 0.0680 94.2963
 HME_SW1_3 0.0745 126.5178
 HME_SW1_4 0.0929 105.8074
 HME_SW2_1 0.2588 160.3807
 HME_SW2_2 1.0369 72.8947
 HME_SW2_3 0.2538 299.8934
 HME_SW2_4 0.3101 239.2472
 HME_SW3_1 0.1314 291.5156
 HME_SW3_2 0.0890 78.6956
 HME_SW3_3 0.0399 326.1872
 HME_SW3_4 0.0632 163.3049
 HME_SW4_1 0.0281 157.2184
 HME_SW4_2 0.0823 13.4969
 HME_SW4_3 0.0540 297.9255
 HME_SW4_4 0.0066 276.7784
 HME_SW6_1 0.0679 52.8481
 HME_SW6_2 0.0681 291.4867
 HME_SW6_3 0.0167 245.5598
 HME_TW3_1 0.0070 112.2744
 HME_TW3_2 0.0341 151.9388
 HME_TW3_3 0.2098 111.9319
 HME_TW3_4 0.3476 226.3193
