# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.7457 149.8847
 HME_DE3_2 0.1127 45.8588
 HME_DE2_1 0.3068 31.2367
 HME_DE2_2 0.1829 78.2927
 HME_DE1_1 0.0248 91.5856
 HME_DE1_2 0.2130 248.7380
  HME_D0_1 0.1157 245.9217
  HME_D0_2 0.1273 261.5916
 HME_DW1_1 0.8826 188.3762
 HME_DW2_1 0.1021 7.4201
 HME_SE3_1 0.0266 234.2186
 HME_SE3_2 0.1974 32.4728
 HME_SE3_3 0.0420 201.3292
 HME_SE3_4 0.0397 116.4745
 HME_SE2_1 0.0485 243.6490
 HME_SE2_2 0.0807 285.0584
 HME_SE2_3 0.1857 184.2408
 HME_SE2_4 0.0627 199.8276
 HME_SE1_1 0.0013 33.4877
 HME_SE1_2 0.0150 27.6737
 HME_SE1_3 0.1060 85.7868
 HME_SE1_4 0.0709 273.9129
  HME_S0_1 0.0396 344.1160
  HME_S0_2 0.0461 54.3687
  HME_S0_3 0.0272 165.2973
  HME_S0_4 0.0627 186.9286
 HME_SW1_1 0.0357 199.7260
 HME_SW1_2 0.0886 64.8222
 HME_SW1_3 0.0487 216.3800
 HME_SW1_4 0.0363 21.8684
 HME_SW2_1 0.5143 186.3683
 HME_SW2_2 0.5097 121.0000
 HME_SW2_3 0.2153 297.0170
 HME_SW2_4 0.1364 138.9603
 HME_SW3_1 0.1188 217.6749
 HME_SW3_2 0.1860 83.4830
 HME_SW3_3 0.1061 158.7649
 HME_SW3_4 0.0475 159.0586
 HME_SW4_1 0.0905 223.0178
 HME_SW4_2 0.0486 321.1595
 HME_SW4_3 0.0378 212.7694
 HME_SW4_4 0.0195 19.7796
 HME_SW6_1 0.0350 45.4554
 HME_SW6_2 0.0208 195.3499
 HME_SW6_3 0.0160 56.7754
 HME_TW3_1 0.2698 64.4746
 HME_TW3_2 0.2711 106.2067
 HME_TW3_3 0.2428 147.5102
 HME_TW3_4 0.5086 176.5462
