# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.6126 140.7520
 HME_DE3_2 0.1253 35.9116
 HME_DE2_1 0.3255 40.3664
 HME_DE2_2 0.2303 46.5175
 HME_DE1_1 0.0296 103.3819
 HME_DE1_2 0.0901 262.3906
  HME_D0_1 0.0666 272.9323
  HME_D0_2 0.1759 254.8162
 HME_DW1_1 0.7119 189.6705
 HME_DW2_1 0.2443 13.6466
 HME_SE3_1 0.0192 210.4014
 HME_SE3_2 0.1426 20.8687
 HME_SE3_3 0.0193 169.2920
 HME_SE3_4 0.0191 55.3770
 HME_SE2_1 0.0411 238.0261
 HME_SE2_2 0.0799 236.7069
 HME_SE2_3 0.1862 179.8746
 HME_SE2_4 0.0677 248.2313
 HME_SE1_1 0.0121 102.4511
 HME_SE1_2 0.0352 123.6096
 HME_SE1_3 0.1108 95.6492
 HME_SE1_4 0.0254 311.1762
  HME_S0_1 0.0257 330.7475
  HME_S0_2 0.0662 38.2183
  HME_S0_3 0.0304 32.4328
  HME_S0_4 0.0162 41.6868
 HME_SW1_1 0.0532 174.5138
 HME_SW1_2 0.1317 76.3796
 HME_SW1_3 0.0561 263.6189
 HME_SW1_4 0.0554 69.9072
 HME_SW2_1 0.4363 180.3865
 HME_SW2_2 0.3117 81.6182
 HME_SW2_3 0.4545 352.4471
 HME_SW2_4 0.3289 177.9380
 HME_SW3_1 0.1059 211.0843
 HME_SW3_2 0.1950 83.0157
 HME_SW3_3 0.0391 233.2372
 HME_SW3_4 0.0479 121.6568
 HME_SW4_1 0.1056 226.3763
 HME_SW4_2 0.0748 321.9588
 HME_SW4_3 0.0460 91.4850
 HME_SW4_4 0.0466 33.3550
 HME_SW6_1 0.0282 324.6048
 HME_SW6_2 0.0395 187.7073
 HME_SW6_3 0.0047 33.6686
 HME_TW3_1 0.0907 72.8336
 HME_TW3_2 0.1994 127.4908
 HME_TW3_3 0.2332 106.4630
 HME_TW3_4 0.4837 161.6021
