# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.3906 141.4309
 HME_DE3_2 0.1305 104.2618
 HME_DE2_1 0.2278 59.4266
 HME_DE2_2 0.1936 45.2963
 HME_DE1_1 0.0046 255.6443
 HME_DE1_2 0.0681 143.1408
  HME_D0_1 0.0565 89.4680
  HME_D0_2 0.1414 242.9987
 HME_DW1_1 0.7534 181.0119
 HME_DW2_1 0.1286 292.1888
 HME_SE3_1 0.0215 146.2690
 HME_SE3_2 0.0731 12.6663
 HME_SE3_3 0.0507 87.8996
 HME_SE3_4 0.0155 317.0151
 HME_SE2_1 0.0183 229.2007
 HME_SE2_2 0.0981 187.7587
 HME_SE2_3 0.1775 153.8174
 HME_SE2_4 0.0633 239.3286
 HME_SE1_1 0.0192 142.4786
 HME_SE1_2 0.0165 188.3443
 HME_SE1_3 0.0968 62.7351
 HME_SE1_4 0.0549 315.8000
  HME_S0_1 0.0046 146.3660
  HME_S0_2 0.0699 33.0717
  HME_S0_3 0.1356 10.1748
  HME_S0_4 0.0362 113.5958
 HME_SW1_1 0.0132 209.6289
 HME_SW1_2 0.1439 77.4941
 HME_SW1_3 0.0275 60.6099
 HME_SW1_4 0.0893 59.7427
 HME_SW2_1 0.4305 179.9382
 HME_SW2_2 0.6974 63.8423
 HME_SW2_3 0.8571 0.6626
 HME_SW2_4 0.3866 222.5458
 HME_SW3_1 0.1691 241.5968
 HME_SW3_2 0.1389 144.1683
 HME_SW3_3 0.1451 330.3913
 HME_SW3_4 0.1003 150.0893
 HME_SW4_1 0.1005 225.6515
 HME_SW4_2 0.0250 167.2722
 HME_SW4_3 0.1361 53.0430
 HME_SW4_4 0.0620 66.2902
 HME_SW6_1 0.0416 245.4387
 HME_SW6_2 0.0436 335.3750
 HME_SW6_3 0.0497 225.9417
 HME_TW3_1 0.2179 247.4304
 HME_TW3_2 0.1433 191.1729
 HME_TW3_3 0.2830 78.7630
 HME_TW3_4 0.2212 225.3979
