# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.3170 158.1909
 HME_DE3_2 0.2454 178.0659
 HME_DE2_1 0.1593 50.9313
 HME_DE2_2 0.1386 116.4287
 HME_DE1_1 0.0446 91.1130
 HME_DE1_2 0.1610 106.1787
  HME_D0_1 0.0462 176.0612
  HME_D0_2 0.1302 218.1436
 HME_DW1_1 0.8771 174.7943
 HME_DW2_1 0.0933 265.2481
 HME_SE3_1 0.0310 146.4272
 HME_SE3_2 0.0419 347.4214
 HME_SE3_3 0.0544 174.7617
 HME_SE3_4 0.0623 193.3225
 HME_SE2_1 0.0277 237.8603
 HME_SE2_2 0.1205 218.8270
 HME_SE2_3 0.1147 170.0293
 HME_SE2_4 0.0816 137.9929
 HME_SE1_1 0.0060 129.1403
 HME_SE1_2 0.0279 272.1181
 HME_SE1_3 0.0235 6.0514
 HME_SE1_4 0.0716 303.3000
  HME_S0_1 0.0158 247.1901
  HME_S0_2 0.0583 20.1905
  HME_S0_3 0.1765 344.8816
  HME_S0_4 0.1377 135.1083
 HME_SW1_1 0.0267 94.6454
 HME_SW1_2 0.0954 114.5858
 HME_SW1_3 0.1144 37.4860
 HME_SW1_4 0.0464 8.6832
 HME_SW2_1 0.5944 185.4929
 HME_SW2_2 0.2757 107.1771
 HME_SW2_3 0.6432 348.5571
 HME_SW2_4 0.2410 39.1202
 HME_SW3_1 0.2226 235.4301
 HME_SW3_2 0.2526 146.5479
 HME_SW3_3 0.1861 302.9900
 HME_SW3_4 0.1018 132.0585
 HME_SW4_1 0.3041 202.3342
 HME_SW4_2 0.1157 165.3316
 HME_SW4_3 0.2251 37.7759
 HME_SW4_4 0.0711 53.6331
 HME_SW6_1 0.0948 34.3106
 HME_SW6_2 0.0467 357.7243
 HME_SW6_3 0.0546 224.6652
 HME_TW3_1 0.1772 16.4723
 HME_TW3_2 0.0909 78.1425
 HME_TW3_3 0.3441 110.8094
 HME_TW3_4 0.1880 79.8209
