# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.7375 114.9112
 HME_DE3_2 0.3165 178.0600
 HME_DE2_1 0.2023 38.5650
 HME_DE2_2 0.2401 142.1984
 HME_DE1_1 0.0071 335.7922
 HME_DE1_2 0.1569 195.9546
  HME_D0_1 0.2328 216.1802
  HME_D0_2 0.0645 250.8290
 HME_DW1_1 0.4388 166.8428
 HME_DW2_1 0.5054 240.5032
 HME_SE3_1 0.0269 151.4142
 HME_SE3_2 0.0680 323.1331
 HME_SE3_3 0.0110 119.0966
 HME_SE3_4 0.0335 183.8152
 HME_SE2_1 0.0465 203.7707
 HME_SE2_2 0.1561 230.2325
 HME_SE2_3 0.1428 309.7244
 HME_SE2_4 0.0784 20.6960
 HME_SE1_1 0.0094 95.0862
 HME_SE1_2 0.0273 294.9338
 HME_SE1_3 0.0255 325.8809
 HME_SE1_4 0.0742 250.7095
  HME_S0_1 0.0206 213.2975
  HME_S0_2 0.0327 32.6124
  HME_S0_3 0.1624 38.8628
  HME_S0_4 0.0418 158.3471
 HME_SW1_1 0.0359 327.8634
 HME_SW1_2 0.1228 149.1709
 HME_SW1_3 0.1864 78.1866
 HME_SW1_4 0.0449 313.5420
 HME_SW2_1 0.6546 227.6242
 HME_SW2_2 0.0759 175.3086
 HME_SW2_3 0.5134 13.9388
 HME_SW2_4 0.2136 89.1850
 HME_SW3_1 0.0738 332.8316
 HME_SW3_2 0.1407 101.7987
 HME_SW3_3 0.1540 128.9918
 HME_SW3_4 0.0872 1.2756
 HME_SW4_1 0.3927 155.3055
 HME_SW4_2 0.0676 222.8536
 HME_SW4_3 0.0427 6.1332
 HME_SW4_4 0.0165 337.7418
 HME_SW6_1 0.1554 359.2974
 HME_SW6_2 0.0508 209.6949
 HME_SW6_3 0.0123 298.6693
 HME_TW3_1 0.3054 22.3718
 HME_TW3_2 0.2070 103.2244
 HME_TW3_3 0.2692 73.7174
 HME_TW3_4 0.3242 141.7956
