# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.7180 143.5581
 HME_DE3_2 0.1081 33.4459
 HME_DE2_1 0.3242 37.1283
 HME_DE2_2 0.2250 64.6464
 HME_DE1_1 0.0359 96.6603
 HME_DE1_2 0.1962 253.0987
  HME_D0_1 0.1309 242.1654
  HME_D0_2 0.1777 254.0988
 HME_DW1_1 0.7979 191.3325
 HME_DW2_1 0.2054 9.9396
 HME_SE3_1 0.0256 239.1125
 HME_SE3_2 0.1828 23.6272
 HME_SE3_3 0.0334 202.0198
 HME_SE3_4 0.0425 85.5905
 HME_SE2_1 0.0555 249.1962
 HME_SE2_2 0.0742 266.7318
 HME_SE2_3 0.1928 178.4114
 HME_SE2_4 0.0686 220.2198
 HME_SE1_1 0.0045 356.6404
 HME_SE1_2 0.0165 70.1708
 HME_SE1_3 0.1112 89.8563
 HME_SE1_4 0.0841 265.7237
  HME_S0_1 0.0357 352.0942
  HME_S0_2 0.0717 48.3337
  HME_S0_3 0.0265 221.5344
  HME_S0_4 0.0352 178.1448
 HME_SW1_1 0.0519 191.1223
 HME_SW1_2 0.1048 71.6815
 HME_SW1_3 0.0426 245.0407
 HME_SW1_4 0.0542 13.5528
 HME_SW2_1 0.4537 176.0352
 HME_SW2_2 0.4817 121.4370
 HME_SW2_3 0.2318 309.7680
 HME_SW2_4 0.1281 136.5867
 HME_SW3_1 0.1238 225.0653
 HME_SW3_2 0.2212 88.0125
 HME_SW3_3 0.1165 182.0870
 HME_SW3_4 0.0403 127.2937
 HME_SW4_1 0.0896 225.7802
 HME_SW4_2 0.0523 308.6100
 HME_SW4_3 0.0060 146.5946
 HME_SW4_4 0.0445 24.0769
 HME_SW6_1 0.0349 344.9659
 HME_SW6_2 0.0250 148.7254
 HME_SW6_3 0.0292 42.9994
 HME_TW3_1 0.2137 87.9013
 HME_TW3_2 0.2799 130.0109
 HME_TW3_3 0.1240 141.9852
 HME_TW3_4 0.5251 179.1579
