# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.3313 337.5769
 HME_DE3_2 0.2089 222.1851
 HME_DE2_1 0.2001 81.5984
 HME_DE2_2 0.1127 167.1878
 HME_DE1_1 0.0302 356.8956
 HME_DE1_2 0.1059 6.6816
  HME_D0_1 0.1799 148.3427
  HME_D0_2 0.1344 256.6209
 HME_DW1_1 0.9879 181.2094
 HME_DW2_1 0.3137 262.4275
 HME_SE3_1 0.0295 117.3852
 HME_SE3_2 0.1719 346.0705
 HME_SE3_3 0.0262 144.1415
 HME_SE3_4 0.0318 147.4006
 HME_SE2_1 0.0424 53.6591
 HME_SE2_2 0.1238 307.1278
 HME_SE2_3 0.0439 226.6058
 HME_SE2_4 0.0515 137.7759
 HME_SE1_1 0.0153 115.8242
 HME_SE1_2 0.0115 316.0589
 HME_SE1_3 0.0396 285.4287
 HME_SE1_4 0.0321 19.4175
  HME_S0_1 0.0375 62.2475
  HME_S0_2 0.0255 203.5780
  HME_S0_3 0.0850 325.9693
  HME_S0_4 0.0741 166.5914
 HME_SW1_1 0.0460 273.2090
 HME_SW1_2 0.0851 128.1279
 HME_SW1_3 0.1600 119.8833
 HME_SW1_4 0.0943 278.0789
 HME_SW2_1 0.3478 173.5616
 HME_SW2_2 0.6854 266.0340
 HME_SW2_3 0.5683 317.5245
 HME_SW2_4 0.1911 359.7887
 HME_SW3_1 0.0367 81.5578
 HME_SW3_2 0.0272 261.8283
 HME_SW3_3 0.1140 131.4774
 HME_SW3_4 0.0563 42.2511
 HME_SW4_1 0.3180 180.4320
 HME_SW4_2 0.1722 7.0095
 HME_SW4_3 0.1458 8.6019
 HME_SW4_4 0.0064 173.5052
 HME_SW6_1 0.0390 24.3099
 HME_SW6_2 0.0193 40.3580
 HME_SW6_3 0.0619 201.0185
 HME_TW3_1 0.0665 50.3343
 HME_TW3_2 0.2754 95.4405
 HME_TW3_3 0.1401 85.0355
 HME_TW3_4 0.2877 340.7026
