# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.2663 331.1030
 HME_DE3_2 0.2064 237.4085
 HME_DE2_1 0.1777 86.7514
 HME_DE2_2 0.2090 167.9327
 HME_DE1_1 0.0376 344.3406
 HME_DE1_2 0.0599 281.6445
  HME_D0_1 0.2510 161.0945
  HME_D0_2 0.1075 260.2752
 HME_DW1_1 0.8310 197.4876
 HME_DW2_1 0.3237 274.9530
 HME_SE3_1 0.0305 108.7909
 HME_SE3_2 0.1633 337.9204
 HME_SE3_3 0.0120 49.4678
 HME_SE3_4 0.0291 132.9398
 HME_SE2_1 0.0431 49.4702
 HME_SE2_2 0.1191 307.6277
 HME_SE2_3 0.0147 209.2760
 HME_SE2_4 0.0439 66.8723
 HME_SE1_1 0.0178 85.9748
 HME_SE1_2 0.0330 319.9321
 HME_SE1_3 0.0712 301.2813
 HME_SE1_4 0.0307 275.6007
  HME_S0_1 0.0257 77.2087
  HME_S0_2 0.0278 246.0661
  HME_S0_3 0.0798 342.8362
  HME_S0_4 0.0547 149.2748
 HME_SW1_1 0.0781 307.9106
 HME_SW1_2 0.0420 154.1812
 HME_SW1_3 0.0994 129.2631
 HME_SW1_4 0.1370 270.9042
 HME_SW2_1 0.5538 208.9682
 HME_SW2_2 0.7596 291.7661
 HME_SW2_3 0.6138 317.1994
 HME_SW2_4 0.1449 356.9190
 HME_SW3_1 0.0745 44.9157
 HME_SW3_2 0.0636 208.4034
 HME_SW3_3 0.0893 126.9102
 HME_SW3_4 0.0392 27.1601
 HME_SW4_1 0.3246 170.8707
 HME_SW4_2 0.2327 353.9156
 HME_SW4_3 0.1614 4.2604
 HME_SW4_4 0.0159 216.1852
 HME_SW6_1 0.0374 317.8543
 HME_SW6_2 0.0296 347.1864
 HME_SW6_3 0.0690 179.5556
 HME_TW3_1 0.1539 336.9904
 HME_TW3_2 0.1478 94.6136
 HME_TW3_3 0.1805 5.0805
 HME_TW3_4 0.4261 327.3120
