# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.6728 143.7571
 HME_DE3_2 0.1088 20.8448
 HME_DE2_1 0.3336 35.2161
 HME_DE2_2 0.2442 61.0220
 HME_DE1_1 0.0352 98.6184
 HME_DE1_2 0.1405 263.2520
  HME_D0_1 0.0906 238.9414
  HME_D0_2 0.1919 250.1295
 HME_DW1_1 0.7574 192.6836
 HME_DW2_1 0.2581 8.8257
 HME_SE3_1 0.0248 224.1805
 HME_SE3_2 0.1666 20.9617
 HME_SE3_3 0.0192 206.3492
 HME_SE3_4 0.0245 57.7857
 HME_SE2_1 0.0559 238.3486
 HME_SE2_2 0.0797 244.8025
 HME_SE2_3 0.1976 178.9906
 HME_SE2_4 0.0677 228.3835
 HME_SE1_1 0.0030 119.8695
 HME_SE1_2 0.0192 77.2546
 HME_SE1_3 0.1146 93.8212
 HME_SE1_4 0.0644 273.2446
  HME_S0_1 0.0327 336.5707
  HME_S0_2 0.0659 46.1513
  HME_S0_3 0.0138 10.0712
  HME_S0_4 0.0208 189.1868
 HME_SW1_1 0.0577 167.6521
 HME_SW1_2 0.1236 70.7759
 HME_SW1_3 0.0463 257.7553
 HME_SW1_4 0.0371 23.7752
 HME_SW2_1 0.4631 174.6337
 HME_SW2_2 0.3777 120.2131
 HME_SW2_3 0.3106 324.3813
 HME_SW2_4 0.2074 145.3065
 HME_SW3_1 0.1285 218.2662
 HME_SW3_2 0.1919 85.8478
 HME_SW3_3 0.0725 207.5711
 HME_SW3_4 0.0363 109.9484
 HME_SW4_1 0.0978 238.0486
 HME_SW4_2 0.0792 302.2519
 HME_SW4_3 0.0186 107.5250
 HME_SW4_4 0.0568 27.2301
 HME_SW6_1 0.0405 336.8924
 HME_SW6_2 0.0448 182.6754
 HME_SW6_3 0.0193 9.4916
 HME_TW3_1 0.1418 90.1682
 HME_TW3_2 0.1998 132.9081
 HME_TW3_3 0.1231 95.1726
 HME_TW3_4 0.4693 170.4961
