# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.3236 339.0502
 HME_DE3_2 0.2091 233.4808
 HME_DE2_1 0.1938 87.4221
 HME_DE2_2 0.1682 162.7910
 HME_DE1_1 0.0340 339.5265
 HME_DE1_2 0.0786 338.1829
  HME_D0_1 0.1945 149.8250
  HME_D0_2 0.1253 262.9043
 HME_DW1_1 0.9335 188.4446
 HME_DW2_1 0.3391 265.2684
 HME_SE3_1 0.0289 121.9120
 HME_SE3_2 0.1757 345.9567
 HME_SE3_3 0.0084 154.0621
 HME_SE3_4 0.0355 158.4358
 HME_SE2_1 0.0481 57.4304
 HME_SE2_2 0.1108 315.9598
 HME_SE2_3 0.0476 210.7717
 HME_SE2_4 0.0512 109.2376
 HME_SE1_1 0.0166 94.6778
 HME_SE1_2 0.0214 317.3422
 HME_SE1_3 0.0596 295.5102
 HME_SE1_4 0.0084 25.0932
  HME_S0_1 0.0292 57.4204
  HME_S0_2 0.0219 208.6200
  HME_S0_3 0.0589 329.9708
  HME_S0_4 0.0580 153.2011
 HME_SW1_1 0.0750 289.2693
 HME_SW1_2 0.0456 176.1913
 HME_SW1_3 0.1479 120.4301
 HME_SW1_4 0.1111 270.6959
 HME_SW2_1 0.5177 200.7968
 HME_SW2_2 0.7282 289.2123
 HME_SW2_3 0.5821 321.7391
 HME_SW2_4 0.2094 347.0984
 HME_SW3_1 0.0699 66.0404
 HME_SW3_2 0.0058 148.2201
 HME_SW3_3 0.1025 135.7906
 HME_SW3_4 0.0531 51.4041
 HME_SW4_1 0.3077 175.8024
 HME_SW4_2 0.2096 358.4048
 HME_SW4_3 0.1455 8.0643
 HME_SW4_4 0.0100 202.3174
 HME_SW6_1 0.0243 340.1620
 HME_SW6_2 0.0209 348.2031
 HME_SW6_3 0.0658 185.3688
 HME_TW3_1 0.1136 13.3213
 HME_TW3_2 0.2671 123.4058
 HME_TW3_3 0.1387 27.4129
 HME_TW3_4 0.4014 323.5533
