#START
 2006  1  1  0  0  0 4.06797e-03 2.45507e-03 1.32989e-03 9.46777e-04 6.87827e-04 3.89208e-04 2.66358e-04 2.11692e-04 4.30814e-04 1.29455e-04 7.93382e-03 7.66604e-03 1.47851e-04 8.85318e-05 9.20888e-05 1.86236e-04 7.38341e-05 7.91062e-05 1.30679e-04 8.60163e-05 1.11740e-04 1.28300e-04 7.10043e-05 5.98343e-05 1.67975e-05 1.27748e-05 1.36199e-05 2.45892e-05 1.04657e-05 2.14048e-05 8.94632e-05 3.17158e-05 1.60993e-05 8.83178e-05 3.95064e-05 3.05640e-05 4.34737e-05 5.72372e-05 1.58407e-05 3.67438e-05 1.15846e-04 4.93548e-05 5.73926e-04 3.58501e-04 3.58501e-04 4.35768e-04 1.43136e-04 5.29238e-05 2.59578e-04 5.67127e-04 4.40199e-05 1.20959e-04 4.17231e-05 2.15269e-05 3.26377e-05 3.79178e-05 2.08875e-06 1.04437e-06 5.22187e-07
 2006  1  1 12  0  0 4.06797e-03 2.45507e-03 1.32989e-03 9.46777e-04 6.87827e-04 3.89208e-04 2.66358e-04 2.11692e-04 4.30814e-04 1.29455e-04 7.93382e-03 7.66604e-03 1.47851e-04 8.85318e-05 9.20888e-05 1.86236e-04 7.38341e-05 7.91062e-05 1.30679e-04 8.60163e-05 1.11740e-04 1.28300e-04 7.10043e-05 5.98343e-05 1.67975e-05 1.27748e-05 1.36199e-05 2.45892e-05 1.04657e-05 2.14048e-05 8.94632e-05 3.17158e-05 1.60993e-05 8.83178e-05 3.95064e-05 3.05640e-05 4.34737e-05 5.72372e-05 1.58407e-05 3.67438e-05 1.15846e-04 4.93548e-05 5.73926e-04 3.58501e-04 3.58501e-04 4.35768e-04 1.43136e-04 5.29238e-05 2.59578e-04 5.67127e-04 4.40199e-05 1.20959e-04 4.17231e-05 2.15269e-05 3.26377e-05 3.79178e-05 2.08875e-06 1.04437e-06 5.22187e-07
 2006  1  2 12  0  0 4.04640e-03 2.44159e-03 1.32202e-03 9.40828e-04 6.82629e-04 3.86841e-04 2.64144e-04 2.09412e-04 4.24853e-04 1.27739e-04 7.78942e-03 7.52625e-03 1.45604e-04 8.69191e-05 9.02395e-05 1.81290e-04 7.19795e-05 7.68157e-05 1.27583e-04 8.38826e-05 1.08959e-04 1.24969e-04 6.94226e-05 5.88492e-05 1.65145e-05 1.25608e-05 1.34340e-05 2.41220e-05 1.03131e-05 2.09889e-05 8.74632e-05 3.10395e-05 1.56919e-05 8.64314e-05 3.84688e-05 3.00981e-05 4.21963e-05 5.57616e-05 1.55388e-05 3.53783e-05 1.10582e-04 4.69116e-05 5.56394e-04 3.50793e-04 3.50793e-04 4.22467e-04 1.37339e-04 5.18231e-05 2.54403e-04 5.59920e-04 4.36078e-05 1.19132e-04 4.07654e-05 2.09202e-05 3.11504e-05 3.59790e-05 1.99205e-06 9.96025e-07 4.98012e-07
 2006  1  3 12  0  0 4.03410e-03 2.43479e-03 1.31979e-03 9.39141e-04 6.81153e-04 3.86168e-04 2.63513e-04 2.08762e-04 4.22955e-04 1.27253e-04 7.70791e-03 7.44605e-03 1.44967e-04 8.64595e-05 8.97113e-05 1.79872e-04 7.14490e-05 7.61575e-05 1.26690e-04 8.32639e-05 1.08162e-04 1.24016e-04 6.89717e-05 5.86226e-05 1.64347e-05 1.25518e-05 1.33818e-05 2.40267e-05 1.03069e-05 2.09549e-05 8.72364e-05 3.10105e-05 1.56735e-05 8.61008e-05 3.84246e-05 2.98279e-05 4.21398e-05 5.56988e-05 1.55275e-05 3.50913e-05 1.09491e-04 4.64021e-05 5.54019e-04 3.50446e-04 3.50446e-04 4.22184e-04 1.37070e-04 5.19762e-05 2.55123e-04 5.60922e-04 4.33305e-05 1.17524e-04 3.99227e-05 2.03863e-05 2.98414e-05 3.42727e-05 1.90694e-06 9.53470e-07 4.76735e-07
 2006  1  4 12  0  0 4.00413e-03 2.41900e-03 1.31643e-03 9.36601e-04 6.78932e-04 3.85157e-04 2.62566e-04 2.07785e-04 4.19722e-04 1.26521e-04 7.51262e-03 7.25272e-03 1.44008e-04 8.57692e-05 8.89189e-05 1.77749e-04 7.06537e-05 7.51730e-05 1.25356e-04 8.23426e-05 1.06969e-04 1.22587e-04 6.82947e-05 5.82692e-05 1.63142e-05 1.25268e-05 1.33028e-05 2.38748e-05 1.02894e-05 2.08851e-05 8.68211e-05 3.09311e-05 1.56249e-05 8.52964e-05 3.83030e-05 2.91898e-05 4.19885e-05 5.55261e-05 1.54934e-05 3.56253e-05 1.11561e-04 4.73606e-05 5.56970e-04 3.49529e-04 3.49529e-04 4.20234e-04 1.36373e-04 5.16228e-05 2.53462e-04 5.58608e-04 4.34560e-05 1.18369e-04 4.03656e-05 2.06670e-05 3.05321e-05 3.51738e-05 1.95209e-06 9.76046e-07 4.88023e-07
 2006  1  5 12  0  0 3.96095e-03 2.39375e-03 1.30519e-03 9.28092e-04 6.71499e-04 3.81772e-04 2.59403e-04 2.04527e-04 4.10788e-04 1.24065e-04 7.22703e-03 6.97373e-03 1.40792e-04 8.34644e-05 8.62770e-05 1.70689e-04 6.80049e-05 7.19041e-05 1.20941e-04 7.93020e-05 1.02998e-04 1.17830e-04 6.60342e-05 5.71396e-05 1.59090e-05 1.25010e-05 1.30364e-05 2.34066e-05 1.02712e-05 2.07448e-05 8.58185e-05 3.08491e-05 1.55746e-05 8.42002e-05 3.81773e-05 2.82654e-05 4.18319e-05 5.53475e-05 1.54583e-05 3.56894e-05 1.11812e-04 4.74765e-05 5.56493e-04 3.48578e-04 3.48578e-04 4.18422e-04 1.35651e-04 5.13858e-05 2.52347e-04 5.57056e-04 4.34293e-05 1.18319e-04 4.03395e-05 2.06505e-05 3.04930e-05 3.51232e-05 1.94968e-06 9.74840e-07 4.87420e-07
 2006  1  6 12  0  0 3.94506e-03 2.38476e-03 1.30183e-03 9.25552e-04 6.69277e-04 3.80760e-04 2.58456e-04 2.03551e-04 4.08022e-04 1.23333e-04 7.12297e-03 6.87163e-03 1.39833e-04 8.27741e-05 8.54846e-05 1.68566e-04 6.72096e-05 7.09196e-05 1.19607e-04 7.83807e-05 1.01805e-04 1.16401e-04 6.53571e-05 5.67818e-05 1.57885e-05 1.24715e-05 1.29574e-05 2.32517e-05 1.02506e-05 2.06678e-05 8.53725e-05 3.07554e-05 1.55170e-05 8.36695e-05 3.80339e-05 2.79307e-05 4.16529e-05 5.51437e-05 1.54185e-05 3.66469e-05 1.15501e-04 4.91889e-05 5.62287e-04 3.47491e-04 3.47491e-04 4.15949e-04 1.34824e-04 5.08664e-05 2.49905e-04 5.53654e-04 4.31130e-05 1.16777e-04 3.95313e-05 2.01386e-05 2.92390e-05 3.34889e-05 1.86826e-06 9.34129e-07 4.67065e-07
 2006  1  7 12  0  0 3.92078e-03 2.37128e-03 1.29735e-03 9.22164e-04 6.66314e-04 3.79411e-04 2.57192e-04 2.02249e-04 4.04229e-04 1.22356e-04 6.96449e-03 6.71577e-03 1.38553e-04 8.18535e-05 8.44280e-05 1.65736e-04 6.61492e-05 6.96075e-05 1.17831e-04 7.71537e-05 1.00215e-04 1.14496e-04 6.44542e-05 5.60811e-05 1.56277e-05 1.22091e-05 1.28519e-05 2.28858e-05 1.00638e-05 2.02034e-05 8.32976e-05 2.99257e-05 1.50160e-05 8.14176e-05 3.67613e-05 2.74210e-05 4.00837e-05 5.33341e-05 1.50502e-05 3.66679e-05 1.15550e-04 4.92181e-05 5.52886e-04 3.38015e-04 3.38015e-04 4.00027e-04 1.27688e-04 4.97892e-05 2.44840e-04 5.46599e-04 4.25262e-05 1.13964e-04 3.80571e-05 1.92047e-05 2.69524e-05 3.05090e-05 1.71987e-06 8.59935e-07 4.29968e-07
 2006  1  8 12  0  0 3.92613e-03 2.37477e-03 1.29963e-03 9.23889e-04 6.67817e-04 3.80095e-04 2.57827e-04 2.02902e-04 4.05925e-04 1.22855e-04 6.99909e-03 6.74905e-03 1.39206e-04 8.23166e-05 8.49567e-05 1.67138e-04 6.66777e-05 7.02540e-05 1.18698e-04 7.77446e-05 1.01005e-04 1.15445e-04 6.49083e-05 5.62457e-05 1.57107e-05 1.21478e-05 1.29070e-05 2.29340e-05 1.00207e-05 2.01242e-05 8.30524e-05 2.97307e-05 1.48964e-05 8.11114e-05 3.64627e-05 2.75231e-05 3.97115e-05 5.29098e-05 1.49669e-05 3.63392e-05 1.14250e-04 4.86212e-05 5.48182e-04 3.35756e-04 3.35756e-04 3.95943e-04 1.25971e-04 4.93664e-05 2.42851e-04 5.43829e-04 4.20039e-05 1.11232e-04 3.66253e-05 1.82978e-05 2.47317e-05 2.76148e-05 1.57573e-06 7.87867e-07 3.93933e-07
 2006  1  9 12  0  0 3.93112e-03 2.37635e-03 1.29742e-03 9.22213e-04 6.66349e-04 3.79426e-04 2.57198e-04 2.02253e-04 4.04607e-04 1.22374e-04 7.02734e-03 6.77859e-03 1.38575e-04 8.18580e-05 8.44288e-05 1.65716e-04 6.61466e-05 6.95920e-05 1.17796e-04 7.71172e-05 1.00207e-04 1.14490e-04 6.44585e-05 5.58201e-05 1.56318e-05 1.19372e-05 1.28557e-05 2.26959e-05 9.87110e-06 1.97637e-05 8.14874e-05 2.90647e-05 1.44935e-05 7.97948e-05 3.54412e-05 2.76046e-05 3.84505e-05 5.14573e-05 1.46724e-05 3.46361e-05 1.07628e-04 4.55589e-05 5.28176e-04 3.28137e-04 3.28137e-04 3.84074e-04 1.20228e-04 4.90844e-05 2.41524e-04 5.41980e-04 4.15514e-05 1.08829e-04 3.53659e-05 1.75000e-05 2.27784e-05 2.50693e-05 1.44898e-06 7.24489e-07 3.62244e-07
