
Downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2010 04 01 00 55 00 000    6.87    -3.71     0.78  -440.60     56.60      8.00    1.58    158288.0
 2010 04 01 00 57 00 000    7.06    -4.43     1.02  -440.60     56.60      8.00    1.58    158288.0
 2010 04 01 00 59 00 000    6.87    -4.44     1.12  -440.60     56.60      8.00    1.58    158288.0
 2010 04 01 01 01 00 000    7.02    -5.20     0.85  -347.90     10.50     -1.50   14.32     27655.0
 2010 04 01 01 02 00 000    7.00    -4.61     0.91  -350.60     12.70     -1.40   13.91     34213.0
 2010 04 01 01 03 00 000    7.05    -4.66     0.75  -425.60     72.80      0.60    2.97    214595.0
 2010 04 01 01 04 00 000    7.03    -3.26     0.61  -434.80     80.10      0.90    1.70    236631.0
 2010 04 01 01 05 00 000    7.01    -6.16    -0.18  -428.90     44.00    -13.80    2.46    178252.0
 2010 04 01 01 06 00 000    6.99    -6.17    -0.34  -428.90     44.00    -13.80    2.46    178252.0
 2010 04 01 01 07 00 000    6.87    -6.17    -0.49  -430.90     69.00      0.10    1.94    214297.0
 2010 04 01 01 08 00 000    6.94    -6.26    -0.14  -427.90     58.00      7.00    2.14    205943.0
 2010 04 01 01 09 00 000    7.04    -6.27    -0.07  -424.00     46.40     17.60    2.37    198411.0
 2010 04 01 01 10 00 000    6.51    -6.02    -0.44  -431.10     54.00     24.30    2.62    132340.0
 2010 04 01 01 11 00 000    6.98    -6.29    -0.41  -428.90     51.50      1.40    2.33    166255.0
 2010 04 01 01 12 00 000    6.68    -6.13     0.04  -428.30     76.10     -9.00    1.70    187211.0
 2010 04 01 01 13 00 000    6.68    -6.10    -0.89  -429.50     66.60     -0.60    2.13    193891.0
 2010 04 01 01 14 00 000    6.91    -6.46     0.43  -428.80     73.90     -4.80    1.86    172538.0
 2010 04 01 01 15 00 000    6.75    -5.77     1.98  -428.40     84.50     -8.30    1.52    153619.0
 2010 04 01 01 16 00 000    6.80    -5.81     0.48  -423.00     28.90    -13.90    3.15    230541.0
 2010 04 01 01 17 00 000    5.89    -5.96    -0.78  -423.80     37.10    -11.70    3.11    228243.0
 2010 04 01 01 18 00 000    6.22    -6.08    -1.31  -426.80     69.50     -2.90    2.91    219143.0
 2010 04 01 01 19 00 000    6.81    -5.66     0.31  -415.60     62.30     34.00    2.68    122228.0
 2010 04 01 01 20 00 000    6.79    -5.69    -0.15  -415.40     62.10     34.70    2.68    120344.0
 2010 04 01 01 21 00 000    6.95    -5.69    -0.86  -414.60     53.10      2.70    2.58    130148.0
 2010 04 01 01 22 00 000    6.65    -6.00    -0.98  -413.80     44.60    -26.00    2.54    149505.0
 2010 04 01 01 23 00 000    6.72    -5.81    -2.03  -413.30     41.30    -30.20    2.70    198058.0
 2010 04 01 01 24 00 000    6.63    -5.78     1.35  -413.20     41.00    -30.60    2.71    203171.0
 2010 04 01 01 25 00 000    6.80    -5.77     0.33  -413.20     41.00    -30.60    2.71    203171.0
 2010 04 01 01 26 00 000    6.53    -5.87    -0.31  -411.90     63.20      8.10    3.02    150465.0
 2010 04 01 01 27 00 000    6.15    -6.13     0.01  -412.10     62.30      9.40    3.10    150814.0
 2010 04 01 01 29 00 000    6.36    -5.89    -0.06  -413.20     58.00     15.70    3.43    152462.0
 2010 04 01 01 30 00 000    6.36    -5.97    -0.08  -413.20     58.00     15.70    3.43    152462.0
 2010 04 01 01 31 00 000    6.36    -5.97    -0.07  -413.20     58.00     15.70    3.43    152462.0
 2010 04 01 01 32 00 000    6.34    -6.02    -0.27  -413.20     58.00     15.70    3.43    152462.0
 2010 04 01 01 33 00 000    5.27    -6.67     0.30  -424.60     47.50     19.40    3.73    199472.0
 2010 04 01 01 34 00 000    6.00    -6.19    -0.27  -424.60     47.50     19.40    3.73    199472.0
 2010 04 01 01 35 00 000    5.22    -6.44    -0.05  -433.80    -17.50     18.40    4.84    161460.0
 2010 04 01 01 36 00 000    4.60    -6.51    -0.31  -433.80    -17.50     18.40    4.84    161460.0
 2010 04 01 01 37 00 000    5.20    -6.04     0.79  -433.80    -17.50     18.40    4.84    161460.0
 2010 04 01 01 38 00 000    6.08    -6.23    -0.03  -433.80    -17.50     18.40    4.84    161460.0
 2010 04 01 01 39 00 000    5.07    -6.12     1.38  -410.40     58.00     12.10    3.28    155269.0
 2010 04 01 01 40 00 000    5.39    -6.45    -0.78  -413.90     44.00      8.60    3.74    202039.0
 2010 04 01 01 41 00 000    5.31    -6.38    -0.75  -418.10     27.10      4.30    4.29    258215.0
