GITM2 log file
iStep time dt Tmin Tmax Tave Wmin Wmax Wave
      62    168.22311      2.64998    158.88056   1321.75788    808.04871   -191.49005    101.44585    -20.16162
      63    170.87264      2.64953    158.86574   1322.14066    808.08637   -191.60256    102.90883    -20.21723
      64    173.52165      2.64901    158.85177   1322.53669    808.12414   -191.69325    104.55564    -20.27124
      65    176.17008      2.64843    158.83901   1322.94287    808.16200   -191.77215    106.06697    -20.32366
      66    178.81799      2.64792    158.82643   1323.36234    808.20003   -191.85267    107.36563    -20.37481
      67    181.46550      2.64751    158.81177   1323.79659    808.23826   -191.94180    108.40351    -20.42483
      68    184.11267      2.64717    158.79445   1324.24579    808.27678   -192.03842    109.13281    -20.47374
      69    186.75960      2.64693    158.77724   1324.70912    808.31556   -192.13675    109.65899    -20.52160
      70    189.40631      2.64671    158.76465   1325.18687    808.35469   -192.22630    111.52130    -20.56827
      71    192.05273      2.64642    158.75453   1325.68031    808.39421   -192.29318    113.29773    -20.61344
      72    194.69885      2.64612    158.74343   1326.19020    808.43414   -192.32734    114.89631    -20.65713
      73    197.34465      2.64580    158.73259   1326.71367    808.47454   -192.33131    116.25407    -20.69937
      74    199.99017      2.64552    158.72335   1327.24931    808.51543   -192.30927    117.32139    -20.74026
      75    202.63539      2.64522    158.71568   1327.79425    808.55688   -192.52391    118.04936    -20.77974
      76    205.28038      2.64500    158.70833   1328.34885    808.59891   -192.90444    118.92305    -20.81801
      77    207.92512      2.64474    158.70179   1328.91120    808.64159   -193.26939    120.94071    -20.85477
      78    210.56967      2.64455    158.69619   1329.47709    808.68493   -193.63272    122.85148    -20.89022
      79    213.21404      2.64437    158.69046   1330.04295    808.72901   -194.08929    124.54440    -20.92424
      80    215.85825      2.64422    158.68378   1330.60419    808.77381   -194.53524    125.96934    -20.95688
      81    218.50231      2.64406    158.67652   1331.19317    808.81941   -194.96839    127.07475    -20.98804
      82    221.14627      2.64396    158.66989   1331.84442    808.86581   -195.39177    127.81036    -21.01788
      83    223.79011      2.64384    158.66406   1332.50158    808.91305   -195.80116    129.30240    -21.04620
      84    226.43386      2.64375    158.65843   1333.15931    808.96117   -196.19680    131.52918    -21.07306
      85    229.07752      2.64366    158.65246   1333.81040    809.01018   -196.57833    133.59923    -21.09843
      86    231.72110      2.64358    158.64676   1334.44985    809.06010   -196.94814    135.42021    -21.12237
      87    234.36462      2.64352    158.64244   1335.08141    809.11093   -197.30922    136.93943    -21.14492
      88    237.00807      2.64344    158.63938   1335.69399    809.16267   -197.66031    138.10309    -21.16602
      89    239.65143      2.64336    158.63631   1336.27393    809.21530   -198.00070    138.85930    -21.18568
      90    242.29471      2.64328    158.63228   1336.80921    809.26886   -198.51817    141.26526    -21.20394
      91    244.93793      2.64322    158.62802   1337.30776    809.32336   -199.26894    143.73633    -21.22081
      92    247.58112      2.64319    158.62459   1338.02712    809.37875   -200.00101    145.97378    -21.23639
      93    250.22432      2.64321    158.62173   1338.72272    809.43500   -200.71529    147.92435    -21.25078
      94    252.86754      2.64322    158.61900   1339.39409    809.49204   -201.40855    149.53271    -21.26384
      95    255.51079      2.64325    158.61642   1340.02267    809.54985   -202.08666    150.74302    -21.27564
      96    258.15402      2.64323    158.61423   1340.58870    809.60836   -202.75052    152.26590    -21.28598
      97    260.79723      2.64321    158.61209   1341.08867    809.66752   -203.40346    155.09710    -21.29498
      98    263.44039      2.64316    158.60953   1341.52924    809.72725   -204.04437    157.74941    -21.30258
      99    266.08354      2.64315    158.60666   1342.21391    809.78750   -204.67652    160.12169    -21.30897
     100    268.72665      2.64312    158.60362   1342.96813    809.84811   -205.29432    162.15817    -21.31411
     101    271.36977      2.64312    158.60058   1343.66596    809.90899   -205.89869    163.80073    -21.31817
     102    274.01292      2.64314    158.59771   1344.29075    809.97000   -206.48939    164.99150    -21.32111
     103    276.65607      2.64315    158.59519   1344.82503    810.03108   -207.06513    167.50709    -21.32288
     104    279.29928      2.64320    158.59317   1345.31198    810.09209   -207.63081    170.57042    -21.32365
     105    281.94253      2.64325    158.59154   1345.85008    810.15290   -208.18425    173.36422    -21.32335
     106    284.58584      2.64331    158.59005   1346.69437    810.21332   -208.72608    175.82804    -21.32202
     107    287.22920      2.64337    158.58852   1347.46859    810.27323   -209.25486    177.90215    -21.31970
     108    289.87264      2.64343    158.58686   1348.15654    810.33251   -209.77272    179.52143    -21.31648
     109    292.51615      2.64351    158.58498   1348.74989    810.39104   -210.27941    181.19027    -21.31240
     110    295.15974      2.64359    158.58297   1349.27790    810.44870   -210.77384    184.68293    -21.30750
     111    297.80342      2.64369    158.58110   1349.74257    810.50537   -211.25554    187.95330    -21.30185
     112    300.00000      2.19658    158.58195   1349.37015    810.57099   -201.95920    190.39897    -20.12729
