 Spectral data from ../../Hitr04/02_hit04.par_fmt                               
           220.0    es la weighting temperature
          36  es el no. de temp. diferentes
   662.373   580.000   732.000       central wave#, min w#, max w#
  3     no. grupos en este intervalo :
 number     strength   alor_self    alor_air      a_dop  spacing
 500.00
   49.0  1.571286E-22  4.9248E-02  4.9288E-02  8.5295E-04   5.4205E-01
   93.0  8.129166E-21  5.8765E-02  5.2535E-02  8.4475E-04   5.3218E-01
  118.0  5.243973E-20  7.7700E-02  5.8291E-02  8.4202E-04   4.8113E-01
 390.00
   49.0  1.348395E-22  5.0079E-02  5.0112E-02  8.4208E-04   5.4205E-01
   93.0  7.832169E-21  5.9981E-02  5.3574E-02  8.3401E-04   5.3218E-01
  118.0  5.374080E-20  7.9306E-02  5.9461E-02  8.3140E-04   4.8113E-01
 380.00
   49.0  1.146160E-22  5.0948E-02  5.0972E-02  8.3106E-04   5.4205E-01
   93.0  7.521093E-21  6.1256E-02  5.4664E-02  8.2315E-04   5.3218E-01
  118.0  5.505203E-20  8.0988E-02  6.0686E-02  8.2065E-04   4.8113E-01
 370.00
   49.0  9.642896E-23  5.1856E-02  5.1873E-02  8.1990E-04   5.4205E-01
   93.0  7.196636E-21  6.2595E-02  5.5806E-02  8.1213E-04   5.3218E-01
  118.0  5.637054E-20  8.2754E-02  6.1970E-02  8.0975E-04   4.8113E-01
 360.00
   49.0  8.022978E-23  5.2808E-02  5.2815E-02  8.0858E-04   5.4205E-01
   93.0  6.859666E-21  6.4003E-02  5.7007E-02  8.0097E-04   5.3218E-01
  118.0  5.769309E-20  8.4609E-02  6.3317E-02  7.9871E-04   4.8113E-01
 350.00
   49.0  6.595090E-23  5.3806E-02  5.3804E-02  7.9711E-04   5.4205E-01
   93.0  6.511233E-21  6.5485E-02  5.8269E-02  7.8965E-04   5.3218E-01
  118.0  5.901612E-20  8.6559E-02  6.4733E-02  7.8751E-04   4.8113E-01
 340.00
   49.0  5.350661E-23  5.4854E-02  5.4841E-02  7.8547E-04   5.4205E-01
   93.0  6.152580E-21  6.7047E-02  5.9599E-02  7.7817E-04   5.3218E-01
  118.0  6.033565E-20  8.8614E-02  6.6223E-02  7.7615E-04   4.8113E-01
 330.00
   49.0  4.279435E-23  5.5956E-02  5.5932E-02  7.7366E-04   5.4205E-01
   93.0  5.785155E-21  6.8696E-02  6.1002E-02  7.6652E-04   5.3218E-01
  118.0  6.164737E-20  9.0781E-02  6.7794E-02  7.6463E-04   4.8113E-01
 320.00
   49.0  3.369666E-23  5.7117E-02  5.7081E-02  7.6166E-04   5.4205E-01
   93.0  5.410612E-21  7.0441E-02  6.2484E-02  7.5468E-04   5.3218E-01
  118.0  6.294656E-20  9.3071E-02  6.9451E-02  7.5292E-04   4.8113E-01
 310.00
   49.0  2.608353E-23  5.8341E-02  5.8293E-02  7.4948E-04   5.4205E-01
   93.0  5.030823E-21  7.2289E-02  6.4052E-02  7.4267E-04   5.3218E-01
  118.0  6.422814E-20  9.5494E-02  7.1203E-02  7.4104E-04   4.8113E-01
 300.00
   49.0  1.981523E-23  5.9635E-02  5.9574E-02  7.3709E-04   5.4205E-01
   93.0  4.647870E-21  7.4249E-02  6.5716E-02  7.3045E-04   5.3218E-01
  118.0  6.548670E-20  9.8063E-02  7.3059E-02  7.2896E-04   4.8113E-01
 290.00
   49.0  1.474560E-23  6.1005E-02  6.0929E-02  7.2450E-04   5.4205E-01
   93.0  4.264048E-21  7.6334E-02  6.7483E-02  7.1803E-04   5.3218E-01
  118.0  6.671649E-20  1.0079E-01  7.5028E-02  7.1668E-04   4.8113E-01
 280.00
   49.0  1.072552E-23  6.2459E-02  6.2367E-02  7.1168E-04   5.4205E-01
   93.0  3.881844E-21  7.8556E-02  6.9363E-02  7.0539E-04   5.3218E-01
  118.0  6.791148E-20  1.0369E-01  7.7121E-02  7.0418E-04   4.8113E-01
 270.00
   49.0  7.606666E-24  6.4004E-02  6.3895E-02  6.9863E-04   5.4205E-01
   93.0  3.503925E-21  8.0927E-02  7.1370E-02  6.9253E-04   5.3218E-01
  118.0  6.906545E-20  1.0679E-01  7.9352E-02  6.9147E-04   4.8113E-01
 260.00
   49.0  5.245135E-24  6.5649E-02  6.5522E-02  6.8534E-04   5.4205E-01
   93.0  3.133106E-21  8.3465E-02  7.3515E-02  6.7942E-04   5.3218E-01
  118.0  7.017207E-20  1.1010E-01  8.1733E-02  6.7851E-04   4.8113E-01
 250.00
   49.0  3.504925E-24  6.7407E-02  6.7260E-02  6.7178E-04   5.4205E-01
   93.0  2.772315E-21  8.6189E-02  7.5815E-02  6.6605E-04   5.3218E-01
  118.0  7.122496E-20  1.1364E-01  8.4283E-02  6.6530E-04   4.8113E-01
 240.00
   49.0  2.261002E-24  6.9289E-02  6.9120E-02  6.5795E-04   5.4205E-01
   93.0  2.424539E-21  8.9119E-02  7.8287E-02  6.5242E-04   5.3218E-01
  118.0  7.221789E-20  1.1745E-01  8.7019E-02  6.5183E-04   4.8113E-01
 230.00
   49.0  1.401786E-24  7.1309E-02  7.1116E-02  6.4382E-04   5.4205E-01
   93.0  2.092765E-21  9.2281E-02  8.0953E-02  6.3849E-04   5.3218E-01
  118.0  7.314490E-20  1.2155E-01  8.9963E-02  6.3808E-04   4.8113E-01
 220.00
