 Spectral data from ../../Hitr04/02_hit04.par_fmt                               
           220.0    es la weighting temperature
          36  es el no. de temp. diferentes
   618.029   546.000   687.000       central wave#, min w#, max w#
  3     no. grupos en este intervalo :
 number     strength   alor_self    alor_air      a_dop  spacing
   80.0  2.268840E-21  9.2559E-02  6.9364E-02  7.1694E-04   1.0220E+00
 310.00
   21.0  1.218643E-25  5.6585E-02  5.7157E-02  7.0150E-04   1.1386E+00
   35.0  2.065017E-23  6.5294E-02  6.1977E-02  7.0400E-04   1.1399E+00
   80.0  2.093912E-21  9.5054E-02  7.1141E-02  7.0563E-04   1.0220E+00
 300.00
   21.0  7.775533E-26  5.7783E-02  5.8359E-02  6.8963E-04   1.1386E+00
   35.0  1.583956E-23  6.6935E-02  6.3502E-02  6.9231E-04   1.1399E+00
   80.0  1.918795E-21  9.7696E-02  7.3023E-02  6.9413E-04   1.0220E+00
 290.00
   21.0  4.800770E-26  5.9051E-02  5.9630E-02  6.7756E-04   1.1386E+00
   35.0  1.190912E-23  6.8678E-02  6.5121E-02  6.8042E-04   1.1399E+00
   80.0  1.744651E-21  1.0050E-01  7.5018E-02  6.8244E-04   1.0220E+00
 280.00
   21.0  2.858299E-26  6.0393E-02  6.0976E-02  6.6527E-04   1.1386E+00
   35.0  8.758339E-24  7.0532E-02  6.6843E-02  6.6832E-04   1.1399E+00
   80.0  1.572718E-21  1.0348E-01  7.7138E-02  6.7055E-04   1.0220E+00
 270.00
   21.0  1.634514E-26  6.1819E-02  6.2405E-02  6.5277E-04   1.1386E+00
   35.0  6.285292E-24  7.2508E-02  6.8678E-02  6.5600E-04   1.1399E+00
   80.0  1.404299E-21  1.0665E-01  7.9395E-02  6.5845E-04   1.0220E+00
 260.00
   21.0  8.936330E-27  6.3336E-02  6.3926E-02  6.4002E-04   1.1386E+00
   35.0  4.389247E-24  7.4620E-02  7.0638E-02  6.4344E-04   1.1399E+00
   80.0  1.240737E-21  1.1004E-01  8.1805E-02  6.4612E-04   1.0220E+00
 250.00
   21.0  4.646317E-27  6.4954E-02  6.5547E-02  6.2702E-04   1.1386E+00
   35.0  2.973214E-24  7.6882E-02  7.2737E-02  6.3064E-04   1.1399E+00
   80.0  1.083399E-21  1.1366E-01  8.4382E-02  6.3356E-04   1.0220E+00
 240.00
   21.0  2.283216E-27  6.6684E-02  6.7281E-02  6.1375E-04   1.1386E+00
   35.0  1.946336E-24  7.9312E-02  7.4991E-02  6.1757E-04   1.1399E+00
   80.0  9.336356E-22  1.1755E-01  8.7146E-02  6.2074E-04   1.0220E+00
 230.00
   21.0  1.052736E-27  6.8538E-02  6.9140E-02  6.0020E-04   1.1386E+00
   35.0  1.225949E-24  8.1929E-02  7.7418E-02  6.0421E-04   1.1399E+00
   80.0  7.927527E-22  1.2173E-01  9.0119E-02  6.0765E-04   1.0220E+00
 220.00
   21.0  4.515485E-28  7.0533E-02  7.1139E-02  5.8635E-04   1.1386E+00
   35.0  7.391960E-25  8.4758E-02  8.0041E-02  5.9056E-04   1.1399E+00
   80.0  6.619656E-22  1.2623E-01  9.3326E-02  5.9428E-04   1.0220E+00
 210.00
   21.0  1.783513E-28  7.2685E-02  7.3296E-02  5.7217E-04   1.1386E+00
   35.0  4.240629E-25  8.7827E-02  8.2884E-02  5.7658E-04   1.1399E+00
   80.0  5.423533E-22  1.3111E-01  9.6797E-02  5.8060E-04   1.0220E+00
 200.00
   21.0  6.408127E-29  7.5015E-02  7.5631E-02  5.5763E-04   1.1386E+00
   35.0  2.297805E-25  9.1167E-02  8.5979E-02  5.6226E-04   1.1399E+00
   80.0  4.348079E-22  1.3640E-01  1.0057E-01  5.6659E-04   1.0220E+00
 190.00
   21.0  2.063737E-29  7.7547E-02  7.8169E-02  5.4273E-04   1.1386E+00
   35.0  1.165675E-25  9.4818E-02  8.9360E-02  5.4756E-04   1.1399E+00
   80.0  3.399822E-22  1.4217E-01  1.0468E-01  5.5223E-04   1.0220E+00
 180.00
   21.0  5.850777E-30  8.0312E-02  8.0940E-02  5.2741E-04   1.1386E+00
   35.0  5.477107E-26  9.8829E-02  9.3074E-02  5.3245E-04   1.1399E+00
   80.0  2.582394E-22  1.4849E-01  1.0919E-01  5.3749E-04   1.0220E+00
 170.00
   21.0  1.428038E-30  8.3345E-02  8.3980E-02  5.1165E-04   1.1386E+00
   35.0  2.352195E-26  1.0326E-01  9.7172E-02  5.1689E-04   1.1399E+00
   80.0  1.896076E-22  1.5544E-01  1.1415E-01  5.2233E-04   1.0220E+00
 160.00
   21.0  2.918463E-31  8.6690E-02  8.7332E-02  4.9540E-04   1.1386E+00
   35.0  9.081456E-27  1.0818E-01  1.0172E-01  5.0085E-04   1.1399E+00
   80.0  1.337472E-22  1.6313E-01  1.1965E-01  5.0672E-04   1.0220E+00
 150.00
   21.0  4.821291E-32  9.0401E-02  9.1051E-02  4.7862E-04   1.1386E+00
   35.0  3.086785E-27  1.1367E-01  1.0681E-01  4.8428E-04   1.1399E+00
   80.0  8.993450E-23  1.7170E-01  1.2578E-01  4.9062E-04   1.0220E+00
 140.00
   21.0  6.153336E-33  9.4547E-02  9.5206E-02  4.6125E-04   1.1386E+00
   35.0  8.991982E-28  1.1987E-01  1.1253E-01  4.6711E-04   1.1399E+00
   80.0  5.707322E-23  1.8131E-01  1.3266E-01  4.7397E-04   1.0220E+00
 130.00
   21.0  5.718703E-34  9.9216E-02  9.9884E-02  4.4323E-04   1.1386E+00
   35.0  2.167517E-28  1.2690E-01  1.1903E-01  4.4928E-04   1.1399E+00
   80.0  3.373744E-23  1.9217E-01  1.4046E-01  4.5672E-04   1.0220E+00
 120.00
   21.0  3.576560E-35  1.0452E-01  1.0520E-01  4.2448E-04   1.1386E+00
   35.0  4.126074E-29  1.3497E-01  1.2648E-01  4.3071E-04   1.1399E+00
   80.0  1.825451E-23  2.0459E-01  1.4938E-01  4.3879E-04   1.0220E+00
 110.00
   21.0  1.351783E-36  1.1061E-01  1.1130E-01  4.0490E-04   1.1386E+00
   35.0  5.820388E-30  1.4433E-01  1.3512E-01  4.1131E-04   1.1399E+00
   80.0  8.827459E-24  2.1893E-01  1.5971E-01  4.2010E-04   1.0220E+00
 100.00
   21.0  2.656106E-38  1.1769E-01  1.1840E-01  3.8440E-04   1.1386E+00
   35.0  5.566630E-31  1.5535E-01  1.4528E-01  3.9094E-04   1.1399E+00
   80.0  3.689517E-24  2.3575E-01  1.7183E-01  4.0054E-04   1.0220E+00
  90.00
   21.0  2.183098E-40  1.2605E-01  1.2677E-01  3.6283E-04   1.1386E+00
   35.0  3.175259E-32  1.6853E-01  1.5742E-01  3.6948E-04   1.1399E+00
   80.0  1.269829E-24  2.5579E-01  1.8631E-01  3.7998E-04   1.0220E+00
  80.00
   21.0  5.417847E-43  1.3610E-01  1.3684E-01  3.4004E-04   1.1386E+00
   35.0  8.915464E-34  1.8460E-01  1.7222E-01  3.4674E-04   1.1399E+00
   80.0  3.346521E-25  2.8020E-01  2.0397E-01  3.5824E-04   1.0220E+00
  70.00
   21.0  2.432934E-46  1.4846E-01  1.4922E-01  3.1583E-04   1.1386E+00
   35.0  9.117880E-36  2.0470E-01  1.9072E-01  3.2254E-04   1.1399E+00
   80.0  6.023860E-26  3.1074E-01  2.2612E-01  3.3509E-04   1.0220E+00
  60.00
   21.0  8.423013E-51  1.6412E-01  1.6489E-01  2.8998E-04   1.1386E+00
   35.0  2.057169E-38  2.3062E-01  2.1457E-01  2.9663E-04   1.1399E+00
   80.0  6.121105E-27  3.5031E-01  2.5488E-01  3.1023E-04   1.0220E+00
  20.00
   21.0  3.333333E-39  1.5775E-01  1.6182E-01  2.8614E-04   1.1386E+00
   35.0  4.151899E-42  2.6548E-01  2.4664E-01  2.6873E-04   1.1399E+00
   80.0  2.491567E-28  4.0404E-01  2.9401E-01  2.8319E-04   1.0220E+00
