 Spectral data from ../../Hitr04/02_hit04.par_fmt                               
           220.0    es la weighting temperature
          36  es el no. de temp. diferentes
   648.478   582.000   721.000       central wave#, min w#, max w#
  3     no. grupos en este intervalo :
 number     strength   alor_self    alor_air      a_dop  spacing
 500.00
   28.0  1.657798E-22  4.9233E-02  4.9277E-02  8.3864E-04   1.1468E+00
   42.0  1.021667E-20  5.7637E-02  5.2348E-02  8.3582E-04   1.1138E+00
   64.0  9.457468E-20  7.7483E-02  5.8254E-02  8.3353E-04   1.0129E+00
 390.00
   28.0  1.405653E-22  5.0067E-02  5.0103E-02  8.2779E-04   1.1468E+00
   42.0  9.719638E-21  5.8810E-02  5.3375E-02  8.2517E-04   1.1138E+00
   64.0  9.675433E-20  7.9108E-02  5.9431E-02  8.2301E-04   1.0129E+00
 380.00
   28.0  1.179950E-22  5.0940E-02  5.0966E-02  8.1680E-04   1.1468E+00
   42.0  9.209921E-21  6.0041E-02  5.4451E-02  8.1439E-04   1.1138E+00
   64.0  9.894225E-20  8.0811E-02  6.0665E-02  8.1236E-04   1.0129E+00
 370.00
   28.0  9.798039E-23  5.1852E-02  5.1869E-02  8.0566E-04   1.1468E+00
   42.0  8.689381E-21  6.1332E-02  5.5579E-02  8.0347E-04   1.1138E+00
   64.0  1.011332E-19  8.2599E-02  6.1957E-02  8.0157E-04   1.0129E+00
 360.00
   28.0  8.041147E-23  5.2808E-02  5.2814E-02  7.9437E-04   1.1468E+00
   42.0  8.160122E-21  6.2689E-02  5.6765E-02  7.9240E-04   1.1138E+00
   64.0  1.033214E-19  8.4476E-02  6.3314E-02  7.9063E-04   1.0129E+00
 350.00
   28.0  6.515840E-23  5.3811E-02  5.3806E-02  7.8290E-04   1.1468E+00
   42.0  7.624488E-21  6.4117E-02  5.8011E-02  7.8117E-04   1.1138E+00
   64.0  1.055006E-19  8.6451E-02  6.4739E-02  7.7954E-04   1.0129E+00
 340.00
   28.0  5.207360E-23  5.4865E-02  5.4847E-02  7.7127E-04   1.1468E+00
   42.0  7.085061E-21  6.5622E-02  5.9324E-02  7.6978E-04   1.1138E+00
   64.0  1.076639E-19  8.8531E-02  6.6240E-02  7.6830E-04   1.0129E+00
 330.00
   28.0  4.099440E-23  5.5973E-02  5.5942E-02  7.5945E-04   1.1468E+00
   42.0  6.544653E-21  6.7211E-02  6.0708E-02  7.5822E-04   1.1138E+00
   64.0  1.098039E-19  9.0726E-02  6.7821E-02  7.5688E-04   1.0129E+00
 320.00
   28.0  3.174615E-23  5.7140E-02  5.7096E-02  7.4745E-04   1.1468E+00
   42.0  6.006294E-21  6.8890E-02  6.2171E-02  7.4649E-04   1.1138E+00
   64.0  1.119127E-19  9.3044E-02  6.9490E-02  7.4530E-04   1.0129E+00
 310.00
   28.0  2.414583E-23  5.8371E-02  5.8313E-02  7.3525E-04   1.1468E+00
   42.0  5.473207E-21  7.0668E-02  6.3718E-02  7.3456E-04   1.1138E+00
   64.0  1.139819E-19  9.5496E-02  7.1254E-02  7.3353E-04   1.0129E+00
 300.00
   28.0  1.800589E-23  5.9673E-02  5.9599E-02  7.2284E-04   1.1468E+00
   42.0  4.948778E-21  7.2555E-02  6.5359E-02  7.2245E-04   1.1138E+00
   64.0  1.160025E-19  9.8096E-02  7.3122E-02  7.2157E-04   1.0129E+00
 290.00
   28.0  1.313843E-23  6.1051E-02  6.0960E-02  7.1021E-04   1.1468E+00
   42.0  4.436517E-21  7.4560E-02  6.7102E-02  7.1012E-04   1.1138E+00
   64.0  1.179655E-19  1.0086E-01  7.5104E-02  7.0941E-04   1.0129E+00
 280.00
   28.0  9.359302E-24  6.2514E-02  6.2404E-02  6.9735E-04   1.1468E+00
   42.0  3.940003E-21  7.6695E-02  6.8957E-02  6.9759E-04   1.1138E+00
   64.0  1.198612E-19  1.0379E-01  7.7211E-02  6.9704E-04   1.0129E+00
 270.00
   28.0  6.492126E-24  6.4069E-02  6.3939E-02  6.8424E-04   1.1468E+00
   42.0  3.462825E-21  7.8974E-02  7.0935E-02  6.8482E-04   1.1138E+00
   64.0  1.216799E-19  1.0693E-01  7.9456E-02  6.8444E-04   1.0129E+00
 260.00
   28.0  4.371971E-24  6.5725E-02  6.5575E-02  6.7088E-04   1.1468E+00
   42.0  3.008503E-21  8.1413E-02  7.3050E-02  6.7181E-04   1.1138E+00
   64.0  1.234122E-19  1.1027E-01  8.1852E-02  6.7162E-04   1.0129E+00
 250.00
   28.0  2.848494E-24  6.7495E-02  6.7321E-02  6.5724E-04   1.1468E+00
   42.0  2.580403E-21  8.4028E-02  7.5317E-02  6.5855E-04   1.1138E+00
   64.0  1.250484E-19  1.1385E-01  8.4416E-02  6.5854E-04   1.0129E+00
 240.00
   28.0  1.788374E-24  6.9390E-02  6.9191E-02  6.4331E-04   1.1468E+00
   42.0  2.181640E-21  8.6840E-02  7.7753E-02  6.4502E-04   1.1138E+00
   64.0  1.265796E-19  1.1770E-01  8.7168E-02  6.4521E-04   1.0129E+00
 230.00
   28.0  1.076878E-24  7.1425E-02  7.1199E-02  6.2906E-04   1.1468E+00
   42.0  1.814966E-21  8.9874E-02  8.0380E-02  6.3120E-04   1.1138E+00
   64.0  1.279975E-19  1.2184E-01  9.0129E-02  6.3159E-04   1.0129E+00
 220.00
   28.0  6.184966E-25  7.3617E-02  7.3362E-02  6.1448E-04   1.1468E+00
   42.0  1.482658E-21  9.3157E-02  8.3220E-02  6.1707E-04   1.1138E+00
   64.0  1.292948E-19  1.2631E-01  9.3325E-02  6.1768E-04   1.0129E+00
 210.00
   28.0  3.366044E-25  7.5986E-02  7.5699E-02  5.9954E-04   1.1468E+00
   42.0  1.186405E-21  9.6722E-02  8.6302E-02  6.0260E-04   1.1138E+00
   64.0  1.304656E-19  1.3115E-01  9.6786E-02  6.0344E-04   1.0129E+00
 200.00
   28.0  1.722275E-25  7.8556E-02  7.8233E-02  5.8421E-04   1.1468E+00
