 Spectral data from ../../Hitr04/02_hit04.par_fmt                               
           220.0    es la weighting temperature
          36  es el no. de temp. diferentes
   667.750   599.000   750.000       central wave#, min w#, max w#
  3     no. grupos en este intervalo :
 number     strength   alor_self    alor_air      a_dop  spacing
 500.00
   41.0  3.496082E-24  4.7687E-02  4.8438E-02  8.8287E-04   8.8657E-01
   68.0  1.673946E-22  5.2827E-02  5.0967E-02  8.7667E-04   6.6619E-01
  166.0  7.274001E-21  7.6303E-02  5.7874E-02  8.6917E-04   5.2176E-01
 390.00
   41.0  2.662540E-24  4.8439E-02  4.9196E-02  8.7158E-04   8.8657E-01
   68.0  1.423754E-22  5.3818E-02  5.1905E-02  8.6553E-04   6.6619E-01
  166.0  6.969167E-21  7.7967E-02  5.9061E-02  8.5819E-04   5.2176E-01
 380.00
   41.0  1.995899E-24  4.9224E-02  4.9988E-02  8.6014E-04   8.8657E-01
   68.0  1.199037E-22  5.4855E-02  5.2886E-02  8.5426E-04   6.6619E-01
  166.0  6.652922E-21  7.9710E-02  6.0305E-02  8.4707E-04   5.2176E-01
 370.00
   41.0  1.470802E-24  5.0044E-02  5.0814E-02  8.4856E-04   8.8657E-01
   68.0  9.990534E-23  5.5941E-02  5.3914E-02  8.4283E-04   6.6619E-01
  166.0  6.326194E-21  8.1539E-02  6.1608E-02  8.3581E-04   5.2176E-01
 360.00
   41.0  1.063965E-24  5.0902E-02  5.1678E-02  8.3681E-04   8.8657E-01
   68.0  8.228511E-23  5.7082E-02  5.4992E-02  8.3125E-04   6.6619E-01
  166.0  5.990072E-21  8.3459E-02  6.2975E-02  8.2440E-04   5.2176E-01
 350.00
   41.0  7.543515E-25  5.1800E-02  5.2583E-02  8.2490E-04   8.8657E-01
   68.0  6.692755E-23  5.8281E-02  5.6125E-02  8.1951E-04   6.6619E-01
  166.0  5.645823E-21  8.5477E-02  6.4412E-02  8.1283E-04   5.2176E-01
 340.00
   41.0  5.232738E-25  5.2742E-02  5.3531E-02  8.1282E-04   8.8657E-01
   68.0  5.369895E-23  5.9542E-02  5.7317E-02  8.0760E-04   6.6619E-01
  166.0  5.294894E-21  8.7602E-02  6.5923E-02  8.0109E-04   5.2176E-01
 330.00
   41.0  3.544365E-25  5.3731E-02  5.4527E-02  8.0055E-04   8.8657E-01
   68.0  4.244962E-23  6.0871E-02  5.8572E-02  7.9551E-04   6.6619E-01
  166.0  4.938914E-21  8.9841E-02  6.7515E-02  7.8918E-04   5.2176E-01
 320.00
   41.0  2.339064E-25  5.4771E-02  5.5575E-02  7.8810E-04   8.8657E-01
   68.0  3.301674E-23  6.2275E-02  5.9898E-02  7.8324E-04   6.6619E-01
  166.0  4.579699E-21  9.2205E-02  6.9196E-02  7.7709E-04   5.2176E-01
 310.00
