
Data downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2002 12 21 00 52 00 000    5.38     5.61    -6.59  -524.80     -4.00     23.60    8.20     56975.0
 2002 12 21 00 53 00 000    5.62     5.59    -6.39  -528.00     -3.80     20.90    8.32     65044.0
 2002 12 21 00 54 00 000    4.96     5.96    -6.58  -528.00     -3.80     20.90    8.32     65044.0
 2002 12 21 00 55 00 000    5.43     5.78    -6.41  -519.20     -7.10     24.30    7.91     53356.0
 2002 12 21 00 56 00 000    5.45     5.25    -6.81  -525.00     -6.80     22.20    7.95     57796.0
 2002 12 21 00 57 00 000    4.29     6.58    -6.46  -519.20     -7.30     23.50    8.23     60645.0
 2002 12 21 00 58 00 000    4.10     6.78    -6.44  -519.20     -7.30     23.50    8.23     60645.0
 2002 12 21 00 59 00 000    4.14     6.29    -6.88  -517.30     -8.30     24.30    7.94     62410.0
 2002 12 21 01 00 00 000    4.31     5.28    -7.50  -518.90     -5.60     26.70    7.59     63060.0
 2002 12 21 01 01 00 000    4.56     4.75    -7.70  -523.20      2.30     28.80    8.12     60120.0
 2002 12 21 01 02 00 000    4.76     4.64    -7.73  -523.30      5.20     28.00    8.09     63332.0
 2002 12 21 01 03 00 000    4.57     4.27    -8.09  -519.90      3.00     28.00    7.40     66337.0
 2002 12 21 01 04 00 000    4.33     4.23    -8.22  -519.90      3.00     28.00    7.40     66337.0
 2002 12 21 01 05 00 000    3.88     3.92    -8.53  -516.90      4.10     30.70    7.19     59364.0
 2002 12 21 01 06 00 000    4.26     3.16    -8.88  -516.20      5.70     30.80    7.62     69622.0
 2002 12 21 01 07 00 000    4.16     2.95    -9.30  -516.00      8.00     28.30    5.11     65740.0
 2002 12 21 01 08 00 000    3.52     2.42    -9.73  -513.30      9.20     32.30    5.65     64837.0
 2002 12 21 01 09 00 000    3.19     1.53    -9.70  -506.50     15.50     32.70    5.77     75744.0
 2002 12 21 01 10 00 000    2.96     1.38    -9.72  -506.50     15.50     32.70    5.77     75744.0
 2002 12 21 01 11 00 000    3.04     1.41    -9.66  -506.50     15.50     32.70    5.77     75744.0
 2002 12 21 01 12 00 000    3.14     1.53    -9.53  -512.40     10.10     37.80    6.32     84992.0
 2002 12 21 01 13 00 000    2.52     1.02    -9.79  -511.20     13.30     39.60    6.37     88361.0
 2002 12 21 01 14 00 000    2.52     1.46    -9.98  -511.50     13.90     38.30    6.22     85605.0
 2002 12 21 01 15 00 000    2.34     1.07   -10.03  -511.80     14.40     37.10    6.08     83212.0
 2002 12 21 01 16 00 000    2.48     0.75    -9.95  -510.50     13.70     35.60    5.46     86867.0
 2002 12 21 01 17 00 000    2.59     0.18    -9.91  -511.20     15.70     38.80    6.02     82824.0
 2002 12 21 01 18 00 000    3.16     0.53    -9.79  -513.50     15.50     36.50    6.35     91220.0
 2002 12 21 01 19 00 000    3.11     0.32    -9.84  -512.50     13.90     35.60    5.95     83826.0
 2002 12 21 01 20 00 000    3.21    -0.11    -9.92  -513.00     13.50     34.80    5.65     78996.0
 2002 12 21 01 21 00 000    3.03     2.15    -9.44  -513.60     11.80     36.40    6.12     75561.0
