mlt,mlat_eb,ef_eb,mlat_05,ef_05,mlat_10,ef_10,mlat_15,ef_15,mlat_20,ef_20,mlat_25,ef_25,mlat_30,ef_30,mlat_35,ef_35,mlat_40,ef_40,mlat_45,ef_45,mlat_50,ef_50,mlat_55,ef_55,mlat_60,ef_60,mlat_65,ef_65,mlat_70,ef_70,mlat_75,ef_75,mlat_80,ef_80,mlat_85,ef_85,mlat_90,ef_90,mlat_95,ef_95,mlat_pb,ef_pb
0.125,0.0051047837186019305,-0.02609339498755029,0.004404910000281801,-0.15128332029220776,0.004107666045810429,-0.24628157739121578,0.0038757675757426567,-0.3009852004173527,0.0036657341514339686,-0.32907067056401806,0.003472626165262645,-0.3516404615968156,0.0032785198500096774,-0.35906217458858763,0.0030844796641312,-0.3689581555726576,0.0028849586132792824,-0.36250509011096227,0.0026666664176456163,-0.36162442447023846,0.002448200101227015,-0.37945727747169183,0.0022086250912736927,-0.37931707069114207,0.001961766226462645,-0.3784442556954632,0.001707684094411495,-0.3908978378859351,0.0014814582909038444,-0.4002753996951496,0.0012594583397947633,-0.3997788591820266,0.001078758045456406,-0.38763991654875835,0.0009156071050091685,-0.3708481401814416,0.0007674943076415968,-0.312535148660672,0.000557305842089838,-0.20754361870968238,-0.00034445620765166364,-0.03494473314591531
0.375,0.005026134253536945,-0.027119416920866994,0.004368664134202285,-0.14629972263209512,0.004094473744344377,-0.2393510129449565,0.003883593852670697,-0.29430854119919064,0.003694932251273673,-0.32249053876515754,0.0035295284052641665,-0.33938528004320273,0.0033613947331535532,-0.34816706572980943,0.0031939318716353465,-0.3578076398813696,0.003015219482670886,-0.3464668424469807,0.002821665384492241,-0.34439318696150917,0.0026282993323636264,-0.3558020666883942,0.002409059498039422,-0.34883603351855025,0.002178603393351697,-0.34452218708517146,0.0019255676868543837,-0.3532347309167132,0.0017016455570920345,-0.36424979976225724,0.0014723315934118428,-0.35277644360028093,0.0012974930735385885,-0.34540869543016967,0.0011460813800115077,-0.33853492128948437,0.001015211918538552,-0.2953452715408318,0.0008329427901786949,-0.19658106242026663,-0.0001452745992343216,-0.034504830094598815
0.625,0.004921184830438013,-0.025406210657856455,0.004303659057649147,-0.13975910632880173,0.00404343371315674,-0.22864069866254166,0.003847290077298115,-0.27532434099200914,0.003681603084571979,-0.3035229511953004,0.003536891035309589,-0.3236819451900406,0.00339017128691776,-0.336812320017986,0.003249170663494566,-0.3467985030822017,0.0031013329803441826,-0.33884793247226086,0.0029318605167792918,-0.33315021262290817,0.002769042872329956,-0.33949467639480824,0.002578996804386189,-0.3310914411363817,0.002373361588528499,-0.32143043479162575,0.0021311570598526812,-0.32425525904681024,0.0019132696761011531,-0.3243451860297943,0.0016884609541046986,-0.3164813629004873,0.0015185460404871693,-0.30927129915164653,0.001372263852996639,-0.3062341842067563,0.0012513228937123338,-0.2688916487687376,0.0010893420810424812,-0.18098286606215697,7.769455554254318e-05,-0.034133927403986235
0.875,0.004775609985527485,-0.025627731449788877,0.004196127576105718,-0.13390340213065252,0.003959158161568534,-0.213012007518912,0.003778073090046384,-0.2597621248760473,0.0036329050518168274,-0.2816597745065648,0.0035062750063332435,-0.2989433884309959,0.003377141238650361,-0.3130746154808294,0.0032584792067358076,-0.3219772282239063,0.0031325022419143554,-0.3215517982450512,0.0029890626707002417,-0.31439036389399894,0.0028453268329974796,-0.316975843104266,0.0026796210563638186,-0.3066905749796248,0.0024934634637262436,-0.29559978327329345,0.0022700890906670558,-0.29534484806188194,0.002076051949291152,-0.2903212312801063,0.0018650675512246744,-0.2778630535535965,0.0017006112828854586,-0.2707131657648455,0.0015648138750111943,-0.2719149328938733,0.0014884228011834675,-0.24209685105883705,0.0013588823052114332,-0.161528420562974,0.0003492434394036134,-0.035244802646883205
1.125,0.004589761531981803,-0.024599434846468562,0.004089349393684022,-0.12192078357756385,0.0038841869471322277,-0.19260107099002197,0.003732189450364508,-0.23033867584563583,0.0036134293101791806,-0.25142596265694717,0.0035086455076038785,-0.2671278539645152,0.0034069060121467948,-0.2818576815161726,0.003306810915607796,-0.2871794418784435,0.003200873583835255,-0.28940585937934954,0.0030827481617576075,-0.2841212934883132,0.0029696096548638283,-0.2789176289727519,0.0028293155669290603,-0.27168535151957096,0.0026771935933443624,-0.263209269352709,0.0024903399873746476,-0.2599144356286426,0.0023244731023612914,-0.25088229494190334,0.0021433077157708216,-0.23922705811957998,0.0020046842048298485,-0.22766585811799261,0.001910419411210416,-0.22623760048238672,0.0018554421319618652,-0.20184040799642783,0.0017688061878494068,-0.1332944258297888,0.0007809084386987539,-0.03249720704032438
1.375,0.004443087915360296,-0.023715542271747565,0.004011849002401602,-0.11402505478597798,0.0038390677039525666,-0.18030632044434608,0.003710519173881736,-0.21465421464005377,0.003614198877608776,-0.23654565164729724,0.0035369224768900588,-0.24937675534021148,0.0034555692500654535,-0.2623727572894407,0.0033766591051200092,-0.26851500229868824,0.0032920188294319947,-0.27067718115619016,0.0031990938263560145,-0.2663774770036201,0.003113513032891286,-0.2548230645677826,0.0029971809686596225,-0.2456224205618642,0.0028800330881529924,-0.23703859469555744,0.0027226468612035785,-0.2323195653656097,0.0025870296354605134,-0.2226054315714856,0.002437056582105489,-0.20746761798113939,0.0023299483315949005,-0.19786100374025872,0.002266906081697654,-0.19325310583914673,0.0022500063578328668,-0.17295636321735378,0.0022209758473200696,-0.11145848860305052,0.0013019584148144174,-0.030223602680646954
1.625,0.004346611588775569,-0.024501868608655893,0.003973276835901034,-0.10639121760189338,0.003831152938286541,-0.16666656743732378,0.003732989087886085,-0.20334219517563087,0.0036580676069660266,-0.22733638981936566,0.0036005076108592046,-0.24214800843367115,0.003539543879627719,-0.25510541130113223,0.0034789411421269506,-0.25813744101066455,0.0034165529531651794,-0.26669438191141637,0.003346903466021952,-0.2544192648855751,0.0032833896844700573,-0.24116501842768873,0.003193301710527524,-0.2353014833424636,0.0031031102385002222,-0.22750829586633725,0.0029908181143019734,-0.22121916686455348,0.002884602948641465,-0.2115952247551767,0.0027846192847855735,-0.19957325681978474,0.0027147367165979894,-0.18550472522032235,0.0026903895739718393,-0.1725580547229915,0.0027178988859446894,-0.1470869232517755,0.0027202458385371044,-0.09222415470141539,0.0018527088949608363,-0.026649987546317557
1.875,0.004219974468816455,-0.023308697492089442,0.00390787503955767,-0.09192181839174154,0.003809685597514857,-0.14695354445856926,0.00374327953620579,-0.18682932845390335,0.0036900685225648108,-0.2093204129202387,0.003650200678965721,-0.21643087649491582,0.003608008661787915,-0.22351256952739637,0.003560250116267739,-0.22514574381687497,0.0035102819512050874,-0.232683625678784,0.0034682416135876724,-0.22240803727062272,0.003425308013024708,-0.2115686306965934,0.0033573751038082156,-0.2010729799336705,0.0032924465313586195,-0.19267346794455611,0.0032130590487111903,-0.1892583122869777,0.003147931732465492,-0.1852466261056986,0.003095868749518262,-0.17484156677648297,0.003055903977594497,-0.16602415415391927,0.003085937765072814,-0.14986792806431762,0.003166992490116826,-0.12443092593291899,0.0032067726182053538,-0.0744728780970439,0.0023594748888502845,-0.025060394502316587
2.125,0.004189146046343462,-0.02183165572488586,0.003936247657251621,-0.08221223971634274,0.003876849290358873,-0.13741441249542422,0.0038462278886389686,-0.17498966933869947,0.003812404679738814,-0.19723455703645426,0.003792713322041232,-0.20289165559637143,0.003773071717933452,-0.2114583664450007,0.0037427359488600557,-0.21180955903838325,0.003712310962334726,-0.21633900988243418,0.003691481852206981,-0.20410220520035202,0.0036722619691376295,-0.1956388151727291,0.0036312682728368954,-0.18225202180469935,0.003595912350036659,-0.1767115572913234,0.0035512776879033257,-0.17342182283840576,0.0035128894535184736,-0.16857959823448876,0.0034975549802480975,-0.1645409495295591,0.0035012782940264226,-0.15630127133782007,0.0035764060331786853,-0.13922881933334644,0.0036850743143045975,-0.105386847558632,0.003742019146990731,-0.061923059984428305,0.0029334904050921733,-0.023392488324680622
2.375,0.004158323771799396,-0.022011049846016074,0.003952202430183011,-0.07218169816010618,0.0039227262246668785,-0.12037736673902871,0.00390866609042445,-0.1504587537940105,0.0038868491980856984,-0.1691743851592427,0.003880596610084477,-0.17214708156923914,0.003874665125514159,-0.17884172379267763,0.0038569186088528913,-0.1817964978285048,0.0038502353490883095,-0.18568121121069212,0.003852719965091411,-0.1787004526545723,0.003852272416459062,-0.16795533567414517,0.0038393319953834827,-0.15752983486533634,0.0038348176040567407,-0.14944987151865924,0.003817465609387216,-0.1509683349462485,0.003812018894484555,-0.1525736229243983,0.0038400208880478336,-0.1484580217560952,0.0038851887377408865,-0.1423454087806528,0.004005096369389042,-0.1286775524181073,0.0041617474511295455,-0.09522520536991576,0.004237030115576818,-0.056882300024429795,0.0035174128511959533,-0.025737959249905882
