mlt,mlat_eb,ef_eb,mlat_05,ef_05,mlat_10,ef_10,mlat_15,ef_15,mlat_20,ef_20,mlat_25,ef_25,mlat_30,ef_30,mlat_35,ef_35,mlat_40,ef_40,mlat_45,ef_45,mlat_50,ef_50,mlat_55,ef_55,mlat_60,ef_60,mlat_65,ef_65,mlat_70,ef_70,mlat_75,ef_75,mlat_80,ef_80,mlat_85,ef_85,mlat_90,ef_90,mlat_95,ef_95,mlat_pb,ef_pb
0.125,-0.028923204620856836,0.5751095728258637,-0.024581713332224767,1.4883837953837562,-0.02285651776873771,2.1435244079842968,-0.02155389380740035,2.6102521594609707,-0.020414087464304162,2.879457079811114,-0.01939446803086253,3.150624957913713,-0.01835970088351898,3.238501662771621,-0.017315393233208482,3.301424626758658,-0.01623534086212029,3.300023091794676,-0.015043611220750222,3.3317756012857793,-0.01379864109927652,3.340904105893312,-0.012483540178326447,3.488077494741992,-0.01115887633147213,3.6173315825368757,-0.00979802533734691,3.7315146925024485,-0.008484428816274937,3.77617823929542,-0.00713900257308185,3.69425848700878,-0.005914225924255675,3.5737477069107233,-0.0046644571016754115,3.3537164576177214,-0.0033424947631518795,2.9414765599841215,-0.0019066375545462543,2.200138310406964,0.003995642808004621,0.660841292974214
0.375,-0.028445645822631888,0.57310731094431,-0.024212799666432566,1.474956941173965,-0.022583456420384094,2.142069502578589,-0.02139604102919375,2.5950124164723496,-0.020368296191187622,2.858122509263118,-0.01949285587363234,3.1310321833825827,-0.018602229916738537,3.20554392451171,-0.01768728042334684,3.2512604969050227,-0.016723675071277304,3.2289254783490318,-0.015663112675525753,3.228406298983509,-0.014526629946813707,3.214522020161694,-0.013321714291123074,3.294467707332856,-0.012082796215773501,3.353424640839145,-0.01081076402846749,3.4252474246763396,-0.009554821088469528,3.4231519393444625,-0.00821444784284862,3.3730103505254125,-0.006996897748141539,3.2708769186221565,-0.005769525451516851,3.0940442088697093,-0.004493373501669835,2.70505368862782,-0.0031142984572536713,2.0381337257985255,0.002950118333170043,0.6655513076727942
0.625,-0.027695747135014437,0.5742608320188918,-0.02364240231937338,1.42846225160964,-0.022135275165787675,2.108522527649252,-0.02106206370453716,2.5583753324973664,-0.020142043246344353,2.8328672048594887,-0.01937531227321775,3.0840776085446433,-0.018628245844391482,3.1587010352582445,-0.017844397883644576,3.2036428974771547,-0.017004819206693063,3.183061821692481,-0.01612649281758596,3.154977784369055,-0.015145065071526152,3.136463127151732,-0.014086653787810505,3.157828302543317,-0.012997277775460265,3.16059218403915,-0.011836708725910056,3.1839861167984544,-0.010681149909345712,3.1124500735134024,-0.009412548980317431,3.0556015542971897,-0.008310423693725744,2.9838428987194034,-0.007167588387967685,2.8346891899873126,-0.006056237110954988,2.478080784873647,-0.004666566885597447,1.8794904456298096,0.0012491911771773036,0.6726369668595457
0.875,-0.02689673793115167,0.569700826301109,-0.023057287950120523,1.3904628891875588,-0.02165474045255259,2.0518838320992447,-0.020703787939890767,2.521314654871118,-0.01992019422626053,2.795542836861186,-0.01926079537402994,3.0392122715553374,-0.01864306037206586,3.115885846638902,-0.017980763807741502,3.1586912898493096,-0.017264557006803526,3.1635912811183284,-0.016523586460756964,3.1006335243688694,-0.015668376454926275,3.0570100952749426,-0.014759074702962857,3.060320268118221,-0.013806144041189445,3.022110636756755,-0.012783343244204572,3.0149700519941796,-0.011747085502548268,2.9368673844145756,-0.010561510434456942,2.846158951516049,-0.009576300548259259,2.771386312062324,-0.008570138128328849,2.600773494852669,-0.00752062202258689,2.260652744392115,-0.006193452955511597,1.736575657746502,-0.00035648259751973094,0.6573477465573392
1.125,-0.026194826851343198,0.6030179458738257,-0.022592865535317693,1.3802392788004283,-0.021301893211957773,2.0146740853049057,-0.020458352720565176,2.4674080897048154,-0.01977276925863694,2.731468602582049,-0.01919824460457066,2.967058350877475,-0.018683947530146003,3.046213719388691,-0.018117908516552702,3.1045020818096063,-0.017540508738637807,3.122011281917936,-0.0169477796400562,3.0805722293726454,-0.016255718322067025,3.0548402918882416,-0.015515901864965558,3.001154688540564,-0.014724572055100858,2.9451201379548473,-0.013844099671610337,2.8906067327424165,-0.012981283440246036,2.8217238603648522,-0.011964554537787317,2.7175811955803226,-0.01110899332871051,2.626284641481756,-0.01025749727169758,2.4552541486397197,-0.009473426442302285,2.1430634718559216,-0.00835075302029081,1.6203164128405378,-0.0023465611521196407,0.6687308873658164
1.375,-0.02534502134274706,0.6029461318533906,-0.022048852138571953,1.2952221764613174,-0.020936078997808635,1.9215329640456864,-0.020212996984338163,2.3199638650267147,-0.01965718396091215,2.5858072263693925,-0.019174156494559436,2.8158144459429,-0.0187557473149686,2.8970756531128417,-0.018333978269605207,2.9734032537174326,-0.01789623799893062,3.0073711898918725,-0.017453846954133743,2.9725273065574767,-0.01694120844816009,2.9176749453566164,-0.016411072670164735,2.8573106546980256,-0.01582174150205295,2.763148276483464,-0.015135835901619892,2.679252327521548,-0.014463300249364378,2.5926184163060317,-0.013650582404857036,2.482662919572554,-0.013010364931023184,2.3628476435774615,-0.012350017376180992,2.188981412143871,-0.011835926312490483,1.9096399610265802,-0.011043730901007718,1.463914634873165,-0.004749849844144748,0.6616717935409533
1.625,-0.024465943086737767,0.6029551885760394,-0.021472995307971865,1.1953440869970282,-0.02051135602002294,1.7827119225003931,-0.01990984912718272,2.1621191994308604,-0.019464401884559945,2.4344415417247505,-0.019054293797438168,2.6605096912144224,-0.01871485978132098,2.7482997455118663,-0.018414814913729767,2.844561241138613,-0.018096203273607715,2.876607337825035,-0.0177852657778528,2.858166985873157,-0.01741282134215092,2.796079835346186,-0.01703091074735781,2.7767608877817294,-0.01661021084108559,2.670633974128289,-0.016070183282882764,2.581923021566542,-0.015554746557987071,2.5006311148582574,-0.014986202737191605,2.364065362968822,-0.014592551043587495,2.230389379965166,-0.014146705399528408,2.0271889383991795,-0.013808114662424665,1.7616705298124675,-0.01327324966995178,1.3440488523891456,-0.007432023760099672,0.6328721406157342
1.875,-0.024238582952096962,0.5770591362600733,-0.021525898167734935,1.0942516980779902,-0.020708306660152984,1.6168912016549801,-0.020237110015987773,1.9705292283551938,-0.019905369448540447,2.239860332546704,-0.019590235426016286,2.4691421572205603,-0.01935745233922972,2.552565088648098,-0.019164089328550963,2.6585807701411586,-0.018947655520991764,2.6797963792604027,-0.018744164061186633,2.6793814062345853,-0.01851176946747613,2.611627072530582,-0.018273581445930463,2.5908403764383854,-0.01799201906451328,2.4943969734987634,-0.017627828430060544,2.401052444826617,-0.01728817281558173,2.358472809215412,-0.016963798726101483,2.2458687274478164,-0.01675163277612414,2.0921610135617428,-0.016547803308787492,1.8826474632947707,-0.016454595649436805,1.6201195235528278,-0.01625728655847329,1.2312075028887486,-0.010379709054627945,0.6295525202352158
2.125,-0.02427161747974069,0.5786818490990246,-0.02183461246202644,1.0175123241420148,-0.02116324943513731,1.5124868557063886,-0.020796022998872735,1.8071495327261433,-0.020530294903149223,2.07165853060865,-0.02032369223493517,2.2958878054977694,-0.020183321552277107,2.3800191108593967,-0.020103872503774725,2.4794042623615415,-0.019974791769976137,2.4790535265406723,-0.019902683992615876,2.506092203014478,-0.019798140961363685,2.4403217826613894,-0.01967904339964914,2.417783607278287,-0.019534074602668212,2.3093067478867404,-0.019349786099636196,2.2185079558339265,-0.019175966925788494,2.171030958755191,-0.01910588566420585,2.0692212905135516,-0.019111927098646616,1.9186366721030037,-0.019129718578897018,1.747502662046097,-0.019296200240505698,1.472181119982852,-0.01931045078268956,1.1064085994591157,-0.013557485982242995,0.6137491612814725
2.375,-0.024519001889107404,0.5290983028617607,-0.02225735402873597,0.9009822731939902,-0.021690750088731222,1.3520361218576518,-0.02143333872192131,1.6085838776731338,-0.021246003133306154,1.8577037920003243,-0.02112237983464741,2.0630379570084654,-0.021079638836591964,2.13190291539875,-0.021073870220165894,2.242027175892395,-0.021021561955432762,2.2380491719428375,-0.02104570333113512,2.25837230223426,-0.021027381226726635,2.2054422635609403,-0.021032362573031933,2.190232569853374,-0.021019967029899396,2.1043578546832906,-0.020992337129425838,1.9983469794441433,-0.020980415352810932,1.9294073302685126,-0.021089528701778704,1.8629455380478828,-0.021289606792040824,1.735594422376046,-0.02163916206032801,1.5737923658363266,-0.022060229773084222,1.322213441155525,-0.022246563669808168,0.9918032245716878,-0.016837122183849897,0.5834238450360709
